"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MS4A1"	1.11462022403242	0.330011621131968	0.609122344473597	0	0.0357763347251216	0.0420709973376526	0.0430434044933865	1.51715724875473	0.0218693445937896	0.0289189633313005	0.175256955137161	0.0297523839850627	2.61707862908474	0.577175979238839	3.76412318515293	1.25424632734966	0.0828881251469168	0.735604924098509	0.794830886909523	0.394240283775974	0.23536557503271	0.912755237180798	0.132546178905642	0.141342537917888	0.0685193455282179	0.254735524209394	8.22128260072775
"FCER2"	0.596293536985047	0.0261749094824096	0.3556906426488	0.0223040311805786	0.0100439124132339	0.0249045826722225	0.179024337271043	0.759019868835783	0.0106848253854353	0.0191399544521692	0.0262244242600884	0.101416442766571	0.733774288149116	0.879210931119125	1.1082768774304	0.593512972618087	0	0.386323161374967	0.269571213258459	0.0524698029152261	0.0393402868812781	0.147391890175276	0.0922305805805143	0.0936988953704107	0.114697374287242	0.242493975817378	7.37563898119502
"FCRL1"	0.137983205674476	0.0318606797103626	0.0738098842307435	0	0.0464453095169473	0.0108139904847241	0.0167677891643679	0.208287509026525	0.0140655107184623	0	0.0244270616440068	0.00517002933910022	0.592020185867439	0.0961839130311353	0.843049607565044	0.127307464570359	0.188264814877095	0.0471735159711995	0.129547063680431	0.0405491581113968	0.0311071931780443	0.0970970652856641	0	0	0.0273771635328429	0	4.66609189027924
"CD19"	0.243289470635664	0.0560918185024941	0.249117018548831	0	0	0.0212118445311401	0	1.01574803536478	0.0259599007160101	0	0.0805815361516089	0.0385525618539199	1.23514496353097	0.789873617972774	3.08755449190642	1.01289829255612	0.0522200666596472	0.977954672165374	0.450039332598758	0.0680832269802027	0.118269945130956	0.554543175843513	0.138302031165228	0.073967716476412	0	0.304292576709023	6.91934008244201
"TCL1A"	0.92859924089702	0.276537757297804	0.519854362410922	0.0158247363304575	0.0157172111303774	0	0	1.29579060337661	0.0454550630671793	0	1.63656198157	0.179940928450724	0.72657360105154	1.47594349800604	0.900307296005636	1.20086212657862	0.0782148155306968	1.04367556575123	1.29224284615604	0.538365327847272	0.139972353279856	0.761355916875903	0.314408827930985	0.11711292744037	0.281057239583469	0	7.38892137799819
"FCRLA"	5.65272740200687	2.56066849405558	0.864515413055492	6.32658588296711	5.71246234424306	0.248365418819408	4.22779497569309	7.87630820111756	1.55234263882143	6.47916749366641	3.77480286987115	0.630243765010816	7.95763605918992	5.15511370469873	2.43024646155018	2.28991559605294	3.14097492747086	1.1353969633256	3.74550626586916	2.85505283701122	0.382818845333107	1.36173748429218	4.38176096118862	0.178468621178097	4.32383840051836	3.58611619533753	6.11245201790381
"VPREB3"	0.896448178190716	0.299661988274181	0.578944990915888	0	0.163491647602337	0.328489532469075	1.58658221857912	0.548467204574525	0.726056050577088	0.0872041513244654	0.0643547092309128	0.106080595330324	0.786503524614249	2.11092277222062	3.07346979746106	0.511673473328646	0.0921607459916911	1.28167748107471	0.762993366019717	0.22150097264111	0	1.67601911334863	0.655913225439917	0.938249653473465	0.241954862587081	2.35002758755346	8.06126857335921
"CR2"	0.676669555366397	0.0115037253498699	0.0522074047843891	0	0.0167799388403935	0.0373257783109914	0.0804637903047537	0.301144527789796	0	0.0292112914430136	0.0448215833984202	0.0408991620394073	0.190170448015565	0.176655958416217	0.845988961519895	0.435749124721024	0.017471218045914	0.174665914103776	0.0946992796538258	0.023022202461126	0.0219285276390533	0.154068563383792	0.0302510327882328	0.0275082399159674	0.0380737064060452	0.104860363702948	7.56738572749703
"BLK"	0.450958362498452	0.240564069524749	0.137355902264123	0	2.37303982669962	0	0	0.392772967683702	0.00707931312057516	0.0579593280723092	0.171385551656549	1.44245521849411	0.761477619877588	0.828412236376416	1.34925769428247	0.528655327782435	0.176673572993756	0.806075715097594	0.451857821854365	0.065311527617156	0.193759003476025	0.152960220445386	0.161160187249359	0	0.0370782575426151	0.194456506245901	5.65552356779982
"CD79A"	2.99523485224034	0.998461627854428	2.08266171920345	0.0480927461720788	0.0494081434008909	0.230888653275658	0.671952286754998	3.61746893462003	0.0961117050926183	0.214857160282851	1.48012032818961	0.164942636706102	3.51869878620596	4.3268429105715	6.95321284839538	6.02728677617371	0.730123427541728	3.48347916288611	2.43137691844919	0.890981645592603	1.17163598457484	2.29908636887676	2.52097030566713	0.538424928731949	0.473539645479179	4.26286908755548	9.57078736430938
"PAX5"	0.138088352459249	0.0234036246285993	0.137830191613334	0.00220388633281469	0.00655205950151703	0	0.0076867953666983	0.119782647037683	0.088770179082479	0.00330727073298072	0.0241144671207033	0.00964496165477092	0.213343548609368	0.201586188719794	0.665202188081569	0.166933278684451	0.0386536230999099	0.202895980725823	0.214659498383608	0.0393354434654504	0.0786467213139202	0.0805142052591889	0.0301428113928927	0.0148411565534609	0.0198356821829743	0.0816018250387332	6.05273323128833
"CD79B"	2.02716290019495	1.31111652370772	2.19173634476984	0.762577162269776	0.404939080108156	0.790171484888873	3.95340493803284	2.64603935446927	0.517807817233674	0.737526260770103	2.27899725307807	0.675905786374973	3.21887801570415	2.68601188907297	5.00829190973305	4.17651426812214	3.29559593837134	5.15422268466554	1.51346295259633	0.731546042444527	2.40246297045083	3.40654551355582	3.0116798998745	1.57938774994585	0.990148903746439	1.49736199575119	8.28957168045447
"CLEC17A"	0.0777931693563466	0.142829684384685	0.0909141171914499	0	0.0604720339803997	0	0.0886941396066747	0.101553198491685	0.0255353857082039	0.0559570685158793	0.296484425529194	0	0.272269292440341	0.19272189940797	0.427542349544956	0.401450801094945	0.0138430453082125	0.0591312409728036	0.139324628871973	0.0899961607606822	0.0991828818637325	0.054802504464498	0.0598295444912236	0	0	0.0564954380471439	4.65125839088427
"TNFRSF13C"	0.305968186996588	0.0995241992707264	0.0960648017384376	0.113519550925686	0.0210691049774279	0.790374616545838	0.331733875233727	0.371224285838458	0.629665760874954	0.198961775061589	0.0551706602713044	0.14203799422093	0.814515150316032	0.997934024838455	1.60508891893862	0.753120561845212	0.793857188262477	0.691087887744962	1.0547700033622	0.882310066265013	0.313439165776517	0.671234485767925	0.576805570024803	0.785120294548473	0.402177516689279	0.673861211998802	5.83151246880648
"CD22"	1.49354486619997	0.334743310520503	3.1471796839193	3.10219283337356	1.43183954827065	0.250439562957878	0.990130020084847	1.15631247311418	1.75197352329928	0.532058572831371	1.7856802733799	0.410332962971245	1.65490292032159	2.73421861397401	2.03931213868659	3.36381586956588	1.56766712731665	1.52845379819711	1.61636475517434	1.87792285827854	0.280133208566505	3.98397860475816	2.2121366210815	2.59427144905849	0.332404327157146	6.54095872971769	7.45134300934942
