"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MS4A1"	0.129689674205287	-0.331252058279261	-0.167280136614737	-0.525127230973362	-0.504109355756109	-0.500411368403817	-0.499840098808521	0.366172059025904	-0.512279432022269	-0.508137923170325	-0.422167303906212	-0.50764830534226	1.0123536899332	-0.18604798198816	1.68621923634261	0.211717194328308	-0.476432128897782	-0.0929741716203425	-0.0581801127669787	-0.293519014154011	-0.386854701814561	0.0110980650597971	-0.447259023674691	-0.442091340134551	-0.484873497175734	-0.375475247270432	4.30471051387901
"FCER2"	0.0485719719727503	-0.35769257522937	-0.122880812075396	-0.360450949617971	-0.369187467527371	-0.358597805687459	-0.248772605638717	0.164530188978904	-0.368730755176842	-0.362705659668423	-0.357657291171345	-0.304075720813677	0.146540276157688	0.250177921118752	0.413409516208401	0.0465905514945986	-0.376344724511895	-0.101052185979699	-0.184249217348928	-0.338954925801906	-0.348310973173802	-0.271313777206027	-0.310621534196458	-0.309575218193979	-0.294611775293598	-0.203544362390359	4.87950991077213
"FCRL1"	-0.153931210957185	-0.272182602545867	-0.225438975163206	-0.307684676007497	-0.255931078613827	-0.295634742104889	-0.289000476922162	-0.0755917478646463	-0.292011601881593	-0.307684676007497	-0.280465817376078	-0.301923758065253	0.351998178234859	-0.200507792861851	0.63171804143791	-0.165827094798371	-0.0979028587717252	-0.255119644605854	-0.163331529328545	-0.26250110794916	-0.273022205921122	-0.199490275385242	-0.307684676007497	-0.307684676007497	-0.277178544947214	-0.307684676007497	4.89170022642851
"CD19"	-0.286629531526632	-0.419002788383096	-0.282508691932959	-0.458667050266545	-0.458667050266545	-0.443667498121935	-0.458667050266545	0.259599840661868	-0.440310000558442	-0.458667050266545	-0.401685350649409	-0.431405339905278	0.414742202730612	0.0998770453702599	1.7246383446361	0.257584699272608	-0.421740624009437	0.232874983179652	-0.140430301617435	-0.410523292105219	-0.37503470954636	-0.0665323978419935	-0.360869401168992	-0.406362187354841	-0.458667050266545	-0.243492346111794	4.43421259631545
"TCL1A"	0.101719520594387	-0.357601491996821	-0.186205952999604	-0.541251303860327	-0.541327046079462	-0.552398464209645	-0.552398464209645	0.360374130122796	-0.520379297121029	-0.552398464209645	0.600418141969534	-0.425645617213718	-0.0405900986626945	0.487276288989291	0.08179028830182	0.293505214869714	-0.497302880169175	0.182780855126146	0.35787504149394	-0.173166576189102	-0.453800027313172	-0.016088960462461	-0.330924592733994	-0.469902519007498	-0.354417906963733	-0.552398464209645	4.65245864614374
"FCRLA"	0.915423174999286	-0.409539088706649	-1.13634892406088	1.20417480778823	0.941019887948086	-1.40037218993273	0.304832707805496	1.86823834988054	-0.84161161626061	1.26955676923539	0.110723389762646	-1.23673546337201	1.9030877321665	0.70219328822675	-0.46542556324344	-0.525558020855714	-0.160874962779477	-1.02027486379019	0.0981696526208466	-0.283393967590399	-1.34275824347831	-0.923286850962533	0.370807880578335	-1.43032330729032	0.345987781935334	0.0298702330590874	1.11241740631674
"VPREB3"	-0.0909529495621709	-0.462351768250197	-0.288545170488138	-0.648840849819429	-0.547094854669375	-0.444411480688989	0.338539172855231	-0.307512455647655	-0.196993330487024	-0.594570963327706	-0.608790889902101	-0.58282355843922	-0.159374965938044	0.664852793215507	1.26387608521891	-0.330410351997695	-0.591486318550017	0.148787363522382	-0.174006077174714	-0.510993826937311	-0.648840849819429	0.394198565826722	-0.240645417005697	-0.0649385765727405	-0.498264727819633	0.813655241156963	4.36794016130157
"CR2"	0.181460818928954	-0.279065930922431	-0.250884788189188	-0.287030521115566	-0.275412950957641	-0.261188064098784	-0.231321514191908	-0.0785334751757308	-0.287030521115566	-0.266806119169245	-0.255998352603311	-0.258714036239629	-0.155366243742488	-0.164722984107418	0.298688902940274	0.0146598530778478	-0.27493434464416	-0.166100788856117	-0.221465590531023	-0.27109112736532	-0.271848331792359	-0.180361339465561	-0.266086255519021	-0.267985224813563	-0.260670236995836	-0.214430576402301	4.95223974306709
"BLK"	-0.143838697205548	-0.327029696164594	-0.416893384927146	-0.536489618232917	1.52972391958884	-0.536489618232917	-0.536489618232917	-0.194500910758427	-0.530325637146871	-0.486024241732004	-0.387263657911672	0.719460857869831	0.126531435706824	0.184811625193206	0.638313468748525	-0.0761876954350861	-0.382659360439588	0.165363143067084	-0.143055535002792	-0.479622657543905	-0.367783020243026	-0.403306654054852	-0.39616691614172	-0.536489618232917	-0.504205458131001	-0.367175702300203	4.3877932478958
"CD79A"	0.296343967850236	-0.543573164121071	-0.0875182550870448	-0.94333368558084	-0.942780380551339	-0.866442923948282	-0.680915144666917	0.558078780549296	-0.923135124340021	-0.873186366544212	-0.340969588895862	-0.894182272826554	0.516532380203385	0.856467875565067	1.96121681687317	1.57173785075919	-0.656446197900007	0.501717695868355	0.0591643358292889	-0.588783244736732	-0.470729584664364	0.00351800722932513	0.0968506488851078	-0.737081720931438	-0.764374885899419	0.82955810469443	3.06226607638725
