"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.00230555655861711	0.00102748269708507	0.00377007463516292	0.00230152865134846	0.00352611336144862	0.000320678126341398	0.00102475003836088	0.00127318814795633	0.00293050813930691	0.00364217318578687	0.000992529723522217	0.00136063501790589	0.000500128871084105	2.22044604925031e-16	3.35054897975452e-05	0.00163653983012549	2.22044604925031e-16	0.000404022737208646	0.00153414821742774	0.00302225525229376	0.00010036811889941	0.00226099317267749	6.91886877651566e-05	0.000997220958937457	0.00126592711365387	0.000584090336897603	0.000760409061022856
"IS02"	0.00316227503641223	0.00282874807934112	2.43155944254381e-05	0.00363726569308412	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00767217453830034	0.00710961992936377	7.97866063310475e-05	2.22044604925031e-16	0.00406757348803118	9.64877561827181e-05	2.22044604925031e-16	2.22044604925031e-16	0.00664971479866013	2.22044604925031e-16	0.00395083541568332	2.22044604925031e-16	0.001563908610161	0.00417326190052087	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IS03"	4.35045087494187e-05	0.000504833371208421	0.00144508105703059	0.00761094119379095	0.00409082781604893	0.00541660746739207	0.00298515139780733	0.000593819390804876	0.00608958542451155	0.00477822293757383	1.99712727812213e-05	0.00294826660877748	0.000644673037218885	0.00170447771353281	2.22044604925031e-16	2.22044604925031e-16	0.000488568346544089	0.00052684799201332	0.000227938956341259	0.00251747078991057	0.00142776202019883	2.22044604925031e-16	0.00275420834373557	0.00325954163822075	0.00326843579480207	0.00316586647475287	2.22044604925031e-16
"IS04"	0.00140177882271371	0.00197910244292136	0.00162758020524021	2.22044604925031e-16	0.000197482538256548	2.22044604925031e-16	0.00019189972437255	0.00314261481790077	0.000572838224214087	0.000117202532974616	0.00408503130672692	6.56568668920512e-05	3.08097307332738e-09	5.04615513208565e-11	0.000304579586388609	0.00425264210796289	0.00107244263360274	0.000906769313988	0.0014260335594686	0.00126734911392021	2.22044604925031e-16	0.00121729227981119	0.00114646049351905	0.00121051109010012	0.00157104162359632	0.000292857171136813	0.000378888422552371
"IS05"	9.75421634094415e-05	0.00139705111888883	0.000192956423505227	8.98220120017968e-05	1.14703431070177e-09	0.000268373452694974	2.22044604925031e-16	9.5989041554109e-14	2.22044604925031e-16	2.22044604925031e-16	0.00325579825468953	2.22044604925031e-16	0.000384659053861872	9.97584695988405e-05	0.0103249084302576	0.00323675511347622	0.00151392067565519	0.0018710337499949	0.00166759017319641	2.22044604925031e-16	0.000245286961734153	0.00358885790677717	8.35466138885502e-05	0.00021534140457561	2.22044604925031e-16	0.000189224797463632	0.00517685816856539
"IS06"	0.00216255307344673	0.000280083840801629	2.22044604925031e-16	2.22044604925031e-16	0.000970146602015943	2.95191681016957e-15	2.22044604925031e-16	0.00075252151149652	2.22044604925031e-16	0.000482745450999881	0.00111283901456172	2.22044604925031e-16	0.000553680399404047	0.00110114649545602	0.00537645543317936	0.00325648099986317	2.22044604925031e-16	0.000593249050498852	9.61285124292299e-16	2.22044604925031e-16	0.00205670680341477	0.00202874528394377	9.97510908173152e-05	0.000489938433060201	2.22044604925031e-16	2.22044604925031e-16	0.0166507096160393
"IS07"	2.22044604925031e-16	0.0174082976989332	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000213406489074638	0.000281281613110204	0.000204545599490139	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	7.90374272634712e-05	0.00033297230898491	0.000221887245014748	4.44638722992287e-05	0.000425562088115981	0.00214860202282165	2.22044604925031e-16	2.22044604925031e-16	0.00177363580296012	2.22044604925031e-16	3.36241211609609e-10	0.000787563015220986	0.00142802051818695	2.22044604925031e-16	2.22044604925031e-16
"IS08"	2.22044604925031e-16	0.000203121497174906	0.00039560243746229	2.22044604925031e-16	2.22044604925031e-16	0.00295824369613623	0.00106617798981948	8.73504286107842e-05	0.00107188157246495	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00123175040968374	0.00418403990390573	0.000941767386479078	2.22044604925031e-16	0.000521817605579528	0.00400056814557116	1.89317003355915e-05	0.000223935224405374	0.00139973470079351	0.00169022222199224	0.00480414001640334	0.00227238607535632	0.00164775129819244	0.00300068396506347	0.00164980708558198
"IS09"	0.000317053466419266	0.00371643720453703	0.00144322682157644	2.22044604925031e-16	4.03192550926274e-05	2.22044604925031e-16	0.0016369176991757	0.000112715227379565	0.000111572442816477	0.000892122819263495	0.00127309570872838	2.22044604925031e-16	0.00148443362581626	3.63950098363718e-05	0.000150725655274879	2.22044604925031e-16	0.00027220296656677	0.000195333413454939	0.000269697919783974	0.000845494966311246	0.00158510660760619	0.000196084491994416	0.00179223857277264	0.00184658096121263	0.000204791547280567	0.000450614276046149	0.000881309222819659
"IS10"	0.00249641487099295	0.000226035275044831	0.00108537481218592	9.74582634064001e-05	0.00183044404129843	0.000297173602696654	0.00142090135183548	0.000754983279093325	0.00363962769202067	0.00355988049005429	0.00422789625897803	0.00289144731176849	0.000384216220338702	0.000247592805635615	2.22044604925031e-16	0.00239894474515945	0.00242526519664616	2.22044604925031e-16	0.000809261574766596	0.000774608620505348	2.22044604925031e-16	2.22044604925031e-16	0.000585359784177227	0.00285079041784458	2.22044604925031e-16	2.22044604925031e-16	0.00147350305947922
