"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"
"CXCR6"	4.75163242563818	2.83723483588434	2.78209608696002	1.86841416027561	1.52932622341444	1.39705815284187	1.29761697084818
"CD2"	6.08101786580691	4.06992552994245	5.73945930015268	3.40317635785113	2.2123670049702	2.49707708330697	2.67383114304785
"IL2RB"	5.01483953228222	3.03462775444105	4.44231321552974	2.84428219789451	1.69455485345304	2.16992660443591	1.89299129531737
"KLRC4"	3.06703373877517	1.61142972821814	0.957380498372862	1.05444981448063	2.35982193480608	0.399208288890213	1.07792452843012
"UBD"	3.60658435857268	0.988101129259825	0.877189834482302	1.17719387187295	0	0.204395545350344	0.913934115559965
"TNFSF13B"	4.83764559228131	3.58868465719203	4.9247222581305	7.03234332959447	2.59986048776766	3.52685131157335	2.43148122367393
"GPR25"	0.0920308121797227	0.123623159934154	1.6823665411875	0.200755180539263	0	0.105276521058217	0.027387709535513
"CD7"	5.55467633159698	3.28665718747656	5.81988017869973	2.44810143431737	3.34673851900912	2.08308228557652	1.96039679406689
"CTLA4"	3.08105238936711	2.15303839658285	3.0944455326077	1.41502036717351	1.58474127052014	1.00010459159906	0.953283866332174
"FPR3"	4.17132694023331	4.38959778532186	2.41235339455826	3.72074907046319	2.659173339645	3.46083821614815	3.58577378852835
"CD226"	1.51366507123384	1.52665729116927	1.5895142291012	1.38565467210516	0.317886355015466	0.997960752697046	0.765448606411038
"NCR1"	0.619259928893758	0.450891869930989	0.602473033561442	0.153787829111643	0.186470131417696	0.167215321269834	0.301240538659625
"IL12RB1"	4.0799753767206	2.58096912946093	3.95391705206277	2.12781979460203	1.08875220401058	2.23689207862376	1.42381210256206
"GFI1"	2.88018299202064	1.12400382306209	2.02849843011823	0.636116470417562	2.05314957606229	0.529321725153351	0.725599388121177
"CD86"	4.08499117073477	3.54456575353618	4.0176101809488	3.03123373103163	1.99222097276172	3.12209701668682	2.50776546892713
"IL2RA"	1.44974359826768	2.32027092958544	2.99478244754365	0.989994922065593	1.40575824299507	1.34540489186578	1.29490595161691
"CD80"	1.12523449803539	1.25665442776476	1.60277516347636	0.752230498094169	0.0697878047753227	0.697080768135955	0.533567334931051
"JAK2"	3.27768874135468	2.43295005644461	3.06747695526184	2.70016336008505	1.07047176525269	2.59514437420051	1.90095952381246
"LYZ"	9.44645888783681	8.57458595908148	8.5990164567993	8.40126993548842	6.72033319465959	6.13527320570324	7.71785460717432
"CCR7"	3.11232231400185	1.79784721631192	5.88639162749735	1.18963165963388	0.789982092037026	0.67160905487787	0.925505020973474
"CCL19"	7.02949705825956	4.09616906683425	8.86878243649414	3.39045789628568	0.463767869835687	2.8395968531951	2.7329768040962
"LY9"	3.45355247739549	1.78023029711062	4.70850179092829	1.02709529481736	0.50921140012997	0.64440131008513	0.972372836472713
"ZNF831"	1.35440984391357	0.475987063636465	1.62707448349942	0.165448273070517	1.74355805222205	0.12255034129221	0.238500126021258
"CD40LG"	1.37430225183764	1.1366802969771	3.06394810725499	0.944607357549253	0.590053913961176	0.165627068961811	0.447016290221056
"CCR4"	1.00537339735233	1.45460232029845	2.1684398643931	0.930386885661598	0.384559358495617	0.395015623166965	0.456608520636522
"TRAT1"	3.25971087917762	2.20176244347569	2.12354039378783	1.80694884931032	0.0557298662495234	0.549815034482129	0.841643897392961
"P2RY10"	2.72219166773766	1.95931761947596	4.41997028720838	0.835270065932564	0.0872186826443822	0.549364090399932	0.932482273998766
"LTA"	0.0392010146392125	0	0.372057238111686	0	0	0	0.0409849144265623
"TRAF3IP3"	4.86392111023514	2.79246912472281	5.62483200245346	2.17812342136436	1.48760982723466	1.78936201110721	1.80371060959348
