"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"FCRL3"	0.867008439221158	0.259168820212535	0.310098681683947	0.00597540588804509	0.0305387689655446	0.114885302504113	0.0391422551293945	0.310252276425264	0.0109092315980715	0.0348276038466754	0.472249642143161	0.201697212908733	0.497030316516695	0.414123081904103	2.16366617823961	0.518402193418523	0.621393624638003	0.467356700406393	0.291022355472388	0.173486303218639	0.204381145918502	1.21614130294014	0.182261331285993	0.134141671513777	0.165668870560572	0.616002861432659	4.58397632212714
"PLA2G2D"	2.48639388153396	2.13774286011914	2.75503603867278	0.0110541753182296	0.0751164999625153	0.26967832385332	0.998939951141849	1.51211055584345	0	0.453680342381613	2.00357345444714	0.956129900790792	1.99154996276597	2.80835312771457	5.25279219483879	2.12201664861985	0.672626286909351	2.59022713587997	1.58431795297651	0.857240553349418	0.80695709557916	3.24363024099774	1.41396229090851	0.0785829205321517	0.521822648680553	2.14083099751051	6.52013619566249
"BTLA"	0.800767812878511	0.649484403521625	0.497970472289441	0.0365417347631875	0.0383247091398243	0.132234898230364	0.213572495681533	0.563713131676411	0.0714707376720017	0.0845911605611347	0.85660649690915	0.151005413475456	0.575069763244372	0.444361747121579	2.13237613453036	0.956770758425626	0.38744415888889	0.528150200491593	0.48594146834805	0.235257724735548	0.440986737276464	1.09328296819785	0	0.293458773733307	0.348825015117646	0.224758972325818	3.38870616922638
"PVRIG"	1.57001596636207	2.03254874984084	1.79608894198993	0.525454533647005	1.85232250799924	2.22525641783839	2.57080899060107	2.21826815278133	1.88503740229685	2.13105767648874	2.18507046537181	1.44089374511272	2.82181530144014	3.41088784646882	3.65890266804517	2.36507098637065	3.10847427520837	3.10579036507642	2.36168134600478	2.42306311894173	2.01574910563887	3.1797650123092	1.83039325804437	1.71757005037045	1.44532413315363	2.0159649280222	4.32914512889268
"GZMK"	3.93562003834941	3.21476206218338	2.11887962713702	0.144282665017839	0.605135867550575	1.37259555778685	2.01133461478042	3.36683484823163	0.324886047775292	1.17092492340442	4.26761444752368	2.2547799609463	3.31857643077096	2.82864985895874	6.22530289029967	3.72844843876431	2.79959402589387	4.72050010658778	3.39088225810938	2.02008966445002	1.19566571215404	4.25395902073469	1.67892374533685	1.62546221244257	1.89559345795175	3.59477544566228	5.83759765990866
"SPIB"	0.671966322204649	0.548273849919346	0.378381774856784	0.0105649578473117	0	0.0409206882608784	0.912648715338944	0.887712419040238	0.0163781467083276	0.0172101453847604	1.2359047056146	0.0971369215780369	0.670706662906018	1.05664941918324	2.54212553864346	1.21192177052147	0.185399099813267	0.70119904173205	0.578475044537041	0.242514097184922	0.543473611803832	0.453439614948785	0.339584380057535	0.188819935323365	0.353534456899986	0.17328225098279	5.97208834147497
"TTC24"	0.0326592591226114	0.0903516510794944	0.0981080362223915	0	0.0080526812813212	0.0183963163567225	0	0.301756195041837	0.0406986091664489	3.47088822299033	0.417546327322696	0.0998988888185705	0.0618912630454856	0.146613908580514	1.24660570316901	0.316148639268441	0.250874887991653	0.230969664155661	0.136718418484798	0.0705371622085877	0.0296429944933706	0.423752413280609	0	0.148438265722929	0.138122438300761	0.191993373620493	1.69666602361367
"ZNF831"	0.425610763680544	0.165448273070517	0.238500126021258	0.00413213010768275	0.0394080929955855	0.0397114266733286	0.0852949302442666	0.264633708300691	0.0461153727480257	0.0358782238939203	0.331052789714883	0.0929280642621972	0.208899888446639	0.138472951346288	1.35440984391357	0.628389602949916	0.316576748230784	0.462604678838831	0.31004282499621	0.12255034129221	0.317279174131584	0.475987063636465	0.0546947202190951	1.74355805222205	0.170683979954548	0.173527877721165	1.62707448349942
"RTP5"	0.0124059812461066	0	0.0280415526814613	0	0	0.0312783078326455	0	0.118991489363647	0	0	0.0714202116476935	0.0422850195809088	0.0935000062765751	0.0438586314902444	1.06305418745952	0.110394248608486	0.221726402035239	0.296042086366897	0.0725522292200185	0.0204487205038272	0.0420681248101183	0.276236391293804	0	0	0.197291721132182	0.0946198364960366	0.937381306590234
"GPR174"	0.890335008390321	1.02103832313291	0.913787861363332	0	0.0295203101057875	0.0971240409000778	0.475365091462535	0.536055387643308	0.0467195823107836	0.330007030295483	1.41187362876134	0.55227967482469	0.570032001184907	0.227018438548847	2.45416931153283	1.52994584978325	0.486567135979159	0.256546949649678	0.88443889343574	0.46330385703423	0.376561002208884	2.10019892034074	0	0.204120679209952	0.424879102243195	0.220487218642753	2.94016111127294
"NCR3"	0	0.0430300316866735	0.0325136276965765	0	0	0	0.0683612600478019	0.128416216251955	0	0.0636879957676776	0.0250906837178732	0.0394169370364211	0.0422951069162307	0.188638041387572	0.460402356893	0.0246752731726764	0	0.130530285183422	0	0	0	0.0420263674225262	0	0	0	0.172890696911879	0.735583696313951
"PTPRCAP"	4.07973223413814	3.75762068877862	3.0760091723467	0.677611972762741	1.0617139962201	2.65170154709752	3.43547458280299	5.25311756371308	1.09492177827529	1.67499388012003	4.21229306820403	3.2384727641365	5.46811733075873	5.56975689424052	7.93132257461933	4.8603942461241	4.8523784437561	7.04627822864253	4.36053283865776	2.81774705794415	4.8823789386384	4.8858061725891	4.58100770745031	4.28369957423635	3.55729979753581	4.86164774162364	9.18585663665752
"EOMES"	2.58113307879189	1.81729784703965	1.54231253679103	3.06882212235282	1.02278608955896	3.48027675664498	1.679588192021	1.95161949795103	0.386258037311163	0.192115241076378	2.08851308033358	0.721202894924634	1.68033786094656	1.11078149078537	4.0224743465749	1.78395737227228	0.964458519902288	1.87730843134032	1.49807722298479	0.788557511754961	0.280999059717517	2.05250284277499	1.36846665043262	0.425168158221972	1.47073988231532	2.08365589708063	3.16824729408256
