"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"
"FCRL3"	2.16366617823961	1.21614130294014	4.58397632212714	0.472249642143161	0.518402193418523	0.621393624638003	0.467356700406393	0.291022355472388
"PLA2G2D"	5.25279219483879	3.24363024099774	6.52013619566249	2.00357345444714	2.12201664861985	0.672626286909351	2.59022713587997	1.58431795297651
"BTLA"	2.13237613453036	1.09328296819785	3.38870616922638	0.85660649690915	0.956770758425626	0.38744415888889	0.528150200491593	0.48594146834805
"PVRIG"	3.65890266804517	3.1797650123092	4.32914512889268	2.18507046537181	2.36507098637065	3.10847427520837	3.10579036507642	2.36168134600478
"GZMK"	6.22530289029967	4.25395902073469	5.83759765990866	4.26761444752368	3.72844843876431	2.79959402589387	4.72050010658778	3.39088225810938
"SPIB"	2.54212553864346	0.453439614948785	5.97208834147497	1.2359047056146	1.21192177052147	0.185399099813267	0.70119904173205	0.578475044537041
"TTC24"	1.24660570316901	0.423752413280609	1.69666602361367	0.417546327322696	0.316148639268441	0.250874887991653	0.230969664155661	0.136718418484798
"ZNF831"	1.35440984391357	0.475987063636465	1.62707448349942	0.331052789714883	0.628389602949916	0.316576748230784	0.462604678838831	0.31004282499621
"RTP5"	1.06305418745952	0.276236391293804	0.937381306590234	0.0714202116476935	0.110394248608486	0.221726402035239	0.296042086366897	0.0725522292200185
"GPR174"	2.45416931153283	2.10019892034074	2.94016111127294	1.41187362876134	1.52994584978325	0.486567135979159	0.256546949649678	0.88443889343574
"NCR3"	0.460402356893	0.0420263674225262	0.735583696313951	0.0250906837178732	0.0246752731726764	0	0.130530285183422	0
"PTPRCAP"	7.93132257461933	4.8858061725891	9.18585663665752	4.21229306820403	4.8603942461241	4.8523784437561	7.04627822864253	4.36053283865776
"EOMES"	4.0224743465749	2.05250284277499	3.16824729408256	2.08851308033358	1.78395737227228	0.964458519902288	1.87730843134032	1.49807722298479
"SIRPG"	4.63778411029132	2.43852041744227	3.84565062023915	2.54664015283068	2.21548601735578	1.80396679634744	3.63129639603232	1.92909030637539
"TRAT1"	3.25971087917762	2.20176244347569	2.12354039378783	1.57089033290767	1.83277661894032	1.03834838108761	0.951662389320646	1.17241070627611
"PDCD1"	4.63258231651479	2.59079361558347	4.01606836862765	2.4586930320574	1.7653565200849	2.79091484092468	3.49704769451741	1.97731106705671
"UBASH3A"	2.90273446209866	1.03323973458864	2.37939916252558	1.21216775618941	1.30293314417412	0.80434727367584	1.22790122950738	0.808675414012033
"LILRA4"	1.03547752153895	0.563282621557811	4.63012585232438	1.13056850364957	1.17684294277397	1.30648099008195	0.457661001499284	0.726431042489852
"KLRK1"	5.84334699878555	2.96312728059279	3.59306687683096	3.04865470184035	2.83726006999269	2.82687995129568	2.95539185560999	2.57581936340975
"SLAMF6"	3.92537284914184	2.36671527323656	5.25386828044172	1.99564189520705	2.77736079659366	1.73238426314031	2.19355414019379	1.73977683007604
"P2RY10"	2.72219166773766	1.95931761947596	4.41997028720838	2.1857444659506	2.30592384051098	0.754217080985683	0.67066633201689	1.36315986078767
"TIGIT"	4.77349530234493	3.05948161174173	4.60537580326534	2.86794389428282	2.8416883748622	2.45680352136826	2.7402853803545	2.3244909289851
