"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.176335804979096	0.0780118996691918	0.0108900039030482	7.38307298992391e-15	1.42571404155674e-14	1.43148637445631e-14	0.00836983976416529	2.03048654137181e-14	1.02494871348942e-14	0.0612639698468159	0.116565240179607	0.0498711856357983	0.0386100269110213	0.0292454248648512	0.317237656653699	0.206480065142568	0.0209602623763155	0.0802523355219359	1.42534454948069e-14	1.5821189933219e-14	0.0226631289886606	0.303184680204087	1.19754206740249e-14	3.47709717374131e-06	1.93047609862355e-14	0.00878546276172672	0.572906999201043
"IS02"	0.00589230047181102	0.0361772625715258	0.286414804010319	0.18672745425725	0.169203130409789	0.283260990459153	0.027459542871895	0.212120490509505	0.0999248209441966	0.0873128786062584	1.09140187278416e-14	1.39985095969715e-14	0.229098575690135	0.49044186294281	4.72283438775372e-15	1.05164322192252e-14	2.47765905082911e-08	0.143900858663167	1.42534454948069e-14	0.0284832726698177	0.333602731313403	1.25522966522892e-14	0.245435933054844	0.130566557000182	0.273961106908174	0.585404161273513	3.99523181623933e-12
"IS03"	0.207383944393674	0.148467926947571	1.57745637516446e-12	7.38307298992391e-15	0.109106615427576	1.43148637445631e-14	0.0395427706289282	0.00132757283413889	1.02494871348942e-14	1.1167124729163e-14	0.311928120305029	0.137705484236847	0.146993110296288	0.0489099512307157	0.101954584030062	0.284941727598324	0.36730066424924	0.0662312642148141	0.207647701129521	0.0528621500310118	1.30865941939481e-14	0.206926781818746	0.00690315133986975	0.00978649899559486	1.93047609862355e-14	1.75642595753863e-14	0.052620057224774
"IS04"	0.00862069017979698	0.151837397115634	0.0292284763778968	7.38307298992391e-15	1.42571404155674e-14	1.43148637445631e-14	0.207944414915682	0.0915380083012034	0.0348780602017054	0.00283954915819157	0.0191127134947614	1.39985095969715e-14	0.072508155639641	0.166751969165203	0.0373958206620204	0.007831186327776	0.0175853929520199	0.0487043149599637	1.42534454948069e-14	1.5821189933219e-14	0.0997885684445259	0.0136947571489807	1.19754206740249e-14	0.0226591169261121	0.13631149916474	1.75642595753863e-14	0.0908959771721774
"IS05"	0.0085098104780143	0.09408851984496	0.0834417471085175	7.38307298992391e-15	1.42571404155674e-14	1.43148637445631e-14	1.56857550956773e-14	0.108607267818186	1.02494871348942e-14	1.1167124729163e-14	0.200942471054881	0.0696190364135165	0.106320926014256	0.0207528537327038	0.219303054809145	0.165016654806765	0.225710420408473	0.239897141728227	0.292801683519061	0.0894805128619349	1.30865941939481e-14	0.121736431286158	0.0207299733132225	0.0147223982422968	0.0153316841095085	0.0139729279434076	0.104515246873091
"IS06"	0.00973705274960867	0.0205882485359573	0.0155555566945515	0.00622868647731335	1.42571404155674e-14	0.0968435100201387	0.0382990550546719	0.257265750285398	1.02494871348942e-14	1.1167124729163e-14	0.150121946098605	0.0307427164586677	2.18096329864902e-14	1.33798669779539e-14	0.24998023710082	0.0639966618996804	0.0620002862972412	0.0686990275722111	0.0338881373612137	1.5821189933219e-14	1.30865941939481e-14	0.0953342412211236	1.19754206740249e-14	0.225256420377406	0.0358078244863905	0.0405815659799849	0.0239460319627022
"IS07"	0.0649590237189476	0.0535282426828853	0.244316684083326	0.398814355024305	0.496884703899053	0.464770968044167	0.309015896759217	0.0419757639120958	0.553426309179444	0.486880400628439	0.00563115947568286	0.204653848143517	0.0261992541264893	0.104702074603874	0.0108212486641147	1.05164322192252e-14	0.00771026013010517	0.0158384567803429	1.42534454948069e-14	0.223808576251992	0.306364665288741	0.00173179753898391	0.241717171428719	0.235640301834822	0.203088385136231	0.11102715164434	0.00384596037190231
"IS08"	0.0272291370902702	0.126453098019806	0.12751848487422	7.38307298992391e-15	0.110485428063927	0.0374678729361566	0.00935997463894013	2.03048654137181e-14	0.0280505509386736	1.1167124729163e-14	0.037189545657773	0.454629354242266	0.00190795606399669	1.33798669779539e-14	4.72283438775372e-15	0.002989627884795	0.0506357488757806	0.187832886332358	0.0522418297140399	0.082584441868716	0.170501935679909	0.0577709024317021	0.169699780249335	0.0587177929110325	0.157886724341461	0.158477713507699	0.0560673569894047
"IS09"	0.0842971686181703	0.0194264273973262	2.5309371078732e-14	0.0976555536878999	0.0163759295609968	1.43148637445631e-14	0.208765271916426	0.10328602675543	1.02494871348942e-14	0.0471170629108604	0.0504752863128112	0.0335853999302381	0.16906825324694	0.139195863459775	0.0178550514563607	1.05164322192252e-14	1.29271871813665e-14	0.0023536109718516	0.017026336594304	0.0340127926907648	0.0356494975670264	1.25522966522892e-14	1.19754206740249e-14	0.122454047416377	0.0365080697375981	0.064451537657649	4.64741502999144e-15
"IS10"	0.23095123926428	0.055249870301968	0.114417538883539	0.0222708349517159	0.0736466419962736	0.0577375640604684	0.109618637518229	0.134201348534513	1.02494871348942e-14	1.1167124729163e-14	0.0570082462157214	1.21308360284231e-09	0.169166688649586	1.33798669779539e-14	0.0182838274356686	0.135182814655645	0.202645915843188	0.123425479190304	0.200040845218723	0.0896779290083405	0.00725712839779889	0.126613323248803	1.19754206740249e-14	0.0509030818887443	0.138829356091321	0.0172994792316097	0.0386596477335578
