"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.000817271085138492	0.00142614525442394	0.000676724334484975	2.22044604925031e-16	0.000908457056785837	0.000129710576769243	0.000371438325195867	0.000501042672637084	0.000290992090310224	0.000314435232999853	0.00288123053601083	0.00141485597544119	0.000358287630951839	0.000671068815664498	0.0020887842455912	0.00342931478410998	0.00528655848760609	0.000354790674035372	0.000987361547906743	0.000493179939903204	2.22044604925031e-16	0.00113656667559833	0.000133274769735586	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IS02"	2.22044604925031e-16	0.000630048289138471	2.22044604925031e-16	3.28279859591745e-05	2.22044604925031e-16	0.000220318725352914	7.46445227991564e-05	0.000949809079920773	1.47122695653674e-05	0.000242712047135816	2.22044604925031e-16	0.000634435171489776	0.000185005364927774	3.46146597458163e-06	0.000761929559284262	0.000735270984878669	0.000896456295720361	0.000211554582203748	3.80018145246245e-05	0.00029560894674875	0.00476264225361347	2.22044604925031e-16	0.00145883522100723	2.22044604925031e-16	0.00148162311268951	2.22044604925031e-16	0.000717039108687923
"IS03"	0.000985216317403965	0.00109619991932158	0.00122797904113112	0.00223284776757043	0.00205878130599223	0.000321867026009657	2.22044604925031e-16	0.00134959717160016	0.000865245960157848	0.00142852959672572	0.00206614881367154	0.000672383965930407	0.000871652730617141	0.000362461098975521	0.000162779397933515	0.00018887326369502	0.000451316062693252	2.22044604925031e-16	0.000811337292231728	0.00116167031109854	2.22044604925031e-16	0.000482424941060966	0.000230318656894707	0.00295197732424946	0.000112251279370853	0.000145163505466373	4.73895168806105e-06
"IS04"	0.00130573061942322	0.00075868577246484	2.22044604925031e-16	4.76692179733895e-05	2.22044604925031e-16	1.35457785493191e-06	0.000335568266544947	0.000275410587298339	0.00016710193995862	0.000339528820656375	0.00264265807962896	2.22044604925031e-16	0.000787841161456463	0.000497974966742317	0.00766624271847876	0.00439994519554052	0.000608214041537985	0.00148587148027249	0.000395091319225488	2.22044604925031e-16	0.000157639160137621	0.00162457811893391	0.000406519957995952	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0185525143286594
"IS05"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000715120198026074	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000655353323580139	2.22044604925031e-16	0.00513505219688523	0.00187012944878086	2.22044604925031e-16	0.000798753159618906	2.22044604925031e-16	2.22044604925031e-16	0.00245757373225067	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000923014270911527	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IS06"	2.22044604925031e-16	0.00135024221425272	1.93200528409217e-05	2.22044604925031e-16	4.30745787788533e-05	0.000104875956248247	2.22044604925031e-16	0.000105389539968753	0.000318606902720126	0.000388645034892017	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000496673335133815	0.00133285291458781	2.22044604925031e-16	2.22044604925031e-16	0.000152711133693096	2.22044604925031e-16	2.22044604925031e-16	0.000320251719493728	0.0115548234062463	0.000248276350275345	2.22044604925031e-16	2.22044604925031e-16	0.000868353266845095	0.000436612018866569
"IS07"	2.22044604925031e-16	0.000222848325027759	0.000285357208446453	0.000142565229208929	0.00103462198227534	8.42263635438906e-05	2.22044604925031e-16	0.000140341095452938	0.000477275718757276	8.79387186907929e-11	0.00167553703334235	0.00121253239677811	0.000294952706557235	0.000273198045155678	0.00505968737164456	0.000706115605602095	0.00123696939447124	0.00194867282117553	0.00201228742723413	0.000348815655714399	0.00034843299170076	0.00196840835405968	0.000849826455889171	0.000776829726762607	7.15238944924814e-06	0.000336232821755265	0.00278687166629078
"IS08"	2.89359830994776e-05	0.000448678721843096	0.00160429553121834	0.00718443455854042	0.00321304242995604	0.00508042835430151	0.00242346909443	0.000323438601709097	0.00450243035391287	0.00337717446544813	2.22044604925031e-16	0.0020028165292151	0.000862171465152194	0.00159425001517036	2.22044604925031e-16	2.22044604925031e-16	0.000221306690472345	0.000829484924842296	0.000861589707880765	0.00286802336598557	0.000147346698578621	0.000224371202318026	0.0027608830301774	0.00252715342505839	0.0029947460963801	0.00316289328007491	2.22044604925031e-16
"IS09"	2.22044604925031e-16	5.89280126614452e-05	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000250494971183903	9.04427483954741e-05	0.000448438924872382	0.00331615970431219	5.85169100507726e-05	2.22044604925031e-16	2.22044604925031e-16	0.000341584817637118	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000147906767716552	2.22044604925031e-16	2.22044604925031e-16	0.0141840217459886	0.000145019184584631	0.000115144498839809	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	3.11858071018111e-05
"IS10"	0.00292298824872476	0.0015074293430416	0.000365805683764078	2.22044604925031e-16	0.000404700605780731	0.00128968817659073	0.00184828771553246	0.00287421729002555	0.000845117717888991	0.00111957381980819	0.00198955696191387	0.000267865033134475	0.000506899614406063	0.000901175632761309	2.12483176344256e-15	0.0042609850649537	0.00213573926024904	0.00064432816705284	0.000478858808358699	0.000489831802768302	5.67573340023021e-05	0.00308411766943966	0.00028751412480696	0.00226246103729296	0.000338130670787389	2.22044604925031e-16	0.000845735173749724
