"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MCEMP1"	0.276902171215038	0.460747281040921	0.703478161331173	0.108784436270524	0.30288051785309	0.099321532861172	0.631464736432619	0.0833635709434713	1.94835040977925	0.481583112080573	1.53674423322944	1.07661723956373	0.213510907514301	0.0446718595073987	0.393754455502648	0.722437607470723	2.46079759742817	0	0.161026128175802	0.128516915629729	0.382926720868042	0.1069381425853	0.847571248730271	0.320944418672542	0.0630696545644541	0	0
"MRC1"	1.45168588647002	3.03997007317744	0.71076258061272	0.347089029939233	1.39171273815219	0.764730007315605	2.29156230390607	2.41557750715836	2.28256434884263	2.57191339741107	0.894806512667454	3.38284982579953	0.699998407921706	0.133533935065339	3.72969958833598	1.58574855533801	0.93289154056034	0.815821731620442	2.20590856266485	1.00713377283313	0.928336967713555	4.10666657522343	0.411614976942899	1.82480857790486	1.44675380768418	1.10289324294507	1.80671999654575
"ITGAM"	2.28989051972406	1.9504646814285	2.1362455355625	0.544081751047814	2.81849066010209	1.5494646409629	2.02857445621291	1.45943686479154	1.83671390529514	1.74092756031863	3.35367898033639	2.40547098981829	1.67367400562815	1.91222638229275	2.43479500355054	3.35849472647171	3.18997395901408	1.8502693643191	2.58776581723327	2.52221899754569	1.47636094786681	2.10800750299062	1.32681918686475	1.3999257472761	1.34194021767261	0.949384025759972	2.03873817481157
"FCN1"	3.50651308479422	3.75332106078506	4.5374110059155	0.784122424441961	3.07227133209124	0.945094503864552	3.39369968663157	3.98609687596731	1.4144603058161	2.59365614347123	4.79761224643995	2.37392099618364	1.62445655175283	3.22295599280831	4.53674609788842	4.79049577283879	3.99355209427809	4.67890572218112	1.40837220357268	0.879680675715572	1.66641348502375	3.01394010131203	3.06272098299598	3.28763777297445	2.13647359656665	2.59030739071436	2.19265184055955
"OLR1"	1.02486998295522	3.95830910414378	0.173759777503985	0.88172999913382	2.72377260178443	1.37661545325983	1.4073663485787	1.1853971967405	1.42686586422687	1.18334676397759	3.06184530707107	1.26941621792774	0.889235604781591	1.49595605196665	1.4272789817886	2.91442866650335	4.50213325524051	0.162036103076551	2.18392949753416	2.76726706156778	0.498286615280638	0.425945313367537	0.80549553314126	0.476013513555963	0.479644474576236	0.134819714675566	0.11656291401569
"CD300C"	1.28720039743073	1.17906511534264	0.87641085853556	0.302045841671399	1.23465459493589	0.850553820087674	1.60489921201848	0.797375785584461	1.23395859838592	0.690684824160583	2.19851458381636	1.33739997300651	1.44915723134612	1.80690967888965	2.00135549635491	1.92842907196566	2.14220428911827	1.00558898098975	1.63344516060284	1.45591765907734	0.907744033875007	1.45804334057353	1.3113229126501	0.790746185869529	0.729182940685672	0.65756958350931	1.27236366075574
"CLEC12A"	2.06664204583748	2.26112758656132	0.806132235290346	0.0173733658788834	1.73156341983729	0.49283866534109	0.421545403431953	1.10789873508112	0.26318527980084	0.339010216866793	1.93953878302766	0.986715279944177	1.46573943621404	0.62366837230757	2.69067186348493	2.80501482877095	1.57650278898886	1.04894061809089	1.72059148952835	1.0398578069232	0.396550257409602	2.22875405631023	0.155531646461992	0.719789748879836	0.933811305237243	0.560733538223111	0.827275981420069
"CD33"	1.86631456137705	2.01115746755663	1.9083825323819	0.732289173470594	2.01225042314048	1.18463893969331	2.53018563372337	2.64896581265944	1.1349010479333	1.43131272687012	2.75042964059091	2.17302666523031	2.47676272649964	1.47755040626078	3.38974576092671	3.4873474240931	2.7703649837687	2.87163964646822	2.45602809295583	1.93100220151805	1.33555757256412	2.41166622296786	1.30896657975252	1.20105666770691	1.5046102235921	0.843364035229422	1.78634543658521
"ADGRE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DPEP2"	1.27503089350182	1.66936925150728	1.15626392656432	0.279079590143026	0.950263473442489	0.758191441767362	0.725296611453612	1.42481999444652	0.432927881373354	0.482296908200271	1.65536098855199	0.754313729786681	1.8874843288149	1.84263294566369	2.1125883821003	2.09280787216119	2.63421105464109	1.45580721674484	0.883946851980072	0.682005096207898	1.01775946207701	1.34979553063309	0.574609208637959	0.996902095445588	0.551226588279062	1.12005992101637	2.50981996663223
