"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.0655640462685613	0.114082012158685	0.0596874785787742	1.54287111699785e-14	0.0736534550179445	0.010816771906374	0.0324275346074673	0.0390611887789814	0.0186231971458363	0.0135553816324081	0.149160351583909	0.0865825802610942	0.0292884911570363	0.0370574914404303	0.0976478427395299	0.168890081816764	0.309562360491649	0.0264717210790705	0.0986619299003766	0.0491420274040366	3.56877591771678e-15	0.0449798038387761	0.00816085372526356	1.30900571921529e-14	2.1876466346519e-14	1.81803541648831e-14	7.87161934273764e-15
"IS02"	1.78131136849436e-14	0.050399618383253	1.95844628671166e-14	0.0022810439993677	1.80023394597049e-14	0.0183727299515841	0.00651666153472754	0.0740469301337308	0.000941570254663713	0.0104633771295933	1.14951757327215e-14	0.0388244705535104	0.0151234023354263	0.000191147677749535	0.0356191779694942	0.0362113088506921	0.052493342811092	0.0157845577771263	0.00379732466659694	0.0294554214124293	0.0765467955644981	8.78744994676943e-15	0.0893292921947831	1.30900571921529e-14	0.145973725296862	1.81803541648831e-14	0.0254194823573979
"IS03"	0.0790371388311985	0.0876886082511339	0.10830846325111	0.15514884184647	0.166916372304025	0.0268410047294998	1.93850731660793e-14	0.105214331581768	0.0553748594282388	0.0615842686332047	0.106963840491091	0.0411467596044812	0.0712539063234319	0.0200156805967417	0.0076097170323823	0.0093018060360796	0.0264274888895413	1.65672416972883e-14	0.0810727369537877	0.115752547181186	3.56877591771678e-15	0.0190920424483078	0.0141031710116322	0.174026079207871	0.0110593154755517	0.0118855575981486	0.00016799878467948
"IS04"	0.104749800039279	0.060689750395668	1.95844628671166e-14	0.00331228311563117	1.80023394597049e-14	0.00011296040809602	0.0292959849278234	0.0214709555287374	0.0106943538155399	0.0146371724799707	0.136809534449565	1.35880931778018e-14	0.064402666732217	0.0274989727384799	0.358386494419964	0.216692590457827	0.0356148853406375	0.110864175029576	0.0394794309382546	2.21252349847928e-14	0.00253362984693181	0.0642929329878047	0.0248925578351191	1.30900571921529e-14	2.1876466346519e-14	1.81803541648831e-14	0.65769817147865
"IS05"	1.78131136849436e-14	1.77620724398511e-14	1.95844628671166e-14	0.0496899395096194	1.80023394597049e-14	1.85166538021632e-14	1.93850731660793e-14	0.0510912169507735	1.42106283654642e-14	0.221373386077086	0.096815982824405	1.35880931778018e-14	0.0652946762075016	1.22616576040048e-14	1.03802854261492e-14	0.121032875323595	1.30021548415999e-14	1.65672416972883e-14	2.21877682924912e-14	2.21252349847928e-14	3.56877591771678e-15	0.0365284340438148	1.35965235195846e-14	1.30900571921529e-14	2.1876466346519e-14	1.81803541648831e-14	7.87161934273764e-15
"IS06"	1.78131136849436e-14	0.108010280317322	0.00170403985983587	1.54287111699785e-14	0.00349228565820156	0.00874577328584617	1.93850731660793e-14	0.00821614792684778	0.0203905169898452	0.0167545847748694	1.14951757327215e-14	1.35880931778018e-14	1.81512027935136e-14	0.0274270945628521	0.0623090738420221	1.09354590796168e-14	1.30021548415999e-14	0.0113941172433108	2.21877682924912e-14	2.21252349847928e-14	0.00514719384658089	0.457283942388203	0.0152027798064046	1.30900571921529e-14	2.1876466346519e-14	0.0710981919007094	0.0154781676147556
"IS07"	1.78131136849436e-14	0.0178263646332635	0.0251686711981607	0.00990610758180321	0.0838823178959114	0.00702377081075187	1.93850731660793e-14	0.0109409643575547	0.0305451594710414	3.79106018351079e-09	0.0867419978587459	0.074201321820393	0.0241111302525169	0.0150864322459596	0.236533551907221	0.0347754376340178	0.0724325979758225	0.145394812129084	0.201077469044738	0.0347571081569909	0.00560013277575249	0.0779000682855693	0.0520376768395861	0.0457959586783037	0.000704673761997068	0.0275297469327507	0.0987963338335044
"IS08"	0.0023213351961901	0.035891274918783	0.141499795816407	0.499208552086899	0.260498473007408	0.423665024579438	0.211575173047411	0.0252152101402345	0.288150952924272	0.145590836884347	1.14951757327215e-14	0.122563021183085	0.0704788531657499	0.0880370312433326	1.03802854261492e-14	1.09354590796168e-14	0.0129589451541727	0.0618897146308018	0.0860942007940609	0.28577902595621	0.00236820592700281	0.00887952540225789	0.169057974037708	0.148981700674639	0.295050907523504	0.258968327723636	7.87161934273764e-15
"IS09"	1.78131136849436e-14	0.00471384400437219	1.95844628671166e-14	1.54287111699785e-14	1.80023394597049e-14	1.85166538021632e-14	0.021868864347208	0.00705089897866726	0.028699634058307	0.14296047525306	0.00302940107280066	1.35880931778018e-14	1.81512027935136e-14	0.0188628590098232	1.03802854261492e-14	1.09354590796168e-14	1.30021548415999e-14	0.0110356528151275	2.21877682924912e-14	2.21252349847928e-14	0.227970390185998	0.00573915689727756	0.00705067744003429	1.30900571921529e-14	2.1876466346519e-14	1.81803541648831e-14	0.00110555625742127
"IS10"	0.23449127256151	0.120584191622679	0.032264273354791	1.54287111699785e-14	0.0328112348745098	0.107549154309498	0.161360338431368	0.224073417871974	0.0540866724415325	0.0482651077246171	0.102998705666283	0.0163920894656959	0.0414368892238781	0.0497643572728205	9.9333015519691e-14	0.209848952792127	0.125061415351288	0.0480747572296982	0.0478498826317735	0.0488084083057656	0.0009122230500021	0.122054438833578	0.0176054381572138	0.133377455323364	0.0333135958998135	1.81803541648831e-14	0.0299818379049093
