"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"SLC44A4"	0.0245462085072497	0.019399325902988	0.0210926352285879	0	0.00846810038998542	0.0159988145546338	0.0610486885526976	0.110309450346998	0.00818079115903263	0.0137047193955442	0.0200750101061615	0	0.0500929136722831	0	0	0.0308062108623265	0.0910713083618526	0.0196638452918495	0.0104985036903968	0.0118860296714073	0.0723176775389734	1.01762763944397	0	0.0631501636915629	0	0.0552764651177793	0
"AGR2"	0	0.136867810966904	0	0	0.0257134690555723	0.0336741099389915	0	0.672676518770917	0	0	0	3.37537242950336	0	0	0.40494997628365	0	0	0	0	0	1.90890319341895	5.29291791554794	0	0	0	0	0.101788826298372
"C9orf152"	0.0084990798950431	0.0369199232109488	0.0120882672515764	0	0.0577219758253587	0.0133914364812986	0	0.89241434200848	0.0505789409455424	0.0263179947576282	0.0307528987456775	0.054719861336626	0	0	0.0182536540893239	0.109549585207171	0.0227363856244941	0	0.0633239403768842	0.0411238743573429	0.0211175157413715	0.99303483352145	0.0520818235763675	0.101743115495834	0.0358882154001209	0	0.0833867195600046
"BCAS1"	0.196013982105353	0.0282748548256121	0.0167531723410676	0.0173884753139205	1.15999401108502	0.00865167293361864	0.0136900000518025	0.214177661745991	0.0242337107348938	0.020732928812916	0.126010077806901	0.0436418332143843	0.251153111924196	0.055666570791468	0.269425793411446	0.0903848510019313	0.0689470800863061	0.010891240580246	0.00534615966067846	0	0.0372341141109735	0.133980426722572	0.521789489086883	0.0538835799523037	0	0	1.26989491427591
"ERN2"	0.00453252175246051	0.00999462717266393	0	0	0.456304140674176	0	0.040513037865678	0.141392112372336	0.00898426695744887	0.100867474078651	0	0	0.186636200098465	0	0.042955393745403	0.0215851184744474	0.00965789516408214	0	0.0067084127132756	0	0.0328164399378088	0.644220395443259	0.038499113815954	0	0	0	0.029680447901669
"BCL2L15"	0.10685099740599	0.0646627755324765	0.0075353201370069	0.00647079940263991	0.00632443207019643	0.0585948240196565	0.143221512872447	0.0842158759044781	0.072263887865003	0.027395608370241	0.125375429329589	0.0408807908732491	0.140160879941705	0	0.133681027612189	0.127911689702024	0.141343845972868	0.0260948038658868	0.0940381333746015	0.111857886755302	0.977784366365346	0.194343032109396	0.0544239740144095	0.134100260996182	0.0188257137266596	0.0260745288172024	0.270951074481652
"FAM83E"	0.031402042708358	0	0.0115687736076826	0	0	0.0263415103856466	0	0.567300597040766	0.0107769032417364	0.0343093325010678	0	0.0121176669590373	0.0523157924063036	0.0370575175778977	0.0327180011980217	0.0432923541138633	0	0	0.0163633119731581	0	1.09341481765245	1.32624682407479	0.0943666160150068	0	0.0615953915159715	0	0
"TSPAN1"	1.39382528133566	0.816477241204592	0.1067636459945	0.790206106885191	1.72481832173047	0.0450337996579617	0.660368255856123	1.84932077315361	0.950980452017885	4.63116541221656	0.12941174906287	1.42734603516848	1.03054725792868	0.26801511865652	0.572162075714117	0.52638937494874	0.18457102610405	0.772552063715421	0.154409131581567	0.106281443377778	1.45893314697311	3.43090477613104	0.408680344183341	0.61575809639195	0.513449308568055	1.712041045052	0.917150636394672
"TMC5"	0.0330515797983112	0.0233010635370751	0.00766060585544818	0.0187147805143475	0.0506419724766696	0.0244055716087453	0.0610116949688328	0.0835352703707519	0.00373501607744188	0.040797206125701	0.00633743129091388	0.474753232554002	0.00784370722022435	0.0459791286962083	0.0644141064424007	0.0274519747848425	0.00675237525082225	0.0100851731802885	0.0227096584009038	0.0255460443988648	2.74665136226087	1.55373157477737	0	0.0835427587784187	0	0	0.12649280285585
"TFF1"	0	0	0	0	0	0	0	0	0	0	0	0.0640386418270291	0	0	0	0	0	0	0	0	0	0.426328634482208	0	0	0	0	0
"PLS1"	1.47971689720826	2.49824065372147	0.783526639611687	2.36128129746469	1.40320772243211	1.76498726702496	0.506380550165069	0.258115456394144	1.82866407445366	0.0591425267162078	0.500793896454364	3.05524338458059	0.278493319200073	1.41910197190837	0.531350017220124	0.314421589933184	0.424260499818095	0.0876447790817754	2.07436842178155	2.46431408371551	1.68837956881809	1.7075645461858	0.332764065199346	0.0781699915808277	0.805266036908861	1.16105567643358	0.367574594312691
"CAPN8"	0.00855515684419051	0	0	0.0617721200236861	0.00829246557337083	0.0174513345667452	0	0	0.0824420224331489	0.0131424195104841	0	0.00810310886742109	0.0337801642100296	0.103195607285022	0.0861961082373267	0.0293171088076988	0.0421951411114117	0.0647597483095569	0	0	0	1.46755077553657	0	0	0	0	0
"ST6GALNAC1"	0.235792607550415	0.0744488509185342	0.032372213624608	0.0619853127392717	0.349776285212347	0.0700112922658553	0.0505506629218015	0.260316575147312	0	0.0552095395943694	0.101268444213208	0.15860085076519	0.425648894448001	0.0458423127474182	0.410406778852871	0.199248935136835	3.90156685829501	0.0714186326809205	0.459845481592254	0.41607009930141	3.05565813812773	4.16677970612057	0.836403276542125	0.0461320006282367	0.0877977791831317	2.34686614207022	0.232345171105384
"SPDEF"	0.0387558008315953	0.0460155315717186	0.0124863642410238	0.0470802411559923	0.00950225543220343	0.0243507457452833	0.185192030773397	1.8359079095135	0	0.0352582633627224	0.0499642914141781	0.0943062770436644	0	0.0381179669862955	0.158748576078881	0.0361477592267057	0.0452535347024322	0.788623491743365	0.205750952525572	0.0859208117893226	0.327179170131784	0.616002861432659	0.089478625510934	0.197035005320028	0.166365814139843	0.0804703395729611	0.0686932333076945
"PIGR"	0.0444397252881118	2.34617684337941	0.0156243063290352	0.0086037957370337	0.0374506122103011	0.00861962112967002	0.0274880696495832	0.0809761125061561	0.0162662405422775	0.866856953893308	0.0807303760713729	0.0239512271328213	0.01662282650978	0.0262303035843363	0.275869425952562	0.095405834019018	0.0614124197988252	0.0699765893756903	0.18570673023996	0.185988931391686	0.18676802727231	4.46364861134725	0.346129743465723	0.171593715060172	0.0196801404344624	0.0795474183657169	0.214977733174084
"PRR15L"	0.189180111312373	0.45034556497557	0	0	0	0.133972669690432	0.0464019323442959	2.002301065909	0.0117488038784449	0	0.0562570816826927	0.0777428642754377	0.0698855332695707	0	0.0313852441863764	0	0.0950133615451976	0	0.130271493172724	0.0661759390404014	0.585558210767384	2.27151681281399	0	0.0823212260478248	0.0542270989229637	0	0.248169258504786
"MUC13"	0.00693213886810354	0.105640535155926	0.0098816515981685	0	0.0162343574644731	0.0100975655066262	0.0174774182145518	0.0895917738280826	0.061216012167309	0.248468650378322	0.00842600448714549	0.10901353530424	0.0100791560585895	0	0	0.0178433235049246	0.0255558667661492	0.025555725029723	0.00743384938753036	0	0.0165981535991114	0.0204709096258919	0.0820573873804777	0.58247122111487	0	0	0
"TSPAN8"	0.400465246525432	3.75884680398286	3.64286327398438	0.0309488375681292	1.2554010251242	0.0671564071863629	5.78261693333818	2.9934723884206	0.0274297512228711	0.10319003339364	0.0303668037398714	0.161369831182469	0.302930805267282	0.355633704815781	0.0422045285244214	0.632594413852883	0	0.267150428675976	0.145820380885382	0.0858467969464096	0.580938989688936	1.34651727895554	0	1.20057968147944	0	0.129531238064745	0.73395125421624
"MLPH"	6.14122840555475	5.95704862892617	5.1417495310484	5.24531310866726	5.70932234598834	5.11955745963028	6.41829622301587	3.93695353082559	2.97520094541731	4.97651486330944	3.25017560592891	4.40406180419771	6.28886146122466	7.35307182105393	6.54050934800433	4.37385350065336	4.83326709042814	6.67636050784392	4.86235963915311	5.58487834105576	1.65479067142013	4.17267552085866	5.8625084235189	2.35473141944968	6.15008844921779	5.33766114633157	2.75024417782248
"AGR3"	0	0	0	0	0	0	0.0970032536595262	0	0	0	0.0463663774572174	0	0	0	0.363438560789456	0	0	0	0	0	0	5.74790696634176	0	0	0	0	0
"HID1"	1.15363674163933	0.701297977327164	0.952481183426149	0.251819661227351	0.460480994275032	0.723100670677154	0.905179121605655	1.45094464206087	1.75398312987159	0.436620805632145	0.730956824976005	0.98028200031976	0.758570539229214	1.09078908346267	2.14091931987016	2.66827232913058	0.654396585720217	0.913994986628117	0.531770701713165	0.234915736958983	0.850930207682017	1.87735358983258	1.90917401656095	0.891325855846172	0.509625922094879	1.27856170993129	1.1906148602095
"MUC1"	0.868147431573769	0.935956779057343	2.01028393898602	0.542346218649434	0.0890321827247408	1.95921002862157	1.92471940818143	1.64751023302745	1.94561706643656	0.923832230429587	3.15224833075742	1.2735009703381	1.62752979895893	2.08311292934586	3.28269407057358	1.58288352263855	1.89181577625049	3.46104260267348	2.10605345155756	1.58275589515607	3.04521228886823	5.58619277521354	2.19022292486194	2.2943325486648	0.664714017135484	3.22292354448287	1.28515952974659
"AC234582.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EPS8L3"	0	0	0	0.0067540983999247	0	0	0	0	0.136234246426723	0.0118906084092297	0	0	0	0	0	0.00889329336929641	0.0138641216976726	0	0	0.0113103522644433	0	0	0	0	0	0	0
"CEACAM6"	0.151238493328831	0.174822483682129	0.0728823480665231	0.384511284842029	0.142844711447376	0.0229320672147512	0.0198094988355957	2.30449643955953	0.0295797454927132	0.0915418990393299	0.0625759373247584	0.0121302778908138	0.0335082127396377	0.169584356960332	0.0624352981689258	0.0198920316883285	0.136955523455263	0.0681933182451861	0.18365737279115	0.221043695628281	5.11219134710561	3.84664875961049	0.174383406816996	0	0.0600432320235599	0.161108577916182	0
"IYD"	0	2.20286276470254	0	0	0.00614559112166755	0	0	0.00515965749210172	0	0.00397782815729531	0	0	0	0	0	0.00677776277271545	0	0.0044070359948791	0.00548254418806956	0	0.061843233834706	0.0923417540609555	0	0	0	0	0
"GOLM1"	5.27158254720282	3.98825749492067	5.31509158151029	4.93048661795164	5.90787970481412	5.93628693865697	5.0290773651538	5.58069724593994	6.30226877876831	5.30375883365561	6.01283345614626	5.92237389212912	5.07111907828841	4.70984477566166	5.57052820299934	5.399037758022	5.55907723884796	5.0067580508654	5.40373808968821	4.77835578266737	2.72324508799609	4.79603960882977	4.78465054827523	3.81692732186253	5.04478315738035	3.18943399020878	4.91254448491681
"CEACAM5"	0.0344566844574773	0	0	0.0690487163146453	0.029347460064964	0	0.0312440018181139	0.632380369044844	0.0144832300713616	0	0.0122830380916034	0	0.00844271391075541	0	0	0.0204684204785523	0.0565985101216945	0	0.0383976203044729	0.0308042337594013	3.72560484100889	0.129785481947528	0	0	0	0	0
"GMDS"	2.95017163264114	4.0536326982821	3.84503333431681	4.84095160292505	4.86545119871749	3.76742174497336	4.05532148536478	3.95441967813292	3.7894893038312	2.31625292649743	4.39898647174136	4.29009628024333	3.28132955546652	4.15709223046332	4.49565679256487	4.30273578557106	4.31708695305274	5.61437710260452	4.31306078597679	4.05772318867332	4.20065343636747	3.92817131687466	4.97992930022647	4.48822577256759	4.2093207875607	5.28034021682365	4.37797051114853
"VSIG2"	0.216809946377386	1.28565670261822	0	0.0374999523609684	0.0352330623746853	0.0707059990455976	0.181631812987267	0.975975320695827	0.0863879895762442	0.200394744133514	0.0415052092322323	0.417038031311606	0.244519338085067	0	0.228110141723447	0.143337773610354	0.200310742356926	0	0.0233518126701173	0	0.907306801175947	2.36098083720318	0.129992219874289	0	0.0862701731097705	0	0.103497505421069
"SELENBP1"	2.62308257532026	5.5241201083286	5.49747824430736	6.31683994465976	1.96005013697655	4.89402466925563	5.7504644792024	5.46712294086012	1.34068474336718	5.27088583444163	4.3748551717803	2.8256197792218	1.83279281880379	2.78159786970233	4.82965678180525	5.41118724566686	5.02026660745897	6.02989675764304	1.50280921393032	0.407887305902624	2.66396164660342	4.42316802695813	2.61223217084507	4.60211833021343	5.08852749671339	1.39490371030457	4.10235578873377
"GCNT3"	0.00871276299056794	0.0768429545640691	0.0223406812284392	0.616486150425435	1.04969209838405	0.0529382722022347	0.0457147785373489	0.0363209500848056	0.0770042165623986	1.97785322360439	0.0201846295267817	0.0476876758960469	0.141453849152904	0	0.104611081281858	0.0821031810229088	0.180473799562597	0	0	0.0105627379841609	0.34071949000773	0.0614884592201011	2.32754366229427	0	0.131523241309805	0.0491924563942763	0.343959210192816
"CREB3L1"	2.29149600016302	0.494292201568453	0.330410394299743	0.570616907431137	1.67306564330582	0.549432110665287	2.37127447730124	1.40635162766583	1.83057174113444	2.04708463972962	2.33316608660586	4.0612793757346	0.891692534160148	4.27860928418007	0.983963651921968	3.94471791671924	2.77132676922457	1.22360480610403	2.25576507713034	1.61817286344197	1.02385714824172	2.04953493334933	4.67374296732263	1.49209929527494	1.25533152757742	0.549482877324042	0.6564414532815
"B3GNT3"	0.519525298645284	0.15392982394294	0.0181152517987089	0.0078665932569489	0.014804886676574	0.0268829720969877	0.109934179927144	0.381914586546335	0.216343729110708	0.0586583374426995	0.424253511481559	0.0420182400052344	0.0283358269114608	0.0690706517465476	0.0562951686230662	0.14846507921344	0.0352777621491588	0.205092806698823	0.0368275300531371	0.0104942069800678	2.1280937461844	0.234294680932636	0.157777163214511	0.207164450294408	0.035288320948788	0	0.274144749759168
"MUC5B"	0.176211693613421	0.0546718011390471	0.0113774990319056	0.00459093902017143	0.0140235849701738	0.00267173295714778	0.038451914953432	0.115714998357022	0.699652901896473	0.566909626137221	0.0915204380282763	0.0011780492596364	0.0274488606757635	0.0306351108200797	0.0102239468303501	0.00111806647067479	0.0646609132603084	0.0358260839958884	0.0111914027757968	0.00416463420406859	0.0333652749602201	0.129898809116389	0.014743054429884	0.00904332144543611	0.18001924801263	0.0819393530171448	0.106116183058665
"GJB1"	6.13602728516192	7.23449174037315	4.51475665393727	4.49403792561666	6.61177952417062	8.31038329537843	4.51907636281441	6.81515270237396	5.99668023902224	6.53902306728549	3.59475156354139	0.0137885310490407	5.87871430791024	9.13185953225542	3.73164487357582	4.61195136669255	5.49502833762875	2.13931559062722	6.39595991935732	6.53909675837395	1.8445483537949	4.369312923031	6.75004367968873	0.647525429269175	7.78844428431549	7.47061820555103	5.94638464664019
"TRIM31"	0	0.0193282952189992	0	0	0	0	0	0.0102575100844663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
