"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.000482501413632883	0.00136053560855866	3.98385702225323e-05	2.22044604925031e-16	0.00110508160413674	0.000843820593425447	0.00100278672775929	0.000488695802926977	2.22044604925031e-16	0.00057788265364699	0.00307844121006387	0.000206876327297188	0.000577871535166739	0.000515304206580116	0.00516372184972759	0.00293662029475654	0.00285706402986384	0.00118599058029148	0.00147492044113247	0.000662199668069862	0.000953384300407797	0.00125419062800785	0.000376045407939853	0.000603326189354658	5.36782512736477e-05	9.38011121466718e-07	0.011552274136319
"IS02"	0.000721158224065543	3.34545509931089e-05	0.000572188406689139	0.000278674446639126	0.000235845531913809	0.000321770205232644	0.000770768080495452	0.000287575652411793	8.5291103297886e-06	0.00152741927617654	2.22044604925031e-16	4.55818564763993e-05	0.00537595160103734	0.0169301688350437	0.000129279428731424	2.22044604925031e-16	0.00101723470149572	0.00161790573356704	0.000568937452547009	0.000414348395128385	0.000125164854490396	0.000479750689706099	0.000401651318998347	1.06493371163477e-05	2.22044604925031e-16	0.000200655781250773	2.22044604925031e-16
"IS03"	0.003266996893166	0.00246661862506905	0.00335681282684693	0.00427432226908818	0.00549712283833751	0.000514591094741103	0.000201161426285802	0.00122804910288365	0.00203857254854913	0.00206482564770246	0.00224707471728854	0.00105004357637044	0.00092676717325009	2.22044604925031e-16	0.000725537352213605	0.00198574477598829	2.22044604925031e-16	0.000153115480723633	0.00211589752381537	0.00398022549599285	0.000110145294213341	0.00188787108783249	8.9187075616366e-09	0.000592575073583914	0.000873504996327736	0.000747999863112596	0.00157870782980416
"IS04"	0.00293815679217064	0.00373149026876493	0.0024131451784938	0.00315769237811269	0.00352239479475579	0.00140147597670215	0.00168995622236837	0.00363502107775984	0.00233125702704035	0.00287187420337392	0.00296211739157128	0.00282157705479819	0.00072082319250412	2.22044604925031e-16	0.00165222738529486	0.00185863733360567	0.000972145704867213	4.27860473825721e-07	0.00371110258164448	0.00274501295329008	0.00152483229678192	0.00375209706777519	2.80972512811104e-05	2.22044604925031e-16	0.00174896387807964	0.000458977602090393	0.000333731286198828
"IS05"	0.000448899685731483	0.000742520498430499	2.22044604925031e-16	0.00190388131515202	0.00225131798270095	0.000782908684912927	0.000499372926874714	0.000757035653219616	0.00260712915530066	0.00243969574357952	0.00103224384383826	0.0081923060050872	0.00150332276672992	0.000815575070595931	2.22044604925031e-16	2.22044604925031e-16	0.000836446357477897	0.000824571790364318	0.000385437002208334	2.22044604925031e-16	0.00843531834296004	2.22044604925031e-16	0.00520588401832511	0.00105548245255596	0.00277768227192721	0.00179406595609206	2.22044604925031e-16
"IS06"	0.000409002025893313	0.0024846403894415	0.00326121525763779	0.00573734550906216	0.00286982081519572	0.00475450758518142	0.00114431479971457	0.000172578979538536	0.00197514613015179	0.00134471825990541	0.000503932807387634	0.00161958016199989	0.00231843581182275	0.000602486200877511	0.00219012451777879	2.22044604925031e-16	0.00050229539977722	0.00169396921978015	0.00200299297507867	0.00445539196365204	0.00289839292669491	0.00193721833309063	0.000977623390009946	0.000569670610593887	0.00338769844473699	0.00509021583443435	0.00113087929748798
"IS07"	8.53285523278104e-05	2.22044604925031e-16	0.000245210662452206	9.63603537315304e-12	2.22044604925031e-16	0.00186480708862085	0.00263890094780166	0.000687618164006757	0.000702071458557055	0.000949826643807195	2.70740091787381e-06	0.000801306122274835	0.00247037948077717	0.00690857095918287	0.00100658844264972	5.04982934268498e-05	0.00326437058063962	0.0071085740306523	6.73233562442479e-05	1.25278853217587e-14	0.00124901621638611	8.1095321253338e-15	0.0074755303961681	0.00352717428253548	0.00147714501719858	0.00402518049864139	0.00122712136116721
"IS08"	4.49346369366569e-07	0.00268868780785248	2.22044604925031e-16	0.000246127998218098	2.22044604925031e-16	0.00173438014260437	0.00321925856723685	0.00334071189631431	0.00153827447971428	0.00200473016075644	0.000397620053929021	0.000240390116352572	0.0016458151907398	0.00262213415168994	0.000947097426485948	2.22044604925031e-16	0.00152915214692839	0.00263563428736415	0.000231859645906487	0.000767791725357972	0.00455125289491136	0.00144901845178075	0.00130224632236866	0.00430730148305213	0.00101941963809599	0.00172437751729359	0.00171201462672156
"IS09"	0.00363748189438659	8.98643027921028e-05	0.000475471531531369	8.46319006100929e-06	0.00163372300211996	0.000691419123679079	0.00108181470045286	0.000519720218871967	0.00340386394677877	0.00316182505827115	0.00346434072278707	0.00268339968486021	6.2111139933489e-12	0.00222321011585628	8.58020287749137e-06	0.00646851024485689	0.00353892564987288	7.40017250862086e-05	0.000495654560342988	0.000392987454193925	1.68470688825693e-05	0.000550918827532243	0.00292033002108897	0.00534823508065076	1.35156054387631e-06	2.22044604925031e-16	0.000227970405741586
"IS10"	2.06195874052125e-05	0.00147330601913133	0.00431546446195159	0.00111639273378222	0.00384574856055298	0.00198224718910099	0.00231644506798639	0.00186041216488233	0.00613265925712912	0.00247879979449528	0.00180482804064955	0.000783090522444929	0.0027662005196994	0.00354441258578882	0.00120022909177804	0.000712280630656451	0.00193728687570359	0.00192478215097958	0.000946516774299286	0.000927520702875276	0.00119523276579044	0.000959250472951684	0.00463428122433033	0.00789367907113665	0.00166974752468662	0.00120220703776886	0.000898706681667339
