"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"TNNI1"	1.38610183795708	4.15147325657903	0.00871778201170729	0.0611707952197208	1.36868734360964	0.0332087883718089	0.0693978557886312	0.00290427117890215	0.00910971363871305	0.372548198172396	0.0411559131691403	0.336608457567168	0.0488455746588334	0.123524104851042	0	0.411066611878464
"TTN"	0.330847483710307	0.759842708491215	0.0691706978411274	0.116969457215635	0.159866171315569	0.121868428220003	0.103549740279803	0.0725228694713087	0.192638585800105	0.309502183421804	0.0590553541723798	0.0713429775522381	0.278666965852506	0.418567779299712	0.43674924740579	0.0861475223337553
"STAC3"	2.83553404934963	5.19579049755883	1.31031975985298	2.48809334722465	0.961284375516886	2.52476328344242	3.15115905032908	1.30755384477291	1.5745762716557	0.775380142258333	1.64887035322949	1.42906422032858	2.72851700810131	2.9304535007831	1.66814182266774	1.36654603320483
"SMPX"	1.90854778096198	3.01540479318548	0	0	0	0	0	0.54660163251292	0.453147738325164	0.0422386449513456	0	0.0325232193710434	0.193666414930292	0	0	0
"APOBEC2"	0.665344104278631	2.28590818315881	0.114874511117298	0.103694148408431	0.0341862694062083	0.0378878674045965	0	0.125310355304359	0.069438003473939	0.0108607419634817	0.699182027832161	0.0847745491680336	0.214451862067865	0.325306966376603	0.0286762895414479	0.142677052827299
"MYLK2"	0.19730744978255	1.39533979231499	0.0424382133879084	0.105765293950054	0.514235903444055	0.0410827346383523	0.299269278956038	0.0282396284786226	0.0720839797673397	0.332648363067129	0.217126466102826	0.0552357131199717	0.0664759014790747	0.133086055398818	0.444539328084523	0.0582368940381943
"ACTN2"	1.20289723414569	3.8539906585957	0.0973040227772968	0.0388418211460898	1.81249001067649	0.188784495019223	0.598980173079359	0.189539944388503	0.294703081240168	0.771106777727708	0.130145935633798	0.0729005219570989	0.00835321225086548	0.330744246188583	0.0755261963566208	0.0189549351791171
"FITM1"	0.635533849837906	3.17936772907588	0.169518809581913	0.204581472930625	0.0427249439911833	0.15365256441681	0.0927641757585192	0.124967874715839	0.0948555861570517	0.198042604297822	0.648206793172207	0.121652434024269	0.499404562144196	1.11736923603581	0.331287880818607	0.887582197584922
"NMRK2"	3.35905443987905	4.14324646400017	0.0306334159596011	0	0	0.0216807668147393	0.116032259688385	0.436921373428528	0.626442874849663	0	0	1.75484689239818	0.541223396530019	0.113937950959811	0	0
"MYL3"	0.841541251845695	1.76600990882457	0.398217916542076	0.437608074394961	0.0674671801491755	0.0718709016854058	0.33176024076698	0.119301456521439	0.141288906642564	0.329667841840857	0.268881086765484	0.0748657226125226	0	0.22304437216514	0.195429495716121	0.127915188465875
"ACTC1"	2.42472326737351	6.10613261946735	0.311176990005104	3.71019479418458	0.195135273428594	0.0129530048909564	0.0761644719385735	0.180779936345184	0.0430639185580478	0.145294902825667	0.178774546429255	0.0431300096699842	0	0.0282419627812377	0.145285771458005	0.238179087996298
"TRIM54"	0.767626833833374	3.69268384285002	0.00876897502999318	0.0487091000283349	0.0306529773531684	0	0.0186564623947123	0.158894735583145	0.0734082696239525	0.0259177453227393	2.86225696899363	0	0.0295594628237645	0.165021774704565	0.0106500977626129	0.0952903723012203
"SPTB"	0.402559018672446	3.02938750804538	0.277836603172161	0.525124238574059	0.094127880554568	0.0988989390641977	0.40615621875017	0.483635743481617	0.324550261305685	0.147662932081227	0.462488988699133	0.877948371949218	0.751663379428034	0.14118294631129	0.404868797798908	0.635224106306574
"CACNG1"	0.459773103481911	3.61772751266146	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NEB"	0.705479892483641	1.61111807135252	0.0342324809348188	0.108238799971949	0.0225041035399513	0.0730592080141854	0.0568872946670521	0.0531857289363874	0.0545821354212518	0.0513274105479405	0.0760131072200126	0.117523837132345	0.0673863608351913	0.197035005320028	0.0278314918842699	0.607855802936595
"ASB5"	0.401788269788628	1.22570372544456	0.0331463299761297	0.0316198411288682	0	0	0.00698336657221108	0	0.127320144606692	0.00857559355353943	0	0	0.0115217588240912	0	0.0144162705510683	0
"TRIM63"	5.51517785090409	5.11518309960627	5.33874529494818	4.20151624536669	0.404500440712756	1.44427215320579	4.23081784186108	6.6141341233786	4.55073447433303	0.182919170482637	0.646007778067193	5.40540699672383	6.01304234317844	0.587940033941821	0.0270564291399993	0.32683241467663
"MYOM1"	0.444907142697106	1.2902710430117	0.485425796673416	1.27206799255916	0.0949232641859518	0.426821326309011	0.940646378596535	0.209891254592173	0.198279776488254	0.247626186508022	0.189746137379854	0.446835309390274	0.321335891314095	0.51236545950502	0.307043172147044	0.288832196382351
"TMOD4"	0.703136589298504	1.69203209909513	0.0571612536563465	0.0275792228565817	0.0576638272324304	0.0788939739189003	0.0382753269421008	0.0476948641806755	0.0463002947303368	0.0222899675429395	0.149619669040077	0.086378137933549	0.149884311247838	0.296940133858405	0.15555444274735	0.0370270749879894
"TRIM72"	0.315964380071838	1.8397278511	0.0103206091802913	0	0.0163344265944088	0.0323607165097288	0	0.00847347882400111	0.146825937448032	0.0210796971923638	0	0	0.0332211951352682	0.0724924801301638	0	0.165636715592104
"SYNPO2L"	0.918696876598852	3.15282348311616	0.0303398925902598	0.0510914711135879	0.659166944614886	0.0170240657514533	0.0666181448215806	0.00359294727723263	0.0615057403478338	0.0174329046886479	0.107860982332707	0.080157374118213	0	0.102600086493384	0.0130474186452465	0.126985076837077
"DUSP13"	0.480604813472962	1.72484669187665	0	0	0.324899293323575	0	0	0.0635564383792245	0	0.0142751568982266	0	0	0	0	0	0.729986003328921
"MYBPH"	2.62622651333971	6.7679592997452	0.017065441033282	0	0.0785143349604662	0.0547885457474466	0.0374965787291974	0	0.112425711058298	0.00833729070080369	0.360792385801346	0.0452975056575298	0.187971660555184	0.112451267239534	0.0812484675175943	0.0331126323372143
"MYLPF"	4.81923387918578	7.72175884863742	0.142207557300767	0.0726704167440172	0.332940464453156	0.108680343054855	0.171104835779981	0	0.113780498520084	0.0871451417970939	0.700913732046971	0.181745655327614	0.0877574604115458	0.167847307604039	0.124558881576131	0.283208839659364
"HSPB3"	1.61299171992684	2.6806652967403	0	0	0	0	0.0436556202593946	0	0.183952674982589	0.197376024694538	0	0.0716418677026198	0.0710514416556805	0	0.0775591948276176	0.419572868604365
"CHRNA1"	1.14807180813065	3.10962383140527	0.449881967233305	0.419481182557962	1.32784254613296	0.621901829962181	3.61164454337366	3.77805609692587	0.0647858870822589	0.150827395137781	8.85908125229074	0.181416823621546	0.38127340375121	2.23256252740092	0.505921916861081	0.0800355673772737
"DES"	4.42066092575241	7.76046714186332	2.02456790919802	2.73955111020373	0.221650066826996	1.05371401374054	0.759897661380957	0.203040743520222	0.387412173985919	0.682288325698074	2.7927637497693	0.22000360883579	0.100678249031962	1.5599714081674	1.19890898668424	3.82592805859012
"CTRB2"	0	0	0	0	0.11956003254553	0	0.346177978298113	0	0	0	0	0	0	0	0	0
"SMTNL2"	0.391222207733559	2.70158675947224	0.507054268431819	0.654535902733727	0.148507120721997	0.1869561136538	0.525212959549597	0.0554623684868224	0.0690587557700105	0.189703256724672	0.369235298898541	0.246116782422596	0.168608663223514	0	0.192861375814913	0.032304076011169
"FLNC"	1.1419656917972	5.51945226801147	1.37790112312153	2.09325930163558	0.858502261084792	1.7290545658372	1.20966234631448	0.180489076118672	0.830716945176734	0.769123015266491	2.99874250406938	1.17462692883194	0.237300607444843	0.212203249392814	4.67322001974505	0.970420780893953
"HSPB7"	1.13665733172723	4.66610041403297	0.378092070927046	1.4580407149639	0.3575756505479	2.48103538793758	0.174663102086635	0.0681483194557692	1.86264578746008	0.121763617395765	1.72364592870043	0.479277132389259	0.337418813320442	0.0374377497569891	0.292699896044363	0.507476007217556
"RAPSN"	0.57634895574955	2.07818796232554	0.0366222610643979	0.0855500197810426	0.0213403549162588	0	0.186565211245928	0.0513427254360717	0.25456272182009	0.0579517749819236	0.446652188718466	0.0302854330588037	0.236733226072749	0.218772489893062	0.0292518662865338	0.412390793323554
"HRC"	0.783630982574465	2.38119891283628	0.378536037886299	0.974762400867443	0.131481755564552	0.332321826809294	0.579855951350684	0.155226581959679	0.411786332178879	0.0547908374863783	3.54162634541737	0.270508011938142	0.256106084843038	0.103558334008552	0.244586314129107	0.1380717025439
"CPA1"	0	0.0436957908982138	0.0245916661159282	0.0763360724018884	0.0679775314615672	0.0161627427925698	0.0263374022613955	0	0.0504721641234479	0	0	0.033054752337991	0.0392811820578104	0	0.0847193173672103	0.0866085128799772
"CASQ2"	2.21111034326509	2.70402756377654	0.218752654517608	2.11511649856798	1.08310782209617	0.025012630544986	0.450690790426454	0.581627948102057	0.0714881055841824	0.0773381726413108	0.144299635021148	0.119922917024998	0.666648442502231	0.103024082738517	0.484749116595828	0.563250401348059
"KLHL31"	0.128107409395314	0.440992582297966	0.0742874400454445	0.160542689512903	0	0.0238142218225826	0.100241517335578	0.0671751353215449	0.168972251709492	0.118342979695096	0.65058168363306	0.0733119450105477	0.161315649208293	0	0.0934871606950068	0.255892851198645
"HSPB2.C11orf52"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FNDC5"	0.406788072331421	0.65834494729561	0.333778066490592	1.23771666769931	0.60734878012795	0.32066778324548	0.291182121092135	0.0566910328855218	0.102905534868049	0.0706003581309725	2.05829917621867	0.89030465367452	0.170374026493967	0.0995394822607949	0.35319341453063	0.269829701244031
"MAP3K7CL"	1.88094994614728	0.511323813166004	2.19456146187652	3.08211071093954	1.99518961815413	3.00644076015684	3.5118424537981	2.41994737255624	2.25194475638505	3.02698237615365	2.53446755236638	2.30896803546674	1.88380065323883	2.14375584294813	2.51354127692876	2.51297522479198
"MYH3"	1.67226465639919	3.84481245243307	0.114974295060931	0.222409527476232	0.0280823585197938	0.123272066400226	0.303537039965804	0.171979858693294	0.421254004566461	0.369525111575773	0.79231397993327	0.0298191583768871	0.38625307010089	0.61506123005443	0.294623689413554	0.454355429097738
"BIN1"	3.3726610229293	4.95340260982672	2.46348252224711	4.14394436551295	3.34784208513213	3.66251884724644	4.41689039745051	3.6900482727425	2.84388739324497	4.65516289189083	5.06223830431718	3.87087265610312	4.26636678653399	6.09890796467155	4.04731589505019	3.70460088048868
"TPM2"	6.63497799390065	7.4833200175408	5.02577077632106	7.2927771487899	5.28802442959058	7.00119423741003	7.44795932503943	3.92076491007109	5.53825102384508	6.70127180220197	7.29660423908893	5.31533617196307	5.48089357875804	4.94488186599148	5.2646321321004	5.66044806811538
"PDLIM3"	4.9787653634031	4.20870452956859	5.14536769080418	3.20068403569305	6.18433584266398	4.39788508637742	5.62749011050785	7.1853016434014	6.01795864281997	3.0319324013337	3.06669198184066	2.49039170783827	1.79642747774603	3.38303099288496	2.95101701919823	1.58975390093957
"MEF2C"	2.45638957331206	2.19738892144686	3.85353163536274	4.71921904185636	3.21205021763744	4.5593786202224	3.20132333468995	3.41262641035005	3.77806661326894	3.49756765990009	3.1018147732566	3.56713165997407	2.83781510873944	5.40426281138854	1.75673083637229	1.63875272906364
"SRPK3"	0.496156546614776	2.14812063112396	0.221127241492164	0.0984411859010207	0.395263556037492	0.527095865282292	0.641899261165117	0.198755638061694	0.233527954866324	0.300820151131993	0.0867184222597699	0.0523790959153716	0.088833802254662	0.0609484233697909	1.44124708345129	0.0648607834230953
"HSPB2"	6.01818237108855	4.77837943941689	2.3099575811949	4.33978944404401	3.96968006732499	4.27812603525628	2.89997121403689	4.29090723661922	5.12152108472597	1.7643058106923	2.19916976760631	6.35369820904803	4.99236057615836	4.20298183746924	1.65393362665108	2.07436157071086
"SEMA6C"	1.56594805900173	3.55528240638793	1.43083387456458	1.62298890066718	0.778679583598121	1.06661552739521	1.93372558604118	0.644051459759885	1.72521545301798	1.27583248595855	4.00682760315227	2.2888930134476	1.00373031065469	1.04905217979514	1.58779941437914	1.83653416078907
"FABP3"	3.62476183217678	4.46204904589109	2.91682724360835	3.34857591089354	5.50013280342105	2.35411359249238	5.05894418249637	2.76826585459658	5.1455816798882	3.26859383580523	2.57947223050593	4.08333252398051	3.09769759167275	1.69390841378848	2.57262292703281	1.28303277461642
"SCN1B"	3.05724750079388	4.44434571074961	3.64509060847387	4.12363722970683	4.4906599752045	4.23223095382554	3.61785090857215	3.2665204607104	5.14005671873355	2.61631417080479	2.17143743519187	3.03507927753281	3.32769526736429	2.04699038164507	3.38821502867706	2.08867080465522
"TUBA8"	0.779809373879416	2.25839228761384	0.867280519135424	0.502903390190704	6.03900894922008	0.232090933210066	2.10585237067011	0.561403860242996	4.92045052062798	1.54072661829685	2.69688409085545	2.63693545521348	0.739253624434238	1.29449430077864	0.204336068507038	0.661046775971341
"NES"	6.69269918429712	6.56891299280338	4.31168111631454	5.91392818145052	6.99481163192707	6.33081113634215	6.94097715766027	3.37679184943911	6.49437240570654	6.40689716287072	6.48543487790135	6.46280897883962	5.44311760370943	2.3501068179538	5.98489120932559	4.98105347111553
"PKIA"	0.894180606090674	0.71546906358876	1.54445076509636	0.626939962820898	0.277835413197903	3.93344516939008	0.835075584767588	1.03720016032558	2.7137419979393	0.180555272659145	1.9950828600872	1.09153059312062	0.555397025625635	1.90518143265585	3.24045630185984	2.87439763716378
"SCT"	0.754971282909418	1.59198333692902	0.113987609574587	0.366153207924244	0	0.287226643702923	0.113391126578787	0	0.484770767027034	0	1.44430131159977	0.164372457464927	0.700021941954428	3.6934200483517	0.425735356257554	0.181837231472705
"MRLN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CTRC"	0.052770820247419	0	0.0694149736883429	0.0267529010320078	0.0800094987163378	0	0	0.0220134968898909	0.280385653685142	0.0457726420309246	0	0	0.0681188699468902	0.136158830108152	0	0.287533169537011
"PRUNE2"	2.94800364998759	0.906165603486702	3.28495750431704	1.38216920876825	0.346610317368282	0.688471778173501	2.16689215625325	5.73105151359039	0.586324242869999	1.69487573659141	0.143117784710446	0.230552268097403	0.510981155083019	1.02367408123268	0.239989419199915	0.415965755182217
"IGDCC4"	2.77679778912632	1.22977555317752	1.00714238628067	1.75093230704388	1.37962096205571	0.714911916322334	1.4669559465632	4.239860076055	0.612317109233388	1.88689736681857	2.82775400027689	2.27208292674934	0.494677755119384	0.732749366603796	1.58574134577399	0.561043558088328
"ASB2"	1.54343649166988	4.22222109112741	1.61505604938205	1.92756465259102	1.80983011102325	1.33382442669844	2.19343586381605	0.278379129188619	1.90690598427355	0.21496716791117	0.432094599766724	3.22200928340762	3.47892004822866	2.90006108836203	0.489352310563449	1.44748927324897
