"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.0284749696984955	0.0677060092508256	0.00207009077863936	1.04483962428227e-14	0.0513971157046205	0.0492652496379717	0.0614378700987475	0.0271080407374328	9.88038584603904e-15	0.0267195616911918	0.167621231509136	0.0103498874595206	0.0281228853181607	0.0146689865570684	0.322327700384424	0.137673201467603	0.160383609971193	0.0563490788168415	0.103430423354788	0.0395309254746806	0.0394878371085134	0.0785892796117399	0.0155829834343221	0.0209533608564727	0.00345400194537208	4.55716277878638e-05	0.514253385182321
"IS02"	0.0425593749528607	0.00166484002680477	0.0297320395213783	0.01311313572432	0.0109691266661353	0.0187860898517502	0.0472227522511722	0.0159518711926354	0.000379522398259579	0.0706232888641876	1.20903365007647e-14	0.00228043049144544	0.261627820633754	0.481945258507303	0.00806982679987115	1.04097869524437e-14	0.057103296218961	0.0768703387817654	0.0398973666228052	0.0247351007832967	0.00518415227071965	0.0300618265320045	0.0166440693548529	0.00036984869448439	1.42877697982488e-14	0.00974850976430315	9.88439058809881e-15
"IS03"	0.19280282898562	0.122749380756089	0.17442662323619	0.201129916000584	0.255670040571579	0.030043659684797	0.0123245843157914	0.0681200962012601	0.0907109783712559	0.0954713485984707	0.122353296913256	0.0525329939148351	0.0451023546650865	6.32086694252213e-15	0.0452891912244174	0.0930947188153723	1.24646542535489e-14	0.00727486072381288	0.148379648529066	0.237605068442767	0.00456206320400418	0.118296553553627	3.69583218553159e-07	0.0205799774159244	0.0562068973004978	0.0363402635289008	0.0702767122828439
"IS04"	0.173396229031869	0.185694746294816	0.125391788751813	0.148586457169729	0.163825849734275	0.0818231557653393	0.103538776479859	0.20163524807694	0.103734648005636	0.132786854670441	0.161287395525577	0.141161656130792	0.0350798174746826	6.32086694252213e-15	0.103134651538668	0.0871357296486693	0.0545721887696106	2.03286130285211e-05	0.260245163351194	0.163867346535871	0.0631564095689112	0.23511147269387	0.00116432481827716	7.71155109013863e-15	0.112539520083774	0.0222986230831931	0.0148561609293392
"IS05"	0.0264919533657445	0.036950962120662	1.15378761470197e-14	0.0895878843204995	0.104708331413375	0.0457089956164707	0.0305951486620839	0.04199289865854	0.116010213414217	0.112804218152103	0.0562057133838537	0.409855715704017	0.0731611979342898	0.0232166933513899	1.38603760952052e-14	1.04097869524437e-14	0.0469545956819013	0.0391772595647122	0.0270291950692599	1.32552599353165e-14	0.34937902432711	1.39136150063963e-14	0.215727150779455	0.0366566296910399	0.178733839929919	0.0871615528929592	9.88439058809881e-15
"IS06"	0.0241373806684774	0.123646220013835	0.169459184761999	0.269973050148641	0.133474769589859	0.277585075446831	0.070108889628039	0.00957298585282561	0.0878886738761314	0.0621757415213284	0.02743915897956	0.0810265370976494	0.112829756244344	0.0171507662243727	0.136711042909568	1.04097869524437e-14	0.0281967602567288	0.0804842860178833	0.14046209247055	0.265970788220084	0.120047359408835	0.121388718627305	0.0405118338633388	0.019784511403141	0.217986181382924	0.247299222853578	0.0503414739040385
"IS07"	0.00503569082556011	1.10498791656594e-14	0.0127416302425247	4.534274355486e-10	1.03272484205669e-14	0.108874075204331	0.161677901338776	0.0381422985220096	0.0312402857271725	0.0439171368875301	0.000147418074627957	0.040088821638135	0.12022429658209	0.196663899177875	0.0628328456479386	0.00236743638159089	0.183248094034383	0.33774433371143	0.00472112464090689	7.47869449184832e-13	0.0517324953614719	5.08154241856014e-13	0.309779255022551	0.122497840885523	0.0950489563639218	0.195556346044413	0.0546257218763383
"IS08"	2.65183145381981e-05	0.133800483019988	1.15378761470197e-14	0.0115816497892561	1.03272484205669e-14	0.101259285869864	0.197234750114936	0.185309866863838	0.0684490641050413	0.0926927134193683	0.0216504258370842	0.0120265604244609	0.080095780891348	0.074643385656099	0.059119322148486	1.04097869524437e-14	0.08584019782408	0.125224910432721	0.0162594135020503	0.0458343894427931	0.188506495100703	0.0907974543315239	0.0539639161665377	0.149591454646696	0.0655959784379684	0.0837758621251617	0.0762109093745716
"IS09"	0.21466711556682	0.00447202798507186	0.0247064396997844	0.000398238737958075	0.0759841172406937	0.0403675093946696	0.0662796875920488	0.0288289704574237	0.151462762056077	0.146193313068089	0.188633473467818	0.134248732612694	3.02272107039454e-10	0.0632873531529457	0.000535589859953341	0.303253544806434	0.198660465853582	0.00351598832972194	0.0347583229469949	0.023459929856965	0.00069778190337962	0.0345213182218361	0.121015849098367	0.185742806407906	8.6968048270394e-05	1.07876483086089e-14	0.0101481796130016
"IS10"	0.0012168713084966	0.0733179420906731	0.2242400552613	0.052532299305822	0.178864966168745	0.115730646272567	0.141921953330833	0.103197384655218	0.272886791116482	0.114612272251365	0.098272949909484	0.0391775070826694	0.134620820110297	0.100897566737711	0.0749202018129055	0.0333927933893702	0.108751172331956	0.0914507272934172	0.0663755331799559	0.0553696317735357	0.0495048604661339	0.0601079309261287	0.192040445180174	0.274145410859141	0.107442233338536	0.0584071237486885	0.0400062314899899
