"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"LMOD1"	3.87400016581901	1.51348569235671	1.25727015923863	1.2718111002883	0.285189720128243	1.14117771350069	0.861891463444559	0.461403876736061	0.510688034328136	1.07466983668754	2.52192262526646	1.19190370290812	1.51288170373249	1.21452895209208	1.90230902336866
"CHRDL1"	4.01331932318634	6.34824747084458	0.397353931864244	0.198748724420126	0.283228993882896	0.025830384090689	0.621763544582022	0.120320020218419	0.855693954367951	1.49902180115922	4.02703016412764	0.340220994971092	0.359448078024493	2.95985081778201	0.169181020200695
"PGM5"	2.45509045092137	1.08414252206675	1.3596448568281	0.575398986612501	0.68302715803408	1.58165494047395	0.869072670182165	1.21241369992289	1.66298931053956	1.91806941741782	1.65413533005308	0.654022562990494	0.734790679799516	3.05304702211458	0.716632315444034
"SDPR"	3.09375283812716	1.5797907984008	2.26726910704744	1.02725244589644	0.38297706002403	1.35888008009433	1.71300949178293	1.43602854647554	0.927110624998941	2.41471736580053	1.98524720781731	0.996149723785667	0.943005360392894	2.90076539321681	1.74285346450205
"SYNM"	2.44629461300849	5.87792825543881	1.52306257170093	3.5721014264218	5.48825469881617	3.99723820392419	2.07743614304054	2.94282600000416	4.74423376681118	5.58215252185802	4.0228338392261	3.26896879244032	6.37661944671903	2.51208526532597	2.66544848564782
"PPP1R12B"	3.79302188763231	3.75923041728806	2.58633241040588	2.06834578077332	2.70713270092821	1.66746981121808	2.56738968268561	1.30518550468455	4.53726500097168	3.39071858065402	3.09924806767376	2.04389389836763	4.55495715233255	1.66264758489509	2.48810363312358
"FXYD1"	5.63381769855088	3.68170224888813	1.49270179253071	0.878754763920548	0.397752042315403	2.61573644210053	5.98587949780539	0.548229946910687	1.28000904876242	2.66145774828675	3.31084759240714	1.73372527164954	3.25406941372898	1.85503688518596	2.01042538625904
"MYLK"	5.52125650734163	3.59673243545546	3.91993115164651	3.92838927455349	2.80627558862238	3.00633752465506	3.82354048043957	2.12730310578213	3.62940325189295	3.69454593901365	5.33650834504663	4.87803374133574	4.36896735186352	4.83835177949005	4.43116494164911
"SYNPO2"	4.14567337978016	1.97632880531768	1.44229596188086	1.02109163999915	0.449892529204593	1.90715987355099	0.725290066587726	0.804739626186497	0.846999499282909	2.28783277608294	3.23599811401502	1.50198427260044	1.59652492945001	1.245170091778	1.17746498590472
"MSRB3"	4.41602563232883	2.78475418192583	3.20227273950368	3.25048034236181	4.91428466326162	4.1851212246139	3.08984302084814	3.31320666336186	2.57091097127094	2.70163776720817	3.79106388306034	2.15708090920181	3.87949503116791	3.30603980952721	3.18211224293802
"PI16"	5.28757202734903	4.60073063332236	0.0296087909088292	0.217701609485943	0.709407987794692	0.0693907748309713	0.0412815377066035	0.0593018332209686	1.69893186900768	0.510756383869913	7.31896301675088	1.19356360188513	0.0523612181728391	2.83877633424749	0.743772592242127
"FHL5"	3.10190719710106	0.53341333999899	1.60519561811986	0.741958767200394	0.100786284572773	0.699269995226953	0.207424867900718	0.318746620887947	0.115670658758057	0.253318877329521	2.20019986256824	0.311104895283057	0.0926855730153603	0.525243534440874	1.27131212064733
"ABCA8"	2.25313761311552	2.31889091249856	1.49044433838401	0.42066618007595	5.10248387216657	4.20839239979068	1.54666731397491	0.112745497706763	0.211360517103362	1.07081520356301	1.87969008472923	1.41268127825659	4.15306353531199	0.965318853880985	0.0584335690935039
"ASPA"	3.31446814127972	2.47344145452301	0.519798014309101	0.16265927755249	0.134105322345426	0.362749283038369	0.557712003753878	2.38205712517491	2.39679381749988	1.44752630116891	2.83545623383782	0.80213075051389	3.6259133625477	0.518607649580843	0.277590257571347
"PDE2A"	2.76502971471297	1.71670122921264	0.840219893891759	1.49368831904761	0.634111825140165	1.14132814923484	0.446660657238999	0.8819049832187	0.939034707220016	0.930940152038666	1.75578489991633	0.961785923263587	0.990142730268882	3.18618041624101	1.90616714313411
"FIGF"	0.73797786659994	0.322195257270462	0.516545214819886	0.0120285646881417	0.283226622812388	0.109000492686266	0.285162489615858	0.238410120280918	0.290493646847012	1.63024530443887e-07	0.5443973479938	0.113164255639422	0.0618265096190873	0.594568613381605	0.459626762731562
"MYOCD"	0.728773842047835	0.0823093706967962	0.0505078269286293	0.0332993693894853	0.00525184428184469	0.011915319034079	0.0150284888011881	0.0208254199069831	0	0.0218856148446091	0.121352587374856	0.0169394722765025	0.029109920035285	0.0769764517862155	0.079832806292134
