"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	5.90776915575721e-11	0.00348026265673397	0.000695146485396846	0.00156354003893843	0.00255063814329353	0.0030827962850431	4.37697713829293e-06	0.00216770401123222	0.00822140899742219	0.00513410907787111	0.00138063321472133	0.00847017601592246	0.000256351047207356	0.00102456495399308	0.00282210721584994	0.000154686880904734	0.00097815340672318	9.46712604747565e-05	0.00118659381135098	0.00129738873879656	0.00695661945376664	0.00123577890941918	0.00418620426330621	0.00262690575971972	0.00145884503537669	0.00237323113117391	0.00554536793310818
"IS02"	0.00112195279161596	0.00136890367508418	0.000565926793827496	0.000651536757059886	0.00011157072160713	0.000290700406364538	2.22044604925031e-16	0.000499712649267593	2.22044604925031e-16	0.000791905593407892	0.00404079705096699	2.22044604925031e-16	2.22575705992914e-16	2.22044604925031e-16	0.0074599004044823	0.00846629353436395	0.000998727750320298	0.00036113667641579	0.00151753763776534	0.000495456021460039	0.0014202605051116	0.00240041639482428	2.48388500670814e-05	0.000104898020775711	2.22044604925031e-16	8.88589504292661e-05	0.0264337069004946
"IS03"	0.00306726589732695	0.000156345789007025	0.000417719030091675	0.000879841161598288	0.00224592711516578	0.00245221565534141	0.00250808922386622	0.000299865359690786	0.00571326718306061	0.00572797978409123	0.0052327311511464	0.0041939930155047	0.00104503644449936	0.00353876496176568	3.45368011164382e-05	0.00610167713821635	0.00325171908349937	2.22044604925031e-16	0.000415033367835226	0.000427140298938129	2.22044604925031e-16	2.22044604925031e-16	0.00401571403921339	0.00794244012665004	0.000156392232400848	2.22044604925031e-16	4.81694196645315e-05
"IS04"	0.00315156215820389	0.00488509595954909	0.00333994898252115	0.00622372002884251	0.00669275340299406	0.00373008958505376	0.00179275745215352	0.00099037596761903	0.00119544999372718	0.000922006041640833	0.00107010271790608	0.00426233591611293	0.00173842562048463	2.22044604925031e-16	6.8887811536707e-05	0.00111607317511246	0.000286929681106817	0.00148927132298636	0.00182103004972135	0.00291538902723134	0.00180445940552013	0.00204072255538137	1.42757441571501e-12	1.24388059793472e-09	0.00547958355084048	0.00129813329755546	2.22044604925031e-16
"IS05"	0.00175172552116926	0.00215148822658876	2.22044604925031e-16	0.000197526399129715	0.000403112918416838	2.22044604925031e-16	2.22044604925031e-16	0.000683015207588759	2.22044604925031e-16	2.22044604925031e-16	0.00338858814951553	0.00132842144561644	0.00363270899236612	7.35713681865818e-13	0.0185133152434016	0.00702867239873314	0.00343059050183742	0.00379789860953681	0.00459989177981698	0.00105154796754365	2.22044604925031e-16	0.00711029962760117	2.22044604925031e-16	0.000231796478877671	8.767104934744e-13	8.00302768793552e-08	0.00155350392246489
"IS06"	0.00656556173157557	0.00383632828533665	0.000971729945150122	3.02952465650651e-08	0.000920470254894999	2.22044604925031e-16	0.00118539026845617	0.00466193692501525	0.00201593417318584	0.000735652448714763	0.00337491498303146	0.00274853192704576	2.22044604925031e-16	2.22044604925031e-16	0.000190358752473014	0.00814022077064644	0.00314960595718745	0.00206017784471264	0.00107727338941669	0.000663579503270923	0.00143607086725199	0.00366642198003283	0.000530219502556039	0.00213003793806656	0.00045571481275618	2.22044604925031e-16	0.000498140165255591
"IS07"	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0019173949337015	0.00465211153916606	0.000816476308143843	2.22044604925031e-16	6.95620970633767e-09	2.22044604925031e-16	0.00139358659149455	0.00622492657583501	0.013748626730984	0.000121692271226828	9.802714127402e-10	0.00381006565409118	0.0155933467012353	2.22044604925031e-16	2.22044604925031e-16	0.00145250507869024	2.22044604925031e-16	0.0138521148509937	0.00282723777133965	0.000502091475416015	0.00833543246243538	2.85323253989435e-13
"IS08"	2.22044604925031e-16	0.00389777331116226	0.00159542661572524	2.22044604925031e-16	0.00516623872348529	0.000235808370065033	0.0015512248643384	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00272119889803513	0.000529893370967463	0.00225158549545537	0.00732932234869954	0.000381722357506809	0.00120068071374476	0.0129394416438295	0.0036991025029483	0.00101841598298791	0.000995694674823475	2.22044604925031e-16	0.00596944315048955	0.000319857363498917	2.22044604925031e-16	4.06078295374841e-14	0.000233938012578198	8.56017410267984e-12
"IS09"	0.000920576982842188	0.00407164346985422	0.00255639912898052	0.00132973611598516	0.0015069605858612	0.0033683456023629	0.00127256148255304	0.00585719623064823	0.00223322501773836	0.00431129005149242	0.000921675552568413	0.000619100458451883	0.00345299283627373	0.0034890857309321	0.000691793559145132	0.000114499441582955	0.000470676915728807	0.00146780651369759	0.000768717650867646	0.00127842088412207	0.000868777682124967	0.00277141105771486	0.000669364057558905	0.00520585699192696	0.000327694350107645	0.00287903735405406	0.0019815679400065
"IS10"	0.000974419640939199	0.00030843270691076	0.0023823999859267	0.0160567262075603	0.00250087087160414	0.00973016276619268	0.0028979973860603	0.00231465392865746	0.00969034094820819	0.00616239470647912	6.89803779048174e-05	0.000761011660557478	0.000220329647169779	0.00185541516231572	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000613316634478379	2.22044604925031e-16	0.00118946541641826	0.00808130279202646	6.80899686474445e-06	0.00466497556245175	0.00632391265309232	0.00698672802123574	0.00757030454054152	0.000646999471121861
"IS11"	0.00103601213184332	0.00189728455710884	0.00128217164319652	2.22044604925031e-16	0.00293953402470502	2.22044604925031e-16	0.00353525134104977	2.22044604925031e-16	6.47316800209755e-09	0.00112027169953834	0.011244979498067	0.00374039337522647	2.22044604925031e-16	2.22044604925031e-16	0.00120788507710078	0.00749952091075056	0.00749635553155498	2.22044604925031e-16	0.00282187520549941	0.0011055424254862	7.44752393087188e-13	1.63089098507983e-09	0.00171017555226264	2.22044604925031e-16	0.000191004759697237	2.22044604925031e-16	1.94398907140447e-10
"IS12"	0.00339624941872782	0.00278793708161946	0.00279618415963477	0.0011962072584162	0.00238098215345836	0.00078856965305842	2.22044604925031e-16	0.00365214112687238	0.00257103600515721	0.0043784567189724	0.00223971655701044	0.0011225664747327	9.20237231748445e-05	2.22044604925031e-16	0.00304832745082251	0.000914115881920018	2.22044604925031e-16	0.000858661055579073	0.00454166185643181	0.00491901536033881	0.00379867614499571	0.0034955719347898	2.22044604925031e-16	0.0034171611604104	0.00322086968604734	2.21267891924812e-05	0.00611068333397815
"IS13"	2.22044604925031e-16	0.00343228490177404	0.00454864505095794	0.00542423070973499	0.00239436283013948	0.00537258416663356	0.00166649170415484	0.000443359870121852	0.00075860328527768	0.00111799022995621	2.22044604925031e-16	0.000909752135172426	0.00305700367331241	0.00229536013267058	0.00206586788844202	6.87780703684792e-06	4.88086649244117e-12	0.00101754085993231	0.00218176868775612	0.00588091373628126	0.00348111195596757	0.00184772059278665	0.000931390824315277	6.1735211843461e-05	0.0026111471880819	0.00858590408409158	0.00243342174487686
