"Pt22.baseline"	"Pt38.baseline"	"Pt23.baseline"	"Pt20.baseline"	"Pt27A.baseline"	"Pt29.baseline"	"Pt13.baseline"	"Pt1.baseline"	"Pt32.baseline"	"Pt14.baseline"	"Pt2.baseline"	"Pt6.baseline"	"Pt9.baseline"
"IL16"	3.03283963834765	5.26926509640928	2.09271317240099	3.69623869426178	2.05304876037782	2.47788711177044	2.32044424155397	3.22365191094561	1.21013945740167	1.06133381847545	1.9546913955976	2.20785069435212	2.02991751248706
"GAPT"	2.12531386038254	4.48263534724612	1.59491873008607	1.17025197526261	1.4062128301843	0.848971999103719	1.94035095255226	0.991670767599918	0.762511255874083	0.595633029406401	2.2326162474269	1.37591243220577	0.727481808593203
"CLECL1"	2.51952429221895	3.50048340147311	1.44132677186841	2.83850406884413	1.65067036735316	1.06881868362706	2.22456667539837	0.620808779476032	0.212188304992546	0.314113181954539	1.52031915029513	1.24967287756465	0.512793232285356
"SASH3"	3.94773627960773	6.77946985729517	3.85589504224975	5.19018617546351	3.42559290631971	3.34203127534781	3.68655655308722	2.8323847293217	2.17583434408261	2.71937184393258	2.82093152096486	2.47967163348929	2.76413167987671
"ARHGAP25"	3.45544559042613	5.45456415757507	3.1858284957096	4.04253928297388	2.42864893407979	2.79052705078006	2.86025865441479	2.37993419580389	3.27560605887743	2.04414228151756	2.49407889959453	1.79417253726191	2.22203170248449
"ARHGAP15"	3.90456116803197	5.7516351033279	3.30843514592582	3.95607524372355	2.83585739353086	3.4238248735966	3.15561567359999	2.85122932778494	1.99599818966709	1.57143654301956	2.75620349457998	1.82397349043209	2.40242067446171
"SP140"	2.3849505190222	5.53482733274648	1.94831115813712	3.09540208672239	1.30091442695677	1.86013646195821	2.25370644608698	1.52235460523433	0.922819710051338	1.67682929987136	1.26360235519845	1.31183730304816	1.65552127807846
"TNFSF8"	2.65125724263437	3.32412796944205	1.94212785817845	1.93558232452943	1.10118277159747	1.47833506726691	1.92211410113481	1.32281940503615	0.811662555106706	2.13877351989242	1.18032930080187	1.27908791276174	0.882704472629564
"PTPRC"	5.43596189543763	6.76020763741028	4.13397033599887	5.81976907666483	4.31517130443531	5.23661889650541	4.92370304240992	3.99382378570192	1.75747135140392	3.42999349252875	4.39993668138128	3.74114874940769	3.52513551696687
"CYTIP"	3.90011810250449	5.43491173522007	2.80366618548789	3.99139486064869	2.43882245235605	2.47968068634669	2.94140214580677	2.50117797142422	0.98435820900309	1.37928270412041	2.38211109243647	1.34060784208875	1.62165337555588
"WDFY4"	1.95906718008923	5.01017560606381	1.4165965705707	1.66415057264789	1.59893683382253	1.30197387430198	1.66374537558121	1.25226426015529	0.373725041673097	0.739647666471407	1.23669465807476	1.09921776471933	0.61174415009658
