"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	2.68714189918708e-09	0.107835604933703	0.0328648078875838	0.0466406827955608	0.0855533512743379	0.099545655060126	0.000207771989466776	0.0968311283568607	0.253752892284027	0.168873705241476	0.0386901946363101	0.281590522790762	0.0116674965289647	0.0307851519903706	0.077093284621894	0.00379661947767182	0.0265713988714711	0.00304870620999822	0.0540594375682325	0.0583895039298276	0.237429036363746	0.0404581836933344	0.135454584117394	0.0850902816763643	0.0682019721990736	0.0756118011822492	0.122545340014131
"IS02"	0.0510318916629155	0.0424153492016035	0.0267556202157292	0.0194354595718001	0.00374229843722984	0.0093869200888174	1.05402993568367e-14	0.0223221156726427	6.85338252037545e-15	0.0260477581858648	0.113237333942669	7.38186033751488e-15	1.01302542173882e-14	6.67178482400547e-15	0.203786809340101	0.207795869619021	0.0271302980037342	0.0116297134159369	0.069136742836048	0.0222981982554683	0.0484734123168909	0.0785872672709209	0.000803720003651601	0.00339783873177496	1.03807324320372e-14	0.00283107077303405	0.584150166234209
"IS03"	0.139514231029538	0.00484435929104023	0.0197487234177895	0.0262458213455444	0.0753327522861505	0.0791837640858723	0.11905721033903	0.013394956591647	0.176339368659023	0.188407600036588	0.146639516244147	0.139429060694455	0.0475635236199186	0.106329439418724	0.000943463601753142	0.149758959091585	0.0883324887402744	7.15052025859578e-15	0.0189082988825612	0.0192236215851311	7.57837005854529e-15	7.26952155090029e-15	0.12993796788273	0.25727016093886	0.00731144050786696	7.07440261533979e-15	0.0010644808391938
"IS04"	0.143348436608246	0.151364230207706	0.157904533750501	0.185654696678384	0.224487932317798	0.12044720988495	0.0851009202690509	0.0442399986091989	0.0368974337104879	0.0303270877469313	0.0299880388181066	0.141701116561433	0.0791222626699914	6.67178482400547e-15	0.00188185184175552	0.0273927894230966	0.00779440418276936	0.0479591241100189	0.0829634027592855	0.131208260078164	0.0615860994923575	0.0668112454286469	4.61925617133134e-11	4.02915673919427e-08	0.256174162391707	0.0413588864200806	4.9068938142739e-15
"IS05"	0.0796770306981625	0.0666636565412748	1.04977201735683e-14	0.0058922482930552	0.0135211892769732	7.16997608861465e-15	1.05402993568367e-14	0.0305102232099112	6.85338252037545e-15	7.30360313616831e-15	0.0949601484660156	0.0441632958576545	0.165338195497547	2.21060240537833e-11	0.505739921339084	0.172511038913759	0.0931915055066609	0.122304034168066	0.209564182884559	0.0473253407766167	7.57837005854529e-15	0.232784202947226	7.18478070438845e-15	0.00750831186322986	4.09867965771552e-11	2.54978678834747e-06	0.0343303940672953
"IS06"	0.298633808388113	0.11886826431709	0.0459409903334829	9.0371269687079e-07	0.0308743579569172	7.16997608861465e-15	0.0562696323489937	0.208248271184004	0.0622215884479789	0.0241974513786412	0.0945769782895177	0.0913747885272991	1.01060818181195e-14	6.67178482400547e-15	0.00520015022896674	0.199792772015478	0.0855586001144234	0.0663440727141362	0.0490789628110274	0.0298646634238023	0.0490130191004013	0.120035042542655	0.0171565116492755	0.0689958242547551	0.0213049695043708	7.07440261533979e-15	0.011008242674301
"IS07"	1.00996729163162e-14	6.8800308068777e-15	1.04977201735683e-14	6.62363081651909e-15	7.44780679049723e-15	0.0619140277320055	0.220832423650916	0.0364719176532181	6.85338252037545e-15	2.28807158112243e-07	6.2224701614368e-15	0.0463297074482825	0.283319728972542	0.413105642470642	0.00332434460649967	2.40596844234411e-08	0.10349989431668	0.502153797090168	1.01160197722935e-14	9.99320708139747e-15	0.0495739178258691	7.26952155090029e-15	0.448218084515023	0.0915794019024932	0.023473109218124	0.265569187020556	6.30526875688765e-12
"IS08"	1.00996729163162e-14	0.120772132554521	0.0754278275529433	6.62363081651909e-15	0.173285668701991	0.0076144177222064	0.0736355402348802	9.91871100899153e-15	6.85338252037545e-15	7.30360313616831e-15	0.0762575562332407	0.0176162751604681	0.102478091036014	0.220224497833702	0.0104277506497746	0.0294693884678927	0.351498101145621	0.119122495207144	0.0463975074909106	0.0448116407904402	7.57837005854529e-15	0.195433686146121	0.0103497448821127	7.19243083155134e-15	1.89844294220399e-12	0.00745332987743324	1.89168592354356e-10
"IS09"	0.041872336525062	0.126159482761031	0.120860233091689	0.0396662693905642	0.0505463813821466	0.108766242869474	0.0604075878385683	0.261640388670417	0.0689282466727831	0.141809126826759	0.0258285880277031	0.0205819597405946	0.157158639961303	0.104836725202787	0.0188981614359773	0.00281026294895763	0.0127858718085141	0.0472678911313207	0.035021625308634	0.0575358479731065	0.0296513341360901	0.0907332669364504	0.0216588642925331	0.168627228506742	0.0153199280347582	0.0917269275425883	0.0437900460164941
"IS10"	0.0443213635388391	0.00955675786903792	0.112633983618813	0.478975053488529	0.0838840604390216	0.314193782800914	0.137565873283519	0.103395366944095	0.299091316780027	0.202696594766371	0.00193307260666063	0.0252997896316926	0.0100280276659141	0.0557497477875996	6.06573266603761e-15	5.44984078184046e-15	6.03181027042209e-15	0.0197506848736636	1.01160197722935e-14	0.0535323712388402	0.275814416359313	0.000222919847410768	0.15094636691967	0.204843096086463	0.326634165186551	0.241191999502116	0.0142978376068098
"IS11"	0.0471228907925316	0.0587871802007048	0.0606179066107271	6.62363081651909e-15	0.0985976735507149	7.16997608861465e-15	0.167815864965078	9.91871100899153e-15	1.99793624582805e-07	0.0368485417642608	0.315123843771457	0.12434916629751	1.01060818181195e-14	6.67178482400547e-15	0.0329965592789937	0.184067498138372	0.203637437177252	7.15052025859578e-15	0.128560409668205	0.0497553831532368	2.54183578957367e-11	5.33937636863984e-08	0.0553367928626865	7.19243083155134e-15	0.00892959909713647	7.07440261533979e-15	4.29596024308328e-09
"IS12"	0.15447800806942	0.0863839633286956	0.132196676751146	0.0356830793635561	0.0798627602619171	0.0254634673900092	1.05402993568367e-14	0.163140790625065	0.0793547459662416	0.144018406729859	0.0627647289641592	0.0373196589885669	0.00418834439110534	6.67178482400547e-15	0.0832730856103265	0.0224359696300559	6.03181027042209e-15	0.0276515309852198	0.206911314752489	0.221382272039609	0.129648606274696	0.114441580425952	7.18478070438845e-15	0.110688099333977	0.150577792334139	0.000704965632401705	0.135038067070387
"IS13"	1.00996729163162e-14	0.106349018793586	0.215048696769574	0.161805785360289	0.0803115741147948	0.173484512365604	0.0791071750804647	0.019804842482921	0.0234142076857791	0.0367734985160777	6.2224701614368e-15	0.0302446583012733	0.13913568965667	0.0689687952740365	0.0564346174448676	0.000168808214420244	1.32588047557407e-10	0.0327679500943134	0.0993981150380278	0.264672896755747	0.118810158105196	0.0604925513675051	0.0301373628287173	0.0019997164137592	0.122072861483377	0.273549282262732	0.05377542098574
