"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	2.22044604925031e-16	0.000537822994073444	2.22044604925031e-16	0.000274640553930975	2.22044604925031e-16	0.00320742045712137	0.00138807352273733	0.000454689688428192	0.00253757064144088	0.00146527432681955	0.000143897352605895	8.97012173044863e-05	8.85997703405605e-05	0.0037647581773518	0.000357135918090039	2.22044604925031e-16	0.00177597585793902	0.00350946296970727	2.22044604925031e-16	0.00102680273894292	0.00143728955841482	0.00023606112514856	0.00501054121976796	0.00387945297784649	2.22044604925031e-16	0.00263168061036187	0.00305005884202164
"IS02"	4.77064624702515e-11	0.000815659418847563	0.00168504855326552	2.22044604925031e-16	0.00156726229740794	0.000591518827676353	0.00391684603196206	0.00155475947082624	0.000342496122457241	2.22044604925031e-16	0.000558278503211631	0.000448432313850213	0.00196162831770402	0.000931287444377005	0.00103872442219974	0.00141565542781125	0.0021805395748708	2.7707128915623e-15	0.00245671090133952	0.00221481964416586	0.000374380990000434	0.00342130075938352	0.000177205747486091	0.000927235253826561	0.000225517053293235	2.22044604925031e-16	0.00124328670851467
"IS03"	2.22044604925031e-16	0.0564778258282438	2.22044604925031e-16	2.22044604925031e-16	0.000219338309569925	2.22044604925031e-16	2.22044604925031e-16	0.00126694033731154	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	1.32659459222126e-05	2.22044604925031e-16	0.000146001782559158	2.22044604925031e-16	2.22044604925031e-16	0.00857723823724616	2.22044604925031e-16	2.22044604925031e-16	4.29400406241477e-05	0.000657934196351743	2.6046739821711e-05	9.08676298988846e-06
"IS04"	0.00107569054423223	0.000653517462813868	2.22044604925031e-16	2.22044604925031e-16	0.000110450717083228	0.00120051980324883	7.24158116452261e-05	0.00241228526931164	2.22044604925031e-16	2.22044604925031e-16	0.00254798878178059	0.000140716130739268	0.000819507415155894	0.00124311484104575	0.0151748850617212	0.0032502257421006	0.00387506621083533	0.0047433743288479	0.00232972776720099	0.000302319331711702	2.22044604925031e-16	0.0015765002919371	0.00170864792364722	0.000447538722567025	0.000485775391777343	0.000664057955695197	0.00966494578737582
"IS05"	0.000490879888417489	2.22044604925031e-16	0.00173354368173016	0.00130864769894058	0.00102439147910372	0.00250669974239002	0.00188797763173212	0.00100699757489009	0.00420520022141821	0.00203162679254939	0.000608182457605086	0.000984651848289489	0.00303864663093618	0.00618118448336564	0.000332827630475486	2.22044604925031e-16	0.00121050634379476	0.00295370549068641	2.22044604925031e-16	1.47779156588374e-06	2.22044604925031e-16	0.000281784551893184	0.00309327266125291	0.000923171849110495	0.00116958593413185	0.00122549581809549	1.45085621828221e-08
"IS06"	0.00571337549628719	0.00213601240681349	0.00129954246246954	0.000821832929917978	0.00117240124314753	0.000899269876358051	0.00327364700414705	0.00297324289063342	0.00444624442160687	0.00184200706586445	0.00485576171892973	0.00139071406954609	2.22044604925031e-16	0.00230101708392957	0.000552198504158763	0.00810383645732224	0.000952399580291984	0.0011258443574012	0.00231299466999969	0.000952629598916495	0.0011944854533921	0.000752610380727931	0.000904158025818506	0.00480121421631545	0.000594733174381193	2.22044604925031e-16	0.00224656814666221
"IS07"	0.00244932650000062	2.22044604925031e-16	0.00531366084551537	0.00953806385600319	0.00539326135561732	0.00528629241166888	0.00211436985550795	0.00211075540715095	0.00336880976989876	0.00436377084100572	0.00201590082016633	0.00237402309734977	0.00347826389843611	0.00246840790876546	2.82476286235218e-05	0.000239443661396058	0.000585199276104492	0.00291613250529459	0.00292585314277224	0.00516886511547236	0.00168808762992422	0.00247324696790811	0.00272009802006693	0.00256161050380559	0.00563330890073102	0.00684655994340434	0.000101545487831542
"IS08"	2.22044604925031e-16	0.00261092973237117	0.00430323370425224	2.22044604925031e-16	0.00257966658446311	7.41201262469003e-06	2.22044604925031e-16	0.000280685066557625	2.22044604925031e-16	0.000664592027700615	5.72168790995954e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000574885534332248	0.0057343550327565	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0059691094829743	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IS09"	0.000453787522992894	0.000771115679721895	0.00106765862735629	0.000857960112264717	0.000936016740641797	0.00127370439944648	0.00092891277474562	0.000495222087076972	0.00178549141905801	0.00312287519649178	0.0026313530498539	0.0117388475595603	0.00172355569643633	0.000905936168491883	2.22044604925031e-16	0.000399834531947815	0.00351225072813678	4.24721105536516e-09	5.20651122811361e-06	2.22044604925031e-16	0.00790651043039229	0.00149292516242171	0.00184420007974921	0.000459471237319486	2.22044604925031e-16	0.00116344789526565	2.22044604925031e-16
"IS10"	2.22044604925031e-16	0.00714849408783493	3.42244542814804e-15	2.22044604925031e-16	0.00100018328447898	3.19770774468228e-11	0.00138474526626795	6.1722482523949e-10	0.0010434570854642	1.26476596030957e-05	0.000425975481070975	2.22044604925031e-16	0.000336991792355607	2.22044604925031e-16	0.00102949883158194	2.22044604925031e-16	0.000332368864474584	2.22044604925031e-16	2.22044604925031e-16	7.19696956485518e-05	0.00598933389140211	0.00186683975875896	2.22044604925031e-16	0.00295421151798501	2.22044604925031e-16	2.22044604925031e-16	0.00180531455707064
