"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"RP13.512J5.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NPFF"	0.643296546397006	0.661729992886461	0.0901598896385949	0.0821180363863256	0.18259416549408	1.75609245068921	1.42847474619914	1.42748281440055	0.480637899382076	0.972771678447256	0.92218604794012	0.802140265442427	0.935074977822774	0	1.17219625885232	0.458382529154113	1.01957525057546	1.29325275642788	0.742694830944736	1.14116201495499	1.86163583233628	0.587086507113957	0.297136232058213	2.5724531568317	0.679441814797362	1.06353055343028	1.54664015283068
"DNAAF1"	0.00575204142590222	0.0862467989184652	0.0402083293562813	0.0965142688684111	0.0054753508695174	0.096730349215247	0.0647923010095311	0.00783438051806257	0.0334655020465588	0	0.0385608492830143	0.00606096074135742	0.0626561286625835	0.0564291933583514	0.0161081021161845	0.0940361734717837	0.0106847537829491	0.0979818720871078	0.0758828743210173	0.0919952813655214	0.037130422508684	0.150819598212133	0.170196843695019	0	0.027783801205456	0.193629201238529	0.156616660970617
"SPHAR"	3.20342650381492e-16	7.0475383083928e-15	4.80513975572237e-15	5.1350926856144e-13	1.17435373226523e-10	4.24152279527804e-07	3.44816828870226e-12	0	0	7.28561055746372e-10	7.52805228396486e-14	1.54373123218758e-12	2.45257536556489e-11	3.28934094324993e-06	7.42874606234488e-13	1.85798737221264e-14	2.24239855267044e-15	0	0	0	0	5.82848784919324e-08	0	0	0	0	0
"H2AFB3"	0	0	0	0	0	0.115856929171599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDIA2"	0.0349940534669241	0	0.283166751990581	0.0119312440706337	0.0106826057067162	0	0.403470067264089	0.207423743357604	3.1151189961624	1.33168228910112	0.616854508367151	0.0407972762491633	0.343847812719099	0.260990342737035	0	0.338273790414381	0.0722019312016306	1.41154284982384	0	0	0	0.0598008935621676	0.433629303420142	0.546026668617339	0.0639442428480499	0	0.0758225785982053
"RNASEK.C17orf49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C7orf61"	0.313464126355284	0.0870975385667783	0.207729836628548	0.309551658510483	0.107943314182198	0	0.981427817495641	0.157091842307255	1.2304151588033	1.31582414189371	0.614236798138682	3.46867063195057	0.814818225146856	0.44407067910781	0.401054802705809	0.197628905828076	0.454270665659499	0.30251909859065	0.267609024594132	0.296021522814846	0	0.0996239734031414	0.547867326034806	1.54486121942795	0.288810939327717	0.514303075036162	0.971223849496334
"FTCD"	0.0312350369432496	6.2033431083318	0.13894025699146	0	0	0.109664045107773	0.134893164457945	0.328680240384815	0.237993770674695	0.0352246854124625	0.0477364578234708	0.0128644761071388	0.1960468524313	0	0	0.0109394213534715	0.0716203145360989	0.323205756772918	0	0.0182047197478473	1.37437737792984	0.103229856024442	0	1.08803301742734	0	0.166325961129589	0.137309796145714
"LCAT"	1.5574002867207	5.56863259586781	1.76549231353188	0.918300738873661	1.5631117485984	2.71071167410166	2.50277230534072	1.92640559392468	2.18063164950873	2.370589770969	3.37753955750334	2.57865980533663	2.26393580857533	2.53050278667123	2.42424491040551	2.23459481986714	2.91870298191686	2.5355939009644	2.34530836887733	2.45906171667372	3.39287172337496	2.27257118960791	1.88633162929608	3.84193287582641	1.03315161719113	1.09680158184917	2.0246175500737
