"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	2.18052928032369e-14	0.00755885566989231	1.44159647155672e-14	0.0214543738618779	1.58569627035216e-14	0.214215938944793	0.0927423428232779	0.0362141570544741	0.143128887260989	0.108516380875114	0.010436920519498	0.00522518592077869	0.00773986830703922	0.21155430161895	0.0192905485683909	1.58635613495198e-14	0.0880998899977611	0.227968242884977	2.2136958282124e-14	0.105433307117589	0.0529050797388733	0.0195071380682532	0.324136442702111	0.168921903848886	2.53277388268472e-14	0.209573946907687	0.168317918681059
"IS02"	4.68488474701598e-09	0.0114637192734363	0.10939964290551	1.73456829295206e-14	0.111923547095522	0.0395061273594098	0.261699017762305	0.123830174933304	0.0193181179266298	1.64443452521339e-14	0.0404921165000325	0.0261216322717078	0.171363252839465	0.0523321434260778	0.0561062690719506	0.101138853323848	0.108168867174138	1.79980400101186e-13	0.244924242822985	0.227420273531611	0.013780560787303	0.282722478105247	0.0114636000577938	0.0403743376415751	0.0257238271055481	1.7682527302315e-14	0.0686109488177307
"IS03"	2.18052928032369e-14	0.793769955337226	1.44159647155672e-14	1.73456829295206e-14	0.0156636969201665	1.48298279466393e-14	1.48356240031195e-14	0.100906568857223	1.25241822655939e-14	1.64443452521339e-14	1.61049654591836e-14	1.29343210527547e-14	1.93972963338657e-14	1.24774259355519e-14	1.1993647288581e-14	0.000947760685595062	1.10148486428149e-14	0.00948400656037185	2.2136958282124e-14	2.27997999391447e-14	0.315718896184909	1.83488694415797e-14	1.43642662947554e-14	0.00186972582346031	0.0750479188452914	0.00207423273440578	0.000501454271286234
"IS04"	0.105635294721871	0.00918488839934142	1.44159647155672e-14	1.73456829295206e-14	0.00788766248996364	0.080179845552764	0.0048383690917058	0.192128565538918	1.25241822655939e-14	1.64443452521339e-14	0.18480643263014	0.00819685582046727	0.0715902473061491	0.0698547634776837	0.819665126006955	0.232206296915026	0.192228348928579	0.308120849379802	0.232264532653908	0.0310425028479748	8.17322261917874e-15	0.130275617555007	0.110533979366605	0.0194870497190782	0.0554104534789303	0.0528822708206052	0.533361368863985
"IS05"	0.0482055382601056	3.12073514781216e-15	0.112548127693326	0.102228955573741	0.0731552900528133	0.167416478801996	0.126142791355523	0.0802032006853028	0.237189703636976	0.1504597349323	0.0441116661038367	0.057356958234876	0.265449048735375	0.347341344371854	0.0179775464896565	1.58635613495198e-14	0.0600489445017966	0.191867261892681	2.2136958282124e-14	0.000151741367754828	8.17322261917874e-15	0.0232855374040173	0.200106605803483	0.0401974059801615	0.133409983481685	0.0975923881134724	8.00657008980421e-07
"IS06"	0.561066663310481	0.0300206753339327	0.0843711482729676	0.0641999540056789	0.0837251722122661	0.0600600836416997	0.218724503974603	0.236806524851513	0.250785537222964	0.136416735539115	0.352189934035067	0.0810104900957418	1.93972963338657e-14	0.129301814159657	0.0298267732935835	0.578963433273286	0.0472451795347089	0.0731327733428475	0.230596309844347	0.0978171222792689	0.0439677222927371	0.0621926825063678	0.0584908003496968	0.209057888016097	0.0678388313801834	1.7682527302315e-14	0.123977173624201
"IS07"	0.240529516676495	3.12073514781216e-15	0.344982699693621	0.745094578918549	0.385151191560104	0.353058823325804	0.141268895906914	0.168112956514114	0.19001401808691	0.323175401333984	0.14621392439992	0.138289227689835	0.303852982999212	0.138708062151523	0.00152578395031814	0.0171066043851526	0.0290296693060934	0.189426590048114	0.291695846350504	0.530745120265287	0.0621366864766237	0.204379141417332	0.175965600791202	0.11153946850062	0.64256898570826	0.545225961094881	0.00560380177843687
"IS08"	2.18052928032369e-14	0.036695420665724	0.279381997433736	1.73456829295206e-14	0.184222790871967	0.000495030590811174	1.48356240031195e-14	0.0223554070871978	1.25241822655939e-14	0.049218852937294	4.1499583468483e-14	1.29343210527547e-14	1.93972963338657e-14	1.24774259355519e-14	1.1993647288581e-14	0.0410716213794529	0.284461100828377	1.44236080744487e-14	2.2136958282124e-14	2.27997999391447e-14	8.17322261917874e-15	1.83488694415797e-14	1.43642662947554e-14	0.259911215293601	2.53277388268472e-14	1.7682527302315e-14	1.22535622068743e-14
"IS09"	0.0445629823460763	0.0108376774367009	0.069316384000574	0.0670221376400666	0.0668441485044867	0.0850676696470345	0.0620641094273527	0.0394423953185431	0.100708684065918	0.231276224557561	0.190852869373352	0.683799649966555	0.150565786558901	0.0509075707942178	1.1993647288581e-14	0.0285654300375918	0.174230354207907	2.75890998084533e-07	0.000519068328145486	2.27997999391447e-14	0.291030128429705	0.12336930636335	0.119302970929065	0.0200066237727402	2.53277388268472e-14	0.0926512003288787	1.22535622068743e-14
"IS10"	2.18052928032369e-14	0.10046880788374	2.22197934283495e-13	1.73456829295206e-14	0.0714265002926947	2.13567250117539e-09	0.0925199696582897	4.91594098744847e-08	0.0588550517995757	0.000936669824583193	0.0308961364380973	1.29343210527547e-14	0.029438813253802	1.24774259355519e-14	0.0556079526191095	1.58635613495198e-14	0.0164876455206279	1.44236080744487e-14	2.2136958282124e-14	0.00738993259044564	0.220460926089824	0.154268098580389	1.43642662947554e-14	0.12863438140378	2.53277388268472e-14	1.7682527302315e-14	0.0996265333062683
