"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.0011659208214262	0.0104185851793807	0.000332726078006468	0.000232542274609674	0.00106213194178885	0.00017681190941491	0.00104099678019574	0.00053668749476758	0.00275321418590219	0.00120351547789192	2.22044604925031e-16	0.000662752118943823	0.00119459472890361	0.00134919890978287	0.000381044080039431	0.00101084620978605	0.00105388541362592	2.22044604925031e-16	0.0010836610143383	2.22044604925031e-16	0.00290918381237283	2.22044604925031e-16	2.22044604925031e-16	0.000576093524731159	2.22044604925031e-16	0.00151637984534817	0.00032902421498669
"IS02"	2.22044604925031e-16	0.00203658872040716	0.00203602693977421	0.00176007999004726	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00303076756789447	0.005281487941873	2.22044604925031e-16	0.00165536798856448	2.22044604925031e-16	0.00170025147165371	2.22044604925031e-16	2.22044604925031e-16	1.06118901505206e-09	2.22044604925031e-16	0.00132737884275602	0.000235860045945449	2.22044604925031e-16	0.00182818956713276	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00292022320480274
"IS03"	0.00146164863598416	0.000210718997222459	2.22044604925031e-16	0.000765184641715455	0.00180668179569289	2.06425449940769e-05	8.87685233432563e-05	0.0012632035960395	0.000659324097746747	0.0012057251648122	0.00170455296708553	0.00122483900791919	2.14343584821342e-05	0.00123986244923098	0.000370591796520595	0.00158727327943814	0.000694722553767337	2.22044604925031e-16	0.000107825134035143	0.000196738764115663	0.0113766262484469	0.000777024560415744	0.000338195155678389	0.000579532952914234	2.22044604925031e-16	0.00029538970960109	2.22044604925031e-16
"IS04"	2.22044604925031e-16	0.000401099982380068	0.00219739797829471	5.06856266294507e-06	0.00160820601464918	2.22044604925031e-16	0.00307225264296258	0.00241714483076397	0.00230925616456395	0.00157727352872351	2.22044604925031e-16	0.00188269529658968	0.00164113156083922	0.000191746505631583	0.000772324625189841	0.000174269201042273	0.000434154826373587	0.0023646861475848	2.22044604925031e-16	0.000651474979782201	0.00163932682507031	0.000688656395977338	0.00142555612169819	0.00363706185600743	5.64166035114104e-05	0.00048837388633188	0.00112320197925318
"IS05"	0.0021625553013096	0.00213212964609517	0.000331856782585142	2.22044604925031e-16	2.22044604925031e-16	0.000898476668626397	5.95945956378853e-05	0.00142993809698547	0.00105292696348079	0.0024062480058591	0.000729247781169896	2.22044604925031e-16	0.00031599632147966	0.00140522988169823	0.00011369437492815	0.00076711841401817	0.000953548336591934	0.00421541589432594	0.00037584271599466	0.0013644610679785	1.06753680196336e-11	0.000513139284837349	0.000983468871247758	0.00248779421757664	0.00121269245782121	0.000188204007803513	0.00296717558787773
"IS06"	2.22044604925031e-16	0.000104972349805565	2.22044604925031e-16	6.0398918118604e-05	0.00015425771014878	2.22044604925031e-16	0.000382948623884175	0.00154730548108601	0.000321171383609727	0.000395992577403205	0.00258899867656985	0.000915037712035536	2.22044604925031e-16	0.00095906352714043	0.000720079425175241	6.21858091574558e-05	0.00107277055977182	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00408069675505738	0.00880963758952674	0.000382188034893069	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000822686696441752
"IS07"	0.000788927691868781	2.22044604925031e-16	2.22044604925031e-16	0.000466437075570551	6.54849625967322e-05	2.92455626173884e-05	0.000623759277841246	0.000963531724006767	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00090251210459718	0.00135285653577698	0.00666246433630799	0.0040264243737812	1.78341566323188e-05	0.00122305770995096	0.000162147074787271	9.35392553004627e-05	2.68507322225165e-05	0.000709655640618981	0.000262385068305966	2.22044604925031e-16	3.12888454807701e-05	0.00108747346748149	0.0125948587766267
"IS08"	0.00241758473409099	0.00149300556495761	0.00320170097025012	2.22044604925031e-16	0.000480743502653587	2.22044604925031e-16	0.000245781306015979	0.00277720198873544	0.00154411577385781	3.58816427588209e-05	0.00168010999436021	0.000309171999521283	0.00223072623515387	0.00161397922349994	0.000800895069057759	0.00373827482435471	0.000551274653335497	0.00215581769738726	0.00128563661568561	0.000805841378107404	0.00153455617575649	0.00411026477596347	0.000238419769172623	0.00185932902769152	0.00203850281699317	2.22044604925031e-16	2.22044604925031e-16
"IS09"	0.00085377191805156	0.00225999126023183	0.000444884153373772	2.22044604925031e-16	0.000985008944405954	2.22044604925031e-16	2.22044604925031e-16	2.51012411778445e-06	2.22044604925031e-16	2.22044604925031e-16	0.00413525855834379	0.000751697907996814	0.000628973562563336	0.000168474244779607	0.00708045232741009	0.00470747344699672	0.00313693153419448	0.000558454703324227	0.00206004259341889	0.000393171217429651	0.000927603126651518	0.0030130747354835	2.22044604925031e-16	3.48285122707737e-05	2.22044604925031e-16	2.22044604925031e-16	0.00771729307784864
"IS10"	0.00101098027947682	0.00185503250529735	0.00301445721027225	0.00356660992028497	0.00109781836027552	0.00417648489635538	0.0016903201863603	0.00109281903376492	0.000793131929636206	0.00188338889444361	3.37090807840723e-09	0.00198343570689435	0.00229977869182021	0.00414455617947766	0.00145603943966687	2.22044604925031e-16	0.00179381545354448	0.00450823682846071	0.00326843656412844	0.0036326801889548	0.00151414377153497	0.000627924735924463	0.00440771239338458	0.00041003133734845	0.00339574472684461	0.00592230312494034	0.00220220483712915
