"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.0821738883807545	0.422883317820504	0.0236914429264995	0.0141567183700825	0.0632269169358511	0.0127952005770224	0.0677174018257412	0.0279016859356355	0.114420882469963	0.0624035894103752	1.14873642576242e-14	0.0446264478039036	0.0843144854360062	0.0882099150133898	0.0189396848732823	0.0467997838911097	0.0783848246217155	1.22705891016186e-14	0.0987152120273226	2.02956975575937e-14	0.101145819116879	9.76298273196432e-15	1.72999263109983e-14	0.0258693319287046	1.68800633568309e-14	0.116657905114928	0.0103925374557546
"IS02"	1.56496635494842e-14	0.0826637571506414	0.144973355648842	0.107150223630263	1.32179395414886e-14	1.60685174797501e-14	1.44441212701148e-14	0.15756567024153	0.219493461190906	1.15132548031717e-14	0.0856396176411091	1.49513848218495e-14	0.120003733882088	1.4517159469667e-14	1.10366623322356e-14	4.91305364666374e-08	1.65150093076671e-14	0.0733533713514018	0.0214854775951278	2.02956975575937e-14	0.0635620652370375	9.76298273196432e-15	1.72999263109983e-14	9.97085601763062e-15	1.68800633568309e-14	1.70823019918722e-14	0.0922379802237476
"IS03"	0.103016731203344	0.00855294141565391	1.58104742382599e-14	0.0465829427877607	0.107548709657861	0.00149382190653019	0.00577444030478432	0.0656723146208633	0.0274008631381412	0.0625181640858417	0.0881841773905588	0.0824745972026442	0.00151283683273129	0.0810615547358835	0.0184201571692108	0.0734869911314798	0.051671372270394	1.22705891016186e-14	0.00982224222087846	0.0179826501783027	0.395539867846024	0.0341646551971499	0.0263494412482938	0.026023778568865	1.68800633568309e-14	0.0227248765012818	7.0134864500018e-15
"IS04"	1.56496635494842e-14	0.0162803766928277	0.156463626480647	0.000308564170884065	0.095733782314	1.60685174797501e-14	0.199851690890508	0.125664220959961	0.0959704223345868	0.0817833517577368	1.14873642576242e-14	0.126771384024856	0.115831051097927	0.012536285675326	0.0383881702596135	0.00806825100465174	0.0322911290771925	0.130676861440066	2.02269713173005e-14	0.059547220975998	0.0569957298046311	0.0302792337803187	0.111067845426363	0.163321329539668	0.00428884926959314	0.0375715060227747	0.035477384666775
"IS05"	0.152416506062262	0.0865416986318465	0.0236295455754292	1.35176407936844e-14	1.32179395414886e-14	0.0650193147446447	0.00387666057784966	0.0743406248114038	0.0437586123719651	0.124766582013705	0.0377272615976918	1.49513848218495e-14	0.0223030175846172	0.0918731904836961	0.00565114574875732	0.0355157645617919	0.0709220548702061	0.232951556508971	0.0342370842057028	0.124716784603493	3.71158686545585e-10	0.022561998201447	0.0766239693483715	0.111713761085642	0.0921901503857045	0.0144788822879338	0.0937210151419024
"IS06"	1.56496635494842e-14	0.00426075659995041	1.58104742382599e-14	0.00367696787647737	0.00918270041842925	1.60685174797501e-14	0.0249110144579921	0.0804424027029836	0.0133475678444835	0.020532646786654	0.133940524564	0.0616141111096447	1.5671906258349e-14	0.0627030689159942	0.035791337829319	0.0028790555887613	0.0797894449433013	1.22705891016186e-14	2.02269713173005e-14	2.02956975575937e-14	0.141876705797156	0.387347126449896	0.0297770118883441	9.97085601763062e-15	1.68800633568309e-14	1.70823019918722e-14	0.0259853284885668
"IS07"	0.0556034808717197	9.01264016352958e-15	1.58104742382599e-14	0.0283957758962356	0.00389820899621717	0.00211638933664385	0.0405758773357277	0.0500927631337875	9.22795610065873e-15	1.15132548031717e-14	1.14873642576242e-14	1.49513848218495e-14	0.0636992963870828	0.0884490486768933	0.331155846840863	0.186413906213032	0.00132645088529208	0.0675883956353806	0.0147706548961802	0.00854983365158412	0.000933539947865744	0.0312025404415631	0.0204429301415904	9.97085601763062e-15	0.00237861079424025	0.0836613444669788	0.397820390184134
"IS08"	0.170390934306497	0.0606000849408307	0.227974062805273	1.35176407936844e-14	0.0286178470996131	1.60685174797501e-14	0.0159882064741929	0.144383125049478	0.0641719377973871	0.00186050228952046	0.0869196326774381	0.0208181123902745	0.157444638013946	0.105521112643961	0.0398082558399804	0.173073264965206	0.0410021492483035	0.119134410635953	0.117114013910512	0.0736568803145851	0.0533530884908773	0.180722445587368	0.0185757471529839	0.0834926929693814	0.154969118549585	1.70823019918722e-14	7.0134864500018e-15
"IS09"	0.0601736901917335	0.0917315149722652	0.0316775516716604	1.35176407936844e-14	0.0586359154250976	1.60685174797501e-14	1.44441212701148e-14	0.000130498093353593	9.22795610065873e-15	1.15132548031717e-14	0.213935490011979	0.0506156170560154	0.0443929485014982	0.0110147575025434	0.351931818039447	0.217944864272887	0.233315524609246	0.0308612235756484	0.18765789181669	0.0359373024172205	0.0322506875163794	0.132480573543209	1.72999263109983e-14	0.00156396540810985	1.68800633568309e-14	1.70823019918722e-14	0.243757917245764
"IS10"	0.0712537070392568	0.0752945133142978	0.214641549527571	0.217128228672259	0.0653512690324416	0.302236213231378	0.109956239492306	0.056814242481648	0.0329617854538045	0.0976557671487412	1.74392208217379e-07	0.1335547447018	0.162318359796779	0.270968902886811	0.0723720157193031	1.02801389806642e-14	0.133418593626837	0.249133374411429	0.297735550284426	0.332040395502433	0.0526433948179132	0.027608949813816	0.343413430969748	0.0184123520082745	0.258148069628238	0.455613729060412	0.0695586987603165
"IS11"	0.00905542774593204	0.0548387774426158	0.1328228210593	0.385431884794577	0.209492939346994	0.29111214946431	0.138636000074583	0.0167557967075931	0.193135205013318	0.175822479051222	0.0517952846175371	0.167162392939471	0.0189073727748102	0.0515155545723024	1.10366623322356e-14	1.02801389806642e-14	0.0656308665895348	0.0231566824888334	0.0584289618428584	0.193957401801336	0.0419982416636904	0.00670112057941591	0.100924392165151	0.112895132402725	0.250078680102919	0.092810464947566	7.0134864500018e-15
"IS12"	0.235083652658448	9.01264016352958e-15	0.0231311864191702	1.35176407936844e-14	0.045120217686664	0.141908715472732	0.192674180401409	0.0736126497702976	0.110856271645303	0.193486276233051	0.269940807025959	0.0961084003890363	1.5671906258349e-14	0.0407988760921493	1.10366623322356e-14	0.217240164720317	0.101979311010714	0.0147376874041276	0.122322218076462	0.0359239911015358	0.0188126352354208	0.0228514801854002	0.0320761011681799	0.230879087617879	1.68800633568309e-14	1.70823019918722e-14	7.0134864500018e-15
"IS13"	0.0608319815399902	0.0836397104809037	0.0209948578855439	0.197168693801393	0.207334350949234	0.183318195266642	0.163772561694843	0.00632602974341828	0.0580983090887433	0.0703421124043001	0.0319170300814727	0.210006009838527	0.191004833779061	0.0953477328010216	0.0809738343993633	1.02801389806642e-14	0.110268278247231	0.0584064365481404	1.70684015166199e-05	0.0336219868227684	0.0217816949730038	0.0807909588163168	0.156517904948089	0.0418785152696374	0.146329955626416	0.0846459761766966	9.97310069796666e-15
"IS14"	1.56496635494842e-14	0.0127125505376449	1.58104742382599e-14	1.35176407936844e-14	0.10585714213757	1.60685174797501e-14	0.0362657264700338	0.120297975748047	0.0263846816513797	0.108828528818818	1.14873642576242e-14	0.00624818254378292	0.0182674259134214	1.4517159469667e-14	0.00656773328082758	0.0385779045201954	1.65150093076671e-14	1.22705891016186e-14	0.037693624722283	0.0840655526306824	0.0191065291819638	0.0432889174040795	0.084231225542834	0.183950053201082	0.0916165656432024	0.0918353154213437	0.0310487478330008
