"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"C20orf85"	0	0	0	0	0	0	0	0	0.0243652857956512	0	0	0	0	0	0.154476276385833	0	0	0	0	0	0	1.06685245412083	0	0	0	0	0
"DRC7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNAI2"	0	0	0.00782168175741521	0	0.00653394225664496	0	0	0	0.00639768581741284	0	0.0238199690701091	0	0.0171102795492506	0	0	0.0301296716891065	0	0.0219376926234423	0.00932108454226991	0	0.0702142015646242	0.130469528917001	0	0	0	0	0.0409051922185239
"TMEM190"	0	0.0914127896545648	0	0	0.156126045454449	0	0	0	0.214463674516232	0.0727026542602441	0.0501961654972014	0	0	0	0	0	0.0818079500573165	0	0	0	0	0.783081525837688	0	0.34620124393485	0	0	0
"FAM216B"	0.0419866407322537	0	0.201983201974123	0	0.747726817379466	0.00912326122766722	0.013873909611129	0	0.0285847105888089	0.0189512331277527	0	0.0177465938683265	0.383874572272863	0	0	0.0433682346004436	0.0514828491136256	0	0	0	0.0251299568327933	0.444796384187057	0.0359438006853854	0.0301398443734658	0	0	1.86643722085338
"VWA3B"	0.00385610708289157	0.0480418831257095	0.00471156276148318	0	0.00405102131751991	0	0.0106560408996214	0.0167204301194693	0.0956255233706506	0.0055906480443631	0.0299195190672131	0.00626291759465646	0.0254484690839854	0.022858796229934	0.0167179487535689	0.0225491994411971	0.0108911689880039	0	0.0129360044686662	0	0	0.0745417430469367	0	0.0440632233515504	0	0	0.019770507535412
"BMP15"	0	0	0	0	0.0198053720690172	0	0	0	0.0172959631781211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DTHD1"	0.224779959845137	0.390174597965288	0.136221972673061	0.00766053410270962	0.0245307483388967	0.00855702125774555	0	0.0770553680022512	0.00654487151363582	0.0278556904091848	0.762831405184914	0.0182772303047435	0.239499472722041	0.0534549003139954	1.28022290589144	0.407827497814927	0.212498992134844	0.111466660075185	0.279084940403423	0.0977613953416329	0.0270681809852976	0.6797057334397	0.033883039973665	0.0309912698219395	0.121382561581544	0.228359417186639	0.56170151829247
"CH507.396I9.6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GRIN3B"	0.0411550718965259	0.043878924044846	0.0147038688351694	0.0516308238752467	0	0.0203283101183866	0.114129843717538	0.0891225809134673	0.468366440313605	0.0602236100416142	0.0791664491151798	0.047378196748722	0	0.126625021775103	0	0.0142521580214578	0.0745663351680944	0	0.0833617326550628	0.118266555812095	0.313180246859462	0.126479586905444	0.142895671624969	0.257676880790334	0	0.128487023297669	0.256382697961364
"TEX26"	0.0410500491787072	0.0943076284480297	0	0	0	0.0365484161556788	0	0.150120042513468	0	0	0.0280587439086953	0.034562188228058	0.0960202590120146	0	0	0.0308074112449238	0	0	0	0	0.0509515183108483	0.0936185182732017	0	0	0	0	0
"AZU1"	0	0.105374355938701	0	0	0	0	0.210633241523827	0.037426292939717	0.0502721017321323	0.0448396946698916	0.11580433917542	0.0626343717634825	0.250731572637907	0.25490721776988	0.162754650802424	0.258871640880013	0.526176007941508	0.297017636931266	0.113641896821991	0.125488376055047	0.088354660271044	0.125223188545529	0.225719147371428	0.451042793088409	0	0.1994242192103	0
"GLT6D1"	0	0	0	0	0.0166545583901815	0	0	0.0455573892752959	0	0	0	0	0	0	0	0	0.0192619587969357	0	0	0	0	0	0	0	0	0	0
"OR2AP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRG3"	0	0.0920578826889299	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0776510666518145	0	0	0	0	0	0	0	0	0	0	0
"OR5F1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0660951162616511	0	0	0	0	0	0	0	0	0	0	0	0
"OR10K2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR8H2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KIR3DX1"	0.0199402400737287	0.0164221507706001	0.0553703916586463	0.0218086670184555	0.0156519215146668	0.0201745286696346	0	0.0782336056441932	0	0.0423557695425675	0.133931845978024	0.0214252166714683	0.00983350713048215	0	0.49616012662314	0.238228012690128	0.015102586840771	0.0116771093003282	0.103742616888024	0.00783911562054154	0	0.0104639864225679	0.0817081630512644	0.0763494821045671	0.0276029302391862	0.0370709458602681	0.282087465642219
"SCGB1A1"	0	0.145389865623369	0	0.132032891813401	0	0	0	0	0	0	0	0	0	0	1.63564992848246	0	0	0.167063706141113	0	0	0	7.96506275674463	0	0	0	0	0
"GSX1"	0	0	0	0.0353751817409902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PCSK5"	2.09631246121101	0.339001662559528	0.283603574083256	0.255480792094825	0.775570618857023	0.0998740516499512	0.946901503469164	0.993837368930114	2.33618768115755	0.59134191893424	0.673991880310742	2.55693454618139	0.435850448023465	0.53561305995213	0.396988033367339	2.1326360626877	0.606220476679948	0.372677458392158	1.12872231792907	0.348772903635991	1.0724179789468	0.708467138065037	0.652561754024491	1.03361681624881	0.267883321369256	0.154959030695406	1.17084803093054
"GYPB"	0	0	0	0	0	0	0	0.184317369142291	0	0	0.0894689983421386	0	0	0	0.135798168769633	0.0957225973129586	0.0773223107925067	0	0	0	0	0	0	0.312647749600026	0	0	0
"PRTN3"	0	0.0945954487307318	0	0.062864425729288	0	0	0	0.0651978377963482	0	0	0	0	0	0	0	0.0974717788458641	0.0953668076418046	0	0	0	0	0.0751519695914116	0.362200541831435	0	0	0	0
"CNTN5"	0	0	0	0.058343721223536	0.0487003127676425	0	0	0	0.142230826546101	0.00969178685730631	0.0806792865556595	0	0.00566582876771721	0	0	0.0154314419783314	0.088563350473337	0.0178596392230704	0	0	0	0.0186114582781808	0	0.0701943447860026	0	0	0
