"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MS4A1"	0.448089603748243	0.113470300631568	0.226242358705815	0	0.0116364264436544	0.0144796424838792	0.0131143080762401	0.637653205427304	0.00670343447760956	0.00920223219023915	0.0555429929617684	0.00948420200832641	1.36384992903373	0.186711190791196	2.29536992053444	0.505223989555735	0.0262476039326461	0.278781086585519	0.311315390458732	0.142945707207474	0.0745435824055721	0.351983308832431	0.0394692861917111	0.0421017131660775	0.0223813596732249	0.0869901942875627	6.42494233833134
"FCER2"	0.0717601622193692	0.00267838626756387	0.0409742210871228	0.00249553683901307	0.00103600015995859	0.00272741323538102	0.0182067501869776	0.0920368394877318	0.00104211277368117	0.0019399430356397	0.00256146482623209	0.0105636201557527	0.090547470295473	0.104548551788706	0.156314200739531	0.0691633879352534	0	0.0445687239355697	0.0306402658671991	0.00563528515429476	0.00379968880589934	0.0154051764964063	0.00872529729227507	0.00885180952410874	0.0121817262090636	0.0268422428837493	4.00222752913416
"FCRL1"	0.017398452492613	0.0039614047507551	0.00943571933171911	0	0.00587634723096855	0.0014304358424628	0.00196555876650329	0.025636633679206	0.00166593918228923	0	0.00289249878435335	0.000633954242477385	0.0842526916499591	0.0107646801800991	0.131392816833937	0.0154977732507685	0.0239487666719596	0.0059323417682267	0.0170793986270172	0.00526236878209	0.0036349009868036	0.012110429806457	0	0	0.00343203562466418	0	1.88485822980345
"CD19"	0.0223235841888216	0.00493756096393646	0.023675274284318	0	0	0.00197718154144135	0	0.114826376477134	0.00216783199024901	0	0.00682415436432352	0.00335541148881653	0.154081608708767	0.0780753905684083	0.707242560969997	0.115953466548974	0.00447739981911451	0.116918612623342	0.0462635831775437	0.00626266667528586	0.0099834909914587	0.0563819208739038	0.011319064852401	0.00591866607745593	0	0.0293137911299378	3.36584656723882
"TCL1A"	0.190526820738752	0.0477237963125686	0.0977491440773157	0.00277043868491588	0.00254630496110026	0	0	0.28349611699737	0.00702311088294903	0	0.401054513796831	0.030016559170874	0.137925208028165	0.322164372404674	0.182107571122837	0.258889584055156	0.0124231538555526	0.22663937504493	0.307373278574147	0.104284294865016	0.0218267523731644	0.148998606694452	0.0497598823413556	0.0174431380484798	0.0490282754579038	0	4.63131897362533
"FCRLA"	2.0963010206932	0.413175361250544	0.0791405034312092	2.78090926016539	2.17845729219043	0.0195077067482175	1.09551426063671	3.98587453168699	0.170297594342005	2.79210750172105	0.863623565797269	0.0522253989283248	4.09847943659189	1.61720863504561	0.367155099459564	0.322296726648009	0.600461103257272	0.113090876644909	0.898995999031492	0.525404870850599	0.0276234194119622	0.143366966470838	1.14801197386063	0.0115722164135396	1.20169968377635	0.810023074514451	2.36138461195774
"VPREB3"	0.0461616425098176	0.012747922110098	0.027537104797314	0	0.00672700108535369	0.0151061173444832	0.101576830381443	0.0238513385592176	0.0343353130123696	0.00342663087607307	0.00241297401133321	0.00420153040582	0.0381928312006796	0.153927345405307	0.354096654354613	0.0222755964766221	0.00356361993387919	0.0777819033579057	0.0392573768414991	0.00955069187248154	0	0.115029192244363	0.0286188358696462	0.0452057176411875	0.0101891269643101	0.21322870677519	3.34692054531989
"CR2"	0.0679351548610061	0.000947553760448826	0.00442243772561851	0	0.00140261131212486	0.00331892610874681	0.00641756771869369	0.0255366765411114	0	0.00240203421612282	0.00356171744397732	0.00338101379903148	0.0159699495119109	0.0135425517877268	0.0892845567246074	0.0391563868864999	0.00140608580047715	0.0152600129104136	0.00824516548226466	0.00198144354221353	0.00170347352460611	0.0130620881568729	0.00226961788065221	0.00205816860700607	0.00319322591909239	0.00899537640923154	3.89590889801632
"BLK"	0.0627946977336104	0.0319716798042139	0.0179540724329415	0	0.606923084053931	0	0	0.051338458299722	0.000839120743747294	0.00723172915223498	0.0212926857771689	0.276104940492119	0.114562013953553	0.117049289667535	0.246654006761397	0.0730851318533421	0.0224588267098299	0.128360906438998	0.0659261637151676	0.00856445656418112	0.0238726289063315	0.0194630533836419	0.0189386420699501	0	0.004675403107038	0.0257566967715329	2.69413659816338
"CD79A"	1.83828522803251	0.459901540004741	1.16089952060568	0.0200055042177781	0.0190335380203666	0.0975032394411226	0.276667395795461	2.31508025131001	0.0353763559113665	0.0840363422789371	0.716098329880635	0.063930753334269	2.25969995966339	2.87369760181124	5.52705938200681	4.58335092778398	0.31233827854667	2.28032493413982	1.43396941396171	0.41650631228078	0.529083134058721	1.29327523034841	1.38654541558182	0.2064086120064	0.198603247976135	2.98578439580148	8.00712847642123
