"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MS4A1"	-0.046209945307313	-0.307134544181182	-0.219198780335115	-0.395614773506343	-0.386541089251263	-0.384324047383392	-0.385388688093966	0.101605217382056	-0.390387666355452	-0.388439190027989	-0.352304262057007	-0.388219319682813	0.667868391818395	-0.250023822510105	1.39423557345275	-0.00165852056919338	-0.375147796665088	-0.178230891245419	-0.152861762481205	-0.284150638094984	-0.337488257323225	-0.121150321479869	-0.36483798456593	-0.362785308746114	-0.378162560676434	-0.327782818388895	4.61433380627509
"FCER2"	-0.139882155089256	-0.230163772285992	-0.180115697352005	-0.230402734615573	-0.232310174456653	-0.230099699903952	-0.209870058238424	-0.113382963516052	-0.232302186001744	-0.231128829253152	-0.230316574622975	-0.219858714872632	-0.115329390883147	-0.0970316522640037	-0.0293801415996086	-0.143275828437035	-0.233664102733227	-0.175418112124861	-0.193620940615355	-0.226299459162839	-0.228698364005256	-0.213531379911119	-0.2222611829441	-0.222095846591238	-0.21774404382841	-0.19858450231266	4.99676850762127
"FCRL1"	-0.184584878212519	-0.221803382676386	-0.206640394080794	-0.232775849488413	-0.216499293815717	-0.228813767652376	-0.227331561492233	-0.161766414725765	-0.228161460518177	-0.232775849488413	-0.224764083735596	-0.231019896152769	0.000590827515983844	-0.202959381985134	0.131161544632789	-0.189849460150902	-0.16644154031514	-0.216344197772677	-0.1854686071349	-0.21819991735143	-0.222707746643051	-0.199231867620515	-0.232775849488413	-0.232775849488413	-0.223269651723051	-0.232775849488413	4.98798437905242
"CD19"	-0.243772113630726	-0.27047497199614	-0.241696078835011	-0.278058476825575	-0.278058476825575	-0.275021761759633	-0.278058476825575	-0.101698855765491	-0.274728945405602	-0.278058476825575	-0.267577389512093	-0.272904964916347	-0.0414075003000075	-0.158143987513927	0.808181757142529	-0.0999677798222407	-0.271181724639715	-0.0984854305470532	-0.207003130062995	-0.268439767644249	-0.262725025208202	-0.191462569987555	-0.260673743026878	-0.268968111539955	-0.278058476825575	-0.233035989361296	4.89148046846046
"TCL1A"	-0.100764398308356	-0.263400388306244	-0.206427351555794	-0.314597019826338	-0.314852281997508	-0.317752226377882	-0.317752226377882	0.00511678731207156	-0.309753722173205	-0.317752226377882	0.13900209067221	-0.283566866251922	-0.160671500367626	0.0491554204217567	-0.110352941701087	-0.0229071838996949	-0.303603703023334	-0.0596364106866818	0.0323100896036908	-0.198984576989822	-0.292894101034162	-0.148060190754476	-0.261081523783988	-0.29788652649804	-0.261914738698431	-0.317752226377882	4.95677994335851
"FCRLA"	0.793706654448791	-0.602917340808134	-0.880092782264597	1.36178087352645	0.861878284707149	-0.929574883784767	-0.0367261747275883	2.36163694619521	-0.804452452150449	1.37107295030847	-0.229144433502641	-0.902426397448162	2.45507424322143	0.396165378795094	-0.641104033242358	-0.678326613449201	-0.447511379412056	-0.85192144187051	-0.199793096156921	-0.509791539294741	-0.922840627800249	-0.826798948314415	0.00683537730110333	-0.936159594886616	0.0513843647745139	-0.273621048699591	1.01366771453478
"VPREB3"	-0.202347202617744	-0.254660892906468	-0.231506430803263	-0.274619485996809	-0.2640874576222	-0.250968819900045	-0.115587244704408	-0.23727699544407	-0.220862918053822	-0.269254632749693	-0.270841649419692	-0.268041422920943	-0.214823452547669	-0.0336254458788993	0.279766631040789	-0.239744032406661	-0.269040157885557	-0.152841415382228	-0.213156762628503	-0.259666588483959	-0.274619485996809	-0.0945257560784792	-0.229812834770954	-0.203843832053753	-0.258667032156085	0.0592188412969104	4.96543647707102
"CR2"	-0.118758752081634	-0.208364365004727	-0.203716204712075	-0.209631855317675	-0.207755659659808	-0.205192311232878	-0.201047429551394	-0.175472854011596	-0.209631855317675	-0.206418786859307	-0.204867542677977	-0.205109259959933	-0.188269736196295	-0.191516732018061	-0.090200836764474	-0.157254519972413	-0.207751012028705	-0.189219379164076	-0.198602752997955	-0.206981387766135	-0.207353212900828	-0.192159421671409	-0.206595912875256	-0.206878756886027	-0.205360453431636	-0.197599237290152	5.0017102283501
"BLK"	-0.209721857954436	-0.268996840857618	-0.295953754654279	-0.330480786982613	0.836677974474444	-0.330480786982613	-0.330480786982613	-0.231753068465165	-0.328867094648746	-0.316573627636923	-0.28953334996345	0.200489790416483	-0.110169413384944	-0.105386195020037	0.143853428676371	-0.189932578789411	-0.287290773198108	-0.083633104771973	-0.203699813229813	-0.314010692536322	-0.284571925185948	-0.293051870735616	-0.294060353153675	-0.330480786982613	-0.321489634984779	-0.280948720905496	4.85054662443989
"CD79A"	0.158317034202422	-0.555593869341872	-0.192523625504614	-0.783430703963421	-0.783934117687942	-0.74329204108132	-0.650496946466779	0.405265085626694	-0.775469627003408	-0.750266996461668	-0.422901003535293	-0.76068035182451	0.376581784749449	0.694591650425548	2.06885624915979	1.5800781526919	-0.632021806085819	0.387264147209149	-0.0510916164132388	-0.578069705716758	-0.519762413449951	-0.12396182854591	-0.075654087535858	-0.686886314864297	-0.690928973331411	0.752645140950709	3.3533667837984
