"Pt38.baseline"	"Pt32.baseline"	"Pt13.baseline"	"Pt2.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt20.baseline"
"MS4A1"	6.42494233833134	0.0421017131660775	0.0555429929617684	0.113470300631568	0.505223989555735	0.0262476039326461	0.0131143080762401	0.637653205427304	0.351983308832431	2.29536992053444
"FCER2"	4.00222752913416	0.00885180952410874	0.00256146482623209	0.00267838626756387	0.0691633879352534	0	0.0182067501869776	0.0920368394877318	0.0154051764964063	0.156314200739531
"FCRL1"	1.88485822980345	0	0.00289249878435335	0.0039614047507551	0.0154977732507685	0.0239487666719596	0.00196555876650329	0.025636633679206	0.012110429806457	0.131392816833937
"CD19"	3.36584656723882	0.00591866607745593	0.00682415436432352	0.00493756096393646	0.115953466548974	0.00447739981911451	0	0.114826376477134	0.0563819208739038	0.707242560969997
"TCL1A"	4.63131897362533	0.0174431380484798	0.401054513796831	0.0477237963125686	0.258889584055156	0.0124231538555526	0	0.28349611699737	0.148998606694452	0.182107571122837
"FCRLA"	2.36138461195774	0.0115722164135396	0.863623565797269	0.413175361250544	0.322296726648009	0.600461103257272	1.09551426063671	3.98587453168699	0.143366966470838	0.367155099459564
"VPREB3"	3.34692054531989	0.0452057176411875	0.00241297401133321	0.012747922110098	0.0222755964766221	0.00356361993387919	0.101576830381443	0.0238513385592176	0.115029192244363	0.354096654354613
"CR2"	3.89590889801632	0.00205816860700607	0.00356171744397732	0.000947553760448826	0.0391563868864999	0.00140608580047715	0.00641756771869369	0.0255366765411114	0.0130620881568729	0.0892845567246074
"BLK"	2.69413659816338	0	0.0212926857771689	0.0319716798042139	0.0730851318533421	0.0224588267098299	0	0.051338458299722	0.0194630533836419	0.246654006761397
"CD79A"	8.00712847642123	0.2064086120064	0.716098329880635	0.459901540004741	4.58335092778398	0.31233827854667	0.276667395795461	2.31508025131001	1.29327523034841	5.52705938200681
"PAX5"	4.08131250256451	0.00365724032986593	0.00629114021226854	0.00639502947432634	0.0449963445716696	0.0103407338935786	0.00198149568388735	0.0314591840505245	0.0219497334789637	0.208165508053575
"CD79B"	5.33464536692674	0.325165849109983	0.601673044027703	0.273115971500503	1.7158926345312	1.14406250629034	1.55139370653916	0.760170137311272	1.21952207772353	2.40047223870018
"CLEC17A"	0.926143678224983	0	0.0130109012122874	0.0062324967371339	0.0181921442444079	0.000564197588765917	0.0035997427134545	0.00409738496250004	0.00228314156055718	0.0200543706234827
