"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"IS01"	0.00185832361558295	2.22044604925031e-16	2.22044604925031e-16	0.00168945104608547	0.00114283996357914	0.0010290512350654	0.00194637958481682	2.22044604925031e-16	0.00324872103019197	0.00313187987210901	0.00245413985181005	0.00213391199662158	0.00104740222494522	0.00144634643653844	0.00145073515767998	0.00040418858685741
"IS02"	0.00800643236648519	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.0095029436354483	2.22044604925031e-16	0.0044259302068014	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IS03"	0.00146095563111232	0.00134677228116537	0.00168867123850816	0.00153473911673963	0.00182732559117745	0.00194274815826623	0.00172106196540502	0.00148119508782511	0.00196427505493519	0.00184302092958465	0.00170072953006808	0.00173050159426605	0.00187534862464507	0.0017552639285868	0.00192161440248563	0.00195625438369203
"IS04"	0.00173972231790115	0.000934627301859421	0.00124708532280818	0.00121112764250776	0.00155284965029965	0.0024770612984285	0.00187466702578012	0.00263815517869561	0.000131453668481955	0.000210502665548957	1.31922171097883e-05	0.00163020889804018	2.80473302747738e-05	0.00048747656635503	3.25434005657569e-05	0.00160629256558662
"IS05"	0.000719162132256925	0.00314128941094541	0.00373229298276618	0.000691815814509905	2.22044604925031e-16	0.00109229595662597	0.00231039899215809	0.000132160814174103	0.000222817068989537	0.00118834186271326	0.000211920808151566	0.00124028122549303	0.000186011835551636	0.000750276624660983	0.000433563735403994	0.000400134601829591
"IS06"	4.08570591846025e-09	0.0018471212316489	0.00183794399179477	0.000321989410177073	0.00260281726361066	0.0012094945683524	0.00165211893361371	0.00251036408575628	0.00139825248410662	0.00100654977000214	0.00140545574742765	0.000633873954527954	0.000684646251393438	0.00154316320346403	8.72381242035076e-06	2.22044604925031e-16
"IS07"	0.00130747580582941	0.00206261702572022	0.00241752003300369	0.000758887615093171	0.000385897287305072	0.000560458655096377	0.00159875915133151	0.00429855257427197	0.000348836111789799	0.000667593072953329	0.00111073837888244	0.000250862819727245	0.000659081165444793	0.000297392766808207	0.00125277951221732	0.000558060812763286
"IS08"	0.000492344209024616	0.0051522552486787	0.00516473634670143	2.22044604925031e-16	0.000139881256023229	0.000348713007455268	2.22044604925031e-16	0.0072540773858353	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000771438440584433	2.52166341385804e-05	2.22044604925031e-16	0.00198401257231637
"IS09"	0.000841368055627779	2.22044604925031e-16	2.22044604925031e-16	0.00318055730771335	0.00329259144664394	0.0020928689569279	0.00197623934026917	7.51444539184565e-15	0.00172282070944048	1.31788688983959e-05	0.00251313928522259	0.000184357644748532	0.000769832735432104	0.00208203215889431	0.0011953753757745	2.22044604925031e-16
"IS10"	0.000951689202734139	0.000121484741079896	2.22044604925031e-16	0.00123867413695332	0.00181150386171015	2.22044604925031e-16	0.00149845235606368	2.22044604925031e-16	0.00125957877286743	0.00104813655709095	0.0018638857981503	0.000797681970751695	0.00151708938282428	0.000244681543109325	0.00136265119053945	0.00132398087250197
"IS11"	0.000864996204887219	0.00060381317381199	0.000972011971160394	0.000838372103256539	0.00289030772279072	0.00111473595955072	0.000493503178092258	0.00261399274675024	0.000661862753716255	0.000970252927657432	0.000669042815821669	0.000936346294596322	0.0010562001829124	0.00120378820552014	0.00142090610781362	0.000932543965087096
"IS12"	0.00256957679344572	0.000593009251854167	0.00031757657528821	0.002589003980104	0.00278850985739833	0.00361598886525222	0.00238196223526778	2.22044604925031e-16	0.00300040855158365	0.00305218565687993	0.0031616904109513	0.00327673597906818	0.00291271278767654	0.00247932780558821	0.00274566455970557	0.00253682355441807
"IS13"	2.22044604925031e-16	0.00722179217232857	0.00581684552644462	0.00023407646880171	0.00185102913258407	0.00252415003995139	0.000213097094679295	0.00968449196718494	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00116457361606702
"IS14"	0.000111321082313439	0.00149277090070424	0.00137798536537483	0.000404685864756712	0.00332207880839172	0.0025257319130857	0.000862909531030994	0.00245096449612591	0.000152555376682514	0.00123603206195112	0.00058726171858636	7.28047179171607e-05	0.00134791808944419	0.00200219138840427	0.00113396686680759	0.000762170540246396
