"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"ANKIB1"	3.84601183582463	3.59058405599226	3.62219242044641	3.09924049199482	4.3885959699078	3.09141295891932	3.43492440837581	3.77618296556691	4.31230576182161	4.6694860410546	4.01719592508296	3.24832685690097	3.45154808603683	2.66561902719041	3.13782809362139	3.77138382205966	3.37074389309635	1.85957801999743	3.36328603949044	3.8094144442359	2.48927959921424	4.16205289776747	2.77234598457294	2.84660764388813	3.15945642663124	2.51987901401343	3.22133113497307
"KRIT1"	3.59380790340358	3.56401226543737	3.64569589516432	3.00462003891084	4.28436976768141	2.70476353698164	3.31729972637592	3.76138102427971	4.33827464627908	4.25818346288458	3.35375307121103	2.94104619740069	3.63250670585338	2.45065833008394	2.93033900414305	3.38783329769676	2.51399471650315	1.85253625080821	2.70553673437319	3.04502614363389	2.54423189080635	3.87531317544164	2.60178445402574	3.09253897625201	3.15750297043718	2.31293812143621	3.0140642248898
"VPS50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LMTK2"	2.50643564745702	2.30492714382915	3.24544242024487	2.06198351610896	3.34263083198106	2.26528535710153	2.82081105629946	2.67090150412958	2.79980225789886	3.2864354103361	2.23596748897634	2.38117537401512	2.49946069188373	2.60789366863759	1.95989439223699	1.92347058891516	1.80614873711878	1.42745867783129	2.62454311291722	2.98469688774098	2.56556793173943	2.67926051164723	2.42425028608405	1.68801470216733	2.45643294486898	2.33673755104745	2.15639661659767
"RBM48"	3.53163098618665	3.63549902442323	3.80224492551483	3.00347001355703	4.04916024697002	2.74992036485909	3.28952022436813	3.45308556202904	3.90264282490119	4.09865115061831	3.59044632882778	2.56089344637815	3.46600710429414	2.3600467644116	2.931821080258	3.73576585520285	2.85844855154095	2.3943796890249	2.92109065958027	3.23933999040758	2.70905237283197	3.49867850576927	2.33565760817773	2.87349234509555	3.21631516762978	2.5867863566021	2.98943333074007
"PEX1"	2.52638687082415	2.81898550054929	3.15807279974726	1.86559620058008	3.57029290644045	2.67320135973449	2.74414709920734	3.39063535936469	2.98909449027272	3.4080562503559	2.77776476374756	2.67694435910691	3.62108481653902	2.48078341667771	2.41558832328132	2.70199698801081	2.48745419191452	1.43217639918714	2.61878367519023	2.9432631049992	2.58967241698182	3.29243281037518	1.17325538302097	1.66941687557108	2.21577798229395	1.53884107295539	2.29985420103149
"TNKS"	3.35131242231839	3.04442909335976	4.14012013277623	3.18138008776626	3.55102991054683	2.53025056834928	3.51367391327774	3.1146568675867	2.79806814644676	3.88368434820497	3.01605855992302	2.54728941109514	2.31966561864483	2.01902043144017	2.37417842437008	3.31018595342935	2.58434200843817	3.82103666410392	3.08906504003598	3.44414623519179	2.04425596376395	2.74181319166799	2.94348442096986	2.94804945322795	2.8211387374907	2.55783157543358	2.37548155831406
"FAM208B"	3.23937665456922	3.09312067540246	2.93712589959458	3.19417926689191	3.27672890744841	2.53413632571253	2.1366458489652	2.46508768529579	3.78404325202668	3.95203996483113	2.37851162325373	3.55477915208902	2.48340047923578	1.44550689275754	2.67731992980184	2.57704929644881	2.53271467435905	1.61867562732393	2.75535015904706	3.14938050646909	2.57585082018973	3.40489767389073	1.22094900446678	1.87208407764759	2.45305658063644	1.86570902471207	2.82814816537399
"RSF1"	3.06991006744266	2.82587413988955	3.02765745574078	3.52493499905525	3.30901898453912	1.97064938076014	1.84553420928199	2.08604830687516	3.1202134044638	2.87511556275106	3.28027933512544	3.40445357197224	1.85397170183177	1.19686194805425	1.9790210983847	3.08903621787345	2.1456790853586	1.7318805204937	3.56277360459622	3.78242953417965	2.11535791270485	2.79563293546658	3.18624064628677	4.96131771866508	3.2909669344823	4.54084562267557	4.44505789839225
"GATAD1"	3.86339337337856	4.03569868162139	3.97558433330703	3.12918161252984	4.70154074007605	3.33497722917932	4.17196737307833	4.15427940233866	4.34860423645188	4.66422966385576	3.80790613234868	3.32643955449182	3.912285792326	3.40522589449935	3.09092624068744	3.8621537954829	3.17721301100535	2.03774943867912	3.42828847588911	3.57767051585989	2.49343854819031	3.93682636033577	4.92010747217164	4.75675111489999	3.58670470485908	4.27729298024543	3.97897352321573
