"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"ANKIB1"	0.678263899082835	0.297783698074669	0.381715085540407	-0.29156834176602	1.69673253784894	-0.346787685533958	-0.062782571312181	0.460173230775793	1.42332190932667	2.15677189964393	0.903336582334583	-0.252636649884474	-0.0036803872468394	-1.27842021637717	-0.455577069926021	0.483175861867426	-0.103075269875567	-2.04284207583721	-0.00462802769008156	0.749228244778953	-1.40432705204165	1.22277101620199	-1.099390136148	-1.00356593562346	-0.357385155820475	-1.25515740410949	-0.491449986283602
"KRIT1"	0.602600742530323	0.593111451205385	0.774153412693772	-0.141693730566869	2.00854264389137	-0.627575584893611	0.0592181460753343	0.791458445385249	1.96094594927369	1.89732732055334	0.134263803137896	-0.421081894946757	0.624885788637654	-1.24236715622064	-0.471206412207854	0.181466232479486	-1.02752084569515	-1.71049993232348	-0.693138562571604	-0.177903684351777	-1.0443063576645	1.11916724290444	-1.02900908427794	-0.376386073517518	-0.06349718973107	-1.218290475434	-0.502664194365153
"VPS50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LMTK2"	0.0229228264686339	-0.334679577820754	1.9582152819788	-0.596897431215234	2.23776775350934	-0.259636554670362	0.618397924397132	0.253521676812303	0.601683190842468	1.99321524655192	-0.559697802958744	-0.199891414413673	-0.0393017076185019	-0.0311259853600992	-0.98092898402336	-1.07903270430979	-1.21293980323849	-1.6728721137343	0.401941653822155	1.32223134272101	0.03784287480068	0.400027693988717	-0.327614284041647	-1.47777992931965	-0.0117814333174842	-0.249192563964537	-0.814395175886549
"RBM48"	0.594798289474429	0.879397631828638	1.32285650647797	-0.175504870123797	1.95469064038257	-0.655309711223515	0.0111499619938118	0.304307493334504	1.37776219937972	2.01411366500385	0.641694067217892	-1.06554173569069	0.401676179239927	-1.48496623637795	-0.549139968821286	0.955192673971733	-0.666323671537525	-1.26360333412571	-0.455618131247395	0.150113480283754	-0.954865973254088	0.528823912864833	-1.47875119032645	-0.787713714606481	0.0289226573239782	-1.0024761931208	-0.625684628321928
"PEX1"	-0.280342559813252	0.243177373731068	0.965946407730766	-0.982295022678811	1.98509433551789	0.131951531295171	-0.00382110842426662	1.2635375135496	0.46108470484472	1.48794861589557	0.0689785273008432	-0.0168419160420823	1.93881557655927	-0.525874683797527	-0.452941160163879	-0.0654812702136468	-0.350116797878209	-1.468772226169	-0.0435378169613507	0.57796107666546	-0.263412315351316	1.17868597581932	-1.71005751399905	-1.36034371898301	-0.668324857454434	-1.37873871131885	-0.732279959661
"TNKS"	0.565429754209875	0.0398012668311064	2.58977893353281	0.50792722388947	1.07446982300826	-0.627417958401701	0.80106136214137	0.019329864916906	-0.438892620940045	1.80760746786795	-0.107299166415102	-0.723932869251818	-1.04730954852407	-1.44287140672436	-0.967098106459921	0.404354177079873	-0.705675730896475	1.6963709591514	0.183769689621289	0.917836596285164	-1.35774986262658	-0.473595188045012	-0.326707999776976	-0.323349790212217	-0.305891450996141	-0.683533172863148	-1.07641224640191
"FAM208B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RSF1"	-0.0625474001409047	-0.278321157755386	-0.0622896713195888	0.659464131755504	0.24849239032068	-0.862305582079644	-1.00253504574935	-0.879545942464396	-0.0430381412884723	-0.240956712711215	0.125569105469193	0.334668692939952	-0.989711321092914	-1.28843569186832	-0.915533564083538	-0.0847614721831301	-0.818142726705488	-1.02790160588338	0.599477148116199	0.937266349215522	-0.860886670892373	-0.324688486942621	-0.0492618168543372	2.75863008966671	0.221781190609964	2.20244578794754	1.7030681239738
"GATAD1"	0.0780388920095515	0.408915345868342	0.341105652209663	-0.833724415655328	1.65061169753497	-0.573091245760533	0.51621559535802	0.461778667008085	0.853525962032934	1.52589087209949	-0.0734763733723303	-0.728070688821477	0.115013984956146	-0.838057755247948	-1.09220591111678	0.00564356708911138	-0.974952448315622	-2.25318496193064	-0.50975955151644	-0.25595452402514	-1.87237228512417	0.203309773389633	1.76962281312578	1.4545371301246	-0.305406941608465	0.85835564775852	0.0676915019300271
"FAM133B"	-0.267663293582168	-0.13946633965553	0.0215191382128404	-1.84250182454707	0.402649650253296	-0.428017164450575	-0.392190793727206	-1.33139113769613	0.257918524592474	0.322757315620868	0.0314670987738127	-1.22664446455505	0.217837999842691	-0.912633620342775	-0.290027525383472	0.0895421060758831	-0.581442893909049	-1.26535514538541	0.356672613143797	0.57487256675323	-0.918419171889371	0.155750602549376	0.38135147678975	2.59970739523479	1.37391066029566	0.513438928732696	2.29635729825265
"VANGL1"	0.806126117170836	-0.0960614206976506	-0.796470918679229	2.23756796903654	2.68817092655277	-0.515007747582097	-0.35393318157406	-0.231509235930043	-0.520947242239731	2.11138388244432	-0.508149928095305	-0.131875638124949	-0.0146056994217713	-0.652676075482535	0.329985669694184	-0.320168604357643	-0.450956878901523	-0.959956615978878	0.0757900429534362	0.407486251667544	0.0490270751098867	-0.397362848363142	-1.0408079315799	-1.19300218312426	0.258891882469431	0.622324587475127	-1.40326225444136
"ETNK1"	-0.246581905812218	0.393633628026051	-0.501649078499183	-0.637518197377458	0.775637143536896	1.36114453484217	-0.282880525922289	0.746495291957779	-0.565282339117049	2.20316243066032	0.621871025103081	0.21064444282563	-0.318029789408459	-1.08051003697777	0.370903798691782	0.263762641641055	-0.532826946378333	-0.978078560743705	1.04050235143959	1.74903702693317	-1.08859191667079	0.555243631628935	-2.01859945173544	-1.20872218172198	0.902674633714598	-1.20097505983232	-0.534466590804051
"KAT6A"	0.408938493350178	0.274565304681027	2.26662267939613	0.658272294007636	0.754259884146648	-0.778617841493034	0.470104556973711	-1.16154390158961	-0.838708610426525	0.500225729570703	0.298722172409294	-0.473389559938737	-1.7307402615045	-2.42859431441585	-0.499205942300738	0.731849480645696	-0.52739022280349	0.547478828935283	1.24827463089042	1.62276560735705	-0.506681529486906	0.528960668527745	-0.874738175625645	-0.188051064748252	-0.278021145434789	-0.407463013984925	0.38210525286148
"C11orf30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2CD5"	0.770357022805486	0.80417080665525	0.507298877419494	0.24384469519196	0.273494530919244	0.402498423406739	-0.526963080543995	0.066176844305999	0.308847785553118	1.55866539448338	0.16900596979897	0.21774513734809	-0.705259591736519	-1.29005487691623	0.390036266700754	0.785062989888312	0.0463637167428999	-0.655692955421329	-0.130746872741268	0.354930719296502	-0.93948313682981	1.60777779738032	-3.60098939077593	-0.514343529495425	0.489172673856691	-0.89902476679276	0.267108549500038
"NAF1"	1.25831396152238	0.434136206960222	0.55607035986071	2.73353349213382	1.2536816414593	-1.62719091389479	-0.856975641548483	0.235239346949863	-0.107353971760139	0.821895324637156	0.390222965645918	0.0731720576684525	-1.13151870287191	-1.143980075051	-0.78674586636693	0.229510879731848	-0.391156209369802	-0.569138217478486	0.931796314997053	1.68438415403644	-0.371828373069397	-0.301716992152985	-1.24425433798701	-0.916746494298629	-0.625538675197525	-0.290508477340071	-0.237303757216015
