"Pt20.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt32.baseline"	"Pt27B.baseline"	"Pt4.baseline"	"Pt6.baseline"
"CXCR6"	1.76023844825179	0.582510822985051	0.322134096365173	0.215196827675602	0.214727574228127	0.188636201131058	0.0194693229895417
"CD2"	4.50835336425677	4.06384704460608	2.07167791293379	1.06928233384301	1.38817136662774	1.49928064672286	0.334674046877718
"IL2RB"	2.59518927167499	2.02467828253906	1.01431587619496	0.415230270970438	0.679180344760569	0.540632713994063	0.172331537838074
"KLRC4"	0.28493244388167	0.0364909277818768	0.0463693980562492	0.154814527727135	0.0144494521082504	0.048525560315688	0.00514584286547776
"UBD"	1.18304804484084	0.120910396107901	0.197790687345913	0	0.0263882334801749	0.143475826915833	0
"TNFSF13B"	2.73822615897054	2.71178877638647	4.82659303290172	0.973838881203029	1.7266036806778	0.956168089582114	1.19204978672228
"GPR25"	0.00953308127557069	0.268382722856769	0.0220553666794911	0	0.011684390975409	0.00289328849379484	0
"CD7"	2.1848876398885	2.30255304061794	0.43540468591904	0.727038646381574	0.340713675870491	0.301041285200741	0.062315173066059
"CTLA4"	0.963557151419238	0.912835424593654	0.283967425948495	0.305500820894653	0.183846625632457	0.168721145856807	2.77059517445582
"FPR3"	1.37211055409082	0.455257265099769	1.11500646225668	0.545731629233129	0.998069092194582	1.04911005926876	1.42401544210054
"CD226"	0.322223625411655	0.320994789768453	0.290459688587434	0.0437675644732202	0.193523812543898	0.135205078470491	0.108572103806347
"NCR1"	0.0577564250023346	0.0514523358221885	0.0126206295998558	0.0139824897155217	0.0143456930588765	0.0263221191167356	0.00759466661488663
"IL12RB1"	1.20921502096181	1.06973405706056	0.361694928061982	0.11913859916432	0.40800613856818	0.194625364731389	0.155916050517548
"GFI1"	0.214465241326563	0.0993983230074976	0.020499268519273	0.1023398065702	0.0170911053520477	0.0245106959142898	0.0119142045040184
"CD86"	2.03164703599302	1.8882958247251	1.27653059502534	0.616955277109261	1.37334377543251	0.958608293023298	1.01322165865631
"IL2RA"	0.274778838559955	0.829078142813865	0.166712027220507	0.245082133650294	0.262169888216434	0.242813402906364	0.162442780831264
