"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.152945962310682	0.0261737869000168	0.277169836005984	0.151867339796532	0.248611965193461	0.034815274418885	0.0517578740044452	0.0571827781406265	0.112729515857826	0.238761963464047	0.0372028312763702	0.0532909071261731	0.0379661367542009	1.49896796999533e-14	9.93550774186807e-05	0.0555417042192722	1.77892722300497e-14	0.0226822146733782	0.169632259011868	0.248263142296573	0.000884260260074586	0.12778477880505	1.3433139549477e-14	0.0550514984430108	0.121031999083032	0.0553822237390211	0.0168328354258892
"IS02"	0.245950216227956	0.0787060302189952	1.54675409389026e-14	0.215627502278052	1.41016641871475e-14	1.53867671671049e-14	1.55519812739907e-14	0.372767536545709	0.244634695556116	2.62950428602684e-06	1.45062565633121e-14	0.237397258873829	1.92609566522464e-14	1.49896796999533e-14	9.08389533289649e-15	0.325541348921128	1.77892722300497e-14	0.197455512678266	2.15903778938918e-14	0.120191120910152	0.241294964982933	1.36753630469901e-14	1.3433139549477e-14	1.12612307325194e-14	1.73862655528873e-14	1.63155173719221e-14	6.74312149111091e-15
"IS03"	0.0194828538237625	0.0169133699841872	0.105942459203464	0.313077737119573	0.209692301744548	0.288153015454231	0.206737747890453	0.0529729522257693	0.214775023729453	0.245934235128059	0.00332031868358453	0.164602555067026	0.0926870370790789	0.133205821194712	9.08389533289649e-15	1.10448487438519e-14	0.0616292793595172	0.0313058993011193	0.0460497270806453	0.165470152731318	0.0918469987007236	1.36753630469901e-14	0.165140938958979	0.158234422146999	0.238116617631651	0.208226502233454	6.74312149111091e-15
"IS04"	0.0715354020267827	0.0462296638409048	0.121145571157396	1.23893813730349e-14	0.0142861191327562	1.53867671671049e-14	0.00731768642981874	0.144667494995852	0.0224517488546371	1.39604913778303e-14	0.247987575874392	1.27178199521154e-14	1.92609566522464e-14	1.49896796999533e-14	0.0114926322881314	0.195522963745612	0.0602603654588761	0.0425527647038784	0.127497065050137	0.085440756886647	1.24787530557124e-14	0.0861870052147385	0.0619900421378105	0.0520045014467029	0.123636546716448	0.0173487751932118	0.010886597519177
"IS05"	1.563910997482e-10	0.028827066468994	0.0037120479715931	0.00488234481244615	0.000604405103916924	0.0140123858589329	1.55519812739907e-14	1.09200723385796e-14	1.00913527408123e-14	1.39604913778303e-14	0.170890877694337	1.27178199521154e-14	0.00761245083393084	1.12202269477743e-07	0.510438417624197	0.127306878944744	0.0740318269834686	0.086589276711213	0.115092264997452	1.59885861627937e-14	1.70333554356124e-09	0.197402227356398	0.00442361638448886	0.00396336136119992	1.73862655528873e-14	0.0048101681296802	0.150109251109922
"IS06"	0.11240572350675	0.00227133461696829	1.54675409389026e-14	1.23893813730349e-14	0.0685637892452462	7.97819489244235e-12	1.55519812739907e-14	0.0113200346683662	1.00913527408123e-14	0.0259149691844231	0.0278583952818459	1.27178199521154e-14	0.037203717004677	0.0475863055438507	0.196027073728653	0.120497797159626	1.77892722300497e-14	0.00773231475843318	2.15903778938918e-14	1.59885861627937e-14	0.0929594000642656	0.0856169307197257	0.00119152551790492	0.0242033121299106	1.73862655528873e-14	1.63155173719221e-14	0.562065658587157
"IS07"	1.61649882852846e-14	0.444322404665891	1.54675409389026e-14	1.23893813730349e-14	1.41016641871475e-14	1.53867671671049e-14	0.0153212139823817	0.0062547529945356	0.00373528268906917	1.39604913778303e-14	1.45062565633121e-14	1.27178199521154e-14	1.92609566522464e-14	0.00356748440422504	0.00509802672815674	1.10448487438519e-14	0.0173535884707442	0.0951990516885576	2.15903778938918e-14	1.59885861627937e-14	0.0551439696372752	1.36753630469901e-14	1.3433139549477e-14	0.0317908480815344	0.130844708056004	1.63155173719221e-14	6.74312149111091e-15
"IS08"	1.61649882852846e-14	0.00479926652010154	0.0350772284041515	0.00310331706925769	1.41016641871475e-14	0.225969923582369	0.0630954226827545	0.00122621389053376	0.0500404305268803	1.39604913778303e-14	1.45062565633121e-14	1.27178199521154e-14	0.101178182895869	0.251580007415502	0.0371871599626249	1.10448487438519e-14	0.024753087373079	0.207641752523899	0.0016662380715931	0.0207187782695868	0.08262183198285	0.109581376463701	0.245840007762208	0.0896836223773112	0.117669333720607	0.230277010984936	0.0406595310142497
"IS09"	0.024855646577109	0.0766799611925191	0.108912048752937	1.23893813730349e-14	0.00149932071804871	1.53867671671049e-14	0.116587117832958	0.0130142966706366	0.00119723254235267	0.0661526452556065	0.0830914082745955	1.27178199521154e-14	0.139666007940803	0.00062929677986392	0.00709492687009461	1.10448487438519e-14	0.0256565262124727	0.0066730547448951	0.0254940567745778	0.0753031264915092	0.0913630313049874	0.0120984752100857	0.110213832781867	0.096356396410602	0.0215529034607707	0.0407792207988955	0.0320835990736042
"IS10"	0.172374088221772	0.00888781999102911	0.0772642445266712	0.00104346666059619	0.120006483485726	0.0183065399425424	0.0954340138908303	0.0259342985972163	0.17200105360754	0.217826054571085	0.274951215580105	0.164714033737023	0.0172803415202757	0.00813601974013602	9.08389533289649e-15	0.105328005257824	0.188780267073551	1.07987121131163e-14	0.0890060666271684	0.0617383561010034	1.24787530557124e-14	1.36753630469901e-14	0.0138596681969389	0.120344630713673	1.73862655528873e-14	1.63155173719221e-14	0.0363618757329463
