"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	0.00203681222897333	0.00124307884840267	9.55403675056591e-05	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000118481880770231	2.22044604925031e-16	2.22044604925031e-16	0.00121815904368384	0.00237150799802511	0.000791057621878733	0.000393089978951645	0.000485340311729589	0.0149149651155274	0.00435963295666581	0.00036002520214532	0.00165029600262501	2.22044604925031e-16	2.22044604925031e-16	0.000384532869101745	0.00536320359533258	2.22044604925031e-16	5.80767930255694e-08	2.22044604925031e-16	0.000111064437395635	0.0273724011036937
"IS02"	6.68619786379936e-05	0.000576465771074848	0.00251277923119451	0.00561579492249273	0.00263521583913816	0.00439379485823356	0.00038871213462845	0.00231965145156191	0.00216476854858628	0.00173610970641026	2.22044604925031e-16	2.22044604925031e-16	0.00233246028300955	0.00813909210571883	2.22044604925031e-16	2.22044604925031e-16	4.88931890460218e-10	0.00295915390227142	2.22044604925031e-16	0.000399752297623472	0.00566034873830586	2.22044604925031e-16	0.00455079836216332	0.00269737533663594	0.00315111830403819	0.00740058726378664	8.49920798016006e-14
"IS03"	0.00239578274256815	0.00236575881932499	3.34573543951093e-14	2.22044604925031e-16	0.00169925627518338	2.22044604925031e-16	0.000559760038859187	1.45177324023906e-05	2.22044604925031e-16	2.22044604925031e-16	0.00634614599491671	0.00218428680807365	0.00149654178603825	0.000811681522381442	0.0047934065590486	0.00601627738498251	0.00630896184508767	0.00136196896790166	0.00323480044019491	0.000741900910656447	2.22044604925031e-16	0.00366044372517058	0.000127996130885305	0.000202178454396325	2.22044604925031e-16	2.22044604925031e-16	0.00251408573201918
"IS04"	9.95843518964728e-05	0.00241944956540364	0.00025642776620858	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00294362210645861	0.00100101726716916	0.000755597328540778	5.64609589565417e-05	0.000388846219052521	2.22044604925031e-16	0.000738207964472387	0.0027673201216998	0.00175816883317346	0.000165348155914178	0.000302056555188785	0.00100154762806931	2.22044604925031e-16	2.22044604925031e-16	0.00169314590141867	0.000242254228443135	2.22044604925031e-16	0.000468114993028565	0.00156786364776943	2.22044604925031e-16	0.00434283600887974
"IS05"	9.83104215179843e-05	0.00149925138847707	0.000732052555288114	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00118767878215433	2.22044604925031e-16	2.22044604925031e-16	0.00408815420888183	0.00110429837759745	0.00108245691372811	0.000344402467957111	0.0103105584837251	0.00348417192815969	0.00387692854728954	0.00493320588691209	0.00456135564990666	0.0012558262185577	2.22044604925031e-16	0.00215346390694078	0.000384368855152199	0.000304150954523998	0.000176346018651127	0.00017664355571172	0.00499353867705579
"IS06"	0.000112993456692554	0.000328062979996824	0.000136472274632814	0.000187326636204795	2.22044604925031e-16	0.00150218537218995	0.000542154234640932	0.00281333910157955	2.22044604925031e-16	2.22044604925031e-16	0.00305421577910686	0.000487641508049058	2.22044604925031e-16	2.22044604925031e-16	0.0117528497568786	0.00135122950557868	0.00106495162050226	0.00141271565306229	0.000527919938709377	2.22044604925031e-16	2.22044604925031e-16	0.00168642078132463	2.22044604925031e-16	0.00465359601626097	0.000411863904862493	0.000513025769551498	0.00114409562574533
"IS07"	0.00075059788466829	0.000852944570679692	0.00214344328925633	0.0119942706811457	0.00773861830315469	0.00720928175227565	0.00437437103244714	0.000459027515872509	0.0119894122076125	0.00968102074842556	0.000114565368836885	0.00324622293184647	0.000266735484978145	0.0017375756297544	0.000508762257423428	2.22044604925031e-16	0.000132435720690126	0.000325699454630879	2.22044604925031e-16	0.00314107137974269	0.00519819138861293	3.06347364953087e-05	0.00448184621605005	0.00486810185059256	0.00233593569399483	0.00140358777533478	0.000183752633621949
"IS08"	0.000314557641311725	0.00201496402638515	0.00111874734091448	2.22044604925031e-16	0.00172073028036116	0.000581181853487775	0.000132498044134515	2.22044604925031e-16	0.000607686357291236	2.22044604925031e-16	0.000756617537393095	0.00721133879649932	1.94249646799141e-05	2.22044604925031e-16	2.22044604925031e-16	6.31231893777254e-05	0.000869747967419258	0.0038625649890411	0.0008138394638434	0.00115904238841044	0.00289296317789549	0.00102194184554031	0.00314652167026245	0.00121305461575735	0.00181602327863661	0.00200345030965903	0.00267879112407
"IS09"	0.000973829963954483	0.000309549967377347	2.22044604925031e-16	0.00293697338045528	0.000255043206678481	2.22044604925031e-16	0.00295524200409619	0.001129488156837	2.22044604925031e-16	0.000936865117298107	0.00102691458456224	0.000532732203168969	0.00172128955681355	0.00231001478266197	0.000839457309118264	2.22044604925031e-16	2.22044604925031e-16	4.8399274031338e-05	0.00026524156448911	0.000477357085484484	0.000604876903337178	2.22044604925031e-16	2.22044604925031e-16	0.00252978685977321	0.000419918170832783	0.000814786194349936	2.22044604925031e-16
"IS10"	0.00266836282359738	0.000880377806982911	0.00100380989864707	0.000669791393766962	0.00114699294875865	0.000895594595233895	0.00155174085723916	0.00146756379390634	2.22044604925031e-16	2.22044604925031e-16	0.00115982699169714	1.77030817649084e-11	0.00172229173094939	2.22044604925031e-16	0.000859616261103132	0.00285425836891649	0.00348075972267675	0.00253810152196953	0.00311629847405275	0.00125859688185291	0.00012313404522923	0.00223973397998832	2.22044604925031e-16	0.00105164167158871	0.00159682420006281	0.000218697293495622	0.00184708405694616
