"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"FCRL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLA2G2D"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BTLA"	0	0	0	0.0966735215148654	0	0	0.0459437032233809	0	0.0193498697730811	0	0.129022515164827	0.117594051654776	0	0	0.129240087121001	0.13542306790789
"PVRIG"	0.0806287792124528	0.0210386118881942	0.022223347354084	0.111840547173519	0.0305090244200742	0.0405191689499677	0.0807378473237793	0.00742462445375856	0.042029619699875	0.011675414721307	0.0364705480987143	0.0111332090917575	0.018068435009771	0.031718650737736	0.0244585303339352	0.0192979241586181
"GZMK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SPIB"	0.0186918672386266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TTC24"	0	0	0	0	0	0	0	0	0	0.0197442975186942	0	0	0	0	0.0104201428710133	0.00548059990214699
"ZNF831"	0	0.0353994113546066	0	0	0	0	0	0.0372767865525989	0	0	0	0	0	0	0	0
"RTP5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR174"	0	0.085451248850228	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCR3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PTPRCAP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EOMES"	0	0	0	0	0.00853041795136621	0	0	0	0.0292851881571471	0	0.0169808726585125	0	0	0	0.0338230321819782	0
"SIRPG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRAT1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL21"	0	0	0	0	0	0	0.04339422446142	0	0	0	0	0	0	0	0	0
"PDCD1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UBASH3A"	0	0.0123247620813859	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LILRA4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRK1"	0.0146112715379104	0.0346107587655562	0.0365501506551709	0.050003533495166	0.0889383516511058	0.0335679401151069	0.0467459200998113	0.0719955544255569	0	0.0287757807655178	0.074362820301263	0	0	0.0262634613934955	0	0.0317594399277222
"SLAMF6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P2RY10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TIGIT"	0	0	0	0	0	0	0	0	0	0.0122615445537749	0	0	0	0	0	0
"CD8A"	0	0	0	0	0	0	0	0	0.00338778495176323	0	0	0	0	0	0	0
"SH2D1A"	0	0	0.0410904363751998	0	0	0	0	0	0	0	0	0	0	0	0	0
"XCR1"	0	0	0	0	0	0	0	0	0	0	0.785691435626159	0.728704539457683	0	0	0	0.816840244648972
"DCANP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLAMF1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"STAT4"	0.248825936984114	0.261107696077775	0.376216711006613	0.283797419822036	0.348756748842363	0.360043452138264	0.375646770615417	0.44105564452994	0.364706248195096	0.338284629426864	0.301041415637724	0.389295820059773	0.248693415288372	0.176783988847662	0.40942257967905	0.497339788351308
"GCSAM"	0.514268103995714	0.205683084304119	0.313700536616914	0.347133610612032	0.628733376418846	0.506829537277354	0.339783255471887	0.0570912405763788	0.377095723665895	0.477177089790897	0.474524094707057	0.359331714594468	0.630186489197605	0.409792067871146	0.475236831489911	0.159703653197799
"THEMIS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD3G"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KCNJ10"	0.00721372288762578	0	0.00908574356634098	0.0207300403761144	0.00750963699120351	0.0166279383752865	0.0155141080726584	0.00453702003297175	0	0	0.00749642892449659	0	0.00738076835315055	0.0322657732413207	0	0.00788498966886039
"IL9R"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0449590512301009	0.196710726231127	0
