"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"FCRL3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLA2G2D"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BTLA"	-0.736061951060925	-0.736061951060925	-0.736061951060925	0.955031398552634	-0.736061951060925	-0.736061951060925	0.0676233782847255	-0.736061951060925	-0.397577994167783	-0.736061951060925	1.52090680239555	1.32099064815494	-0.736061951060925	-0.736061951060925	1.52471275135016	1.63287057497809
"PVRIG"	1.4860038041122	-0.537196818882226	-0.496972774542344	2.54570326828673	-0.215658125589888	0.124205505585053	1.48970687595598	-0.999417837811563	0.175488209350358	-0.855095344626993	-0.0132529476519061	-0.873504267050828	-0.638040028100455	-0.174588989029709	-0.421084019729258	-0.596296510275161
"GZMK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SPIB"	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"TTC24"	-0.407174669224975	-0.407174669224975	-0.407174669224975	-0.407174669224975	-0.407174669224975	-0.407174669224975	-0.407174669224975	-0.407174669224975	-0.407174669224975	3.20146327666775	-0.407174669224975	-0.407174669224975	-0.407174669224975	-0.407174669224975	1.49730042948944	0.594506993767487
"ZNF831"	-0.365823061463777	2.48516175252829	-0.365823061463777	-0.365823061463777	-0.365823061463777	-0.365823061463777	-0.365823061463777	2.6363611079646	-0.365823061463777	-0.365823061463777	-0.365823061463777	-0.365823061463777	-0.365823061463777	-0.365823061463777	-0.365823061463777	-0.365823061463777
"RTP5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GPR174"	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"NCR3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PTPRCAP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EOMES"	-0.495808268728699	-0.495808268728699	-0.495808268728699	-0.495808268728699	0.267807185377415	-0.495808268728699	-0.495808268728699	-0.495808268728699	2.12570715767797	-0.495808268728699	1.02426458821396	-0.495808268728699	-0.495808268728699	-0.495808268728699	2.53192029347504	-0.495808268728699
"SIRPG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRAT1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IL21"	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"PDCD1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UBASH3A"	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"LILRA4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRK1"	-0.683948534186255	0.0350218489208387	0.104741902940202	0.588383493569937	1.98806843584614	-0.00246689847006381	0.471274113503663	1.37898434916415	-1.2092155760718	-0.17474234754866	1.46408623373747	-1.2092155760718	-1.2092155760718	-0.265058824207787	-1.2092155760718	-0.0674814689824422
"SLAMF6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P2RY10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TIGIT"	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"CD8A"	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
"SH2D1A"	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
