"Pt20.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"
"FCRL3"	1.10235656945843	0.525678516822254	2.99345754123158	0.348530461247136	0.169780117296511	0.187619067079692	0.235577103206806	0.176483482436427	0.108001255397686
"PLA2G2D"	3.90667504088789	2.07713905731733	5.02085736544292	1.4577554601391	1.0775025825935	1.1583993941153	0.291456340027968	1.56268954980651	0.844140322837076
"BTLA"	3.93143170060229	2.53952336144693	5.23618144532613	2.05171896251713	2.11839861619762	2.28200637091278	1.20005134986003	1.54698728766734	1.4753440058015
"PVRIG"	1.50559573104412	1.19232252701724	1.91727940242384	0.393311052726266	0.631306841166152	0.713659265990006	1.14111347090464	1.16470985755078	0.757785986851522
"GZMK"	3.17045498130431	1.57337768278855	2.72258610518422	1.3564541755738	1.55449716525185	1.19850234887743	0.719211117364411	1.94041912285517	1.06058069994599
"SPIB"	1.96919228997266	0.292750789642983	5.14244012890473	0.444462158376803	0.849131501610003	0.828143738739062	0.114831845468174	0.475440308140109	0.394599916765719
"TTC24"	2.160262207892	0.902973447826797	2.63432050142226	0.0816713573673223	0.871974475744974	0.681297316368994	0.565538211258339	0.538961475171664	0.339303306989492
"ZNF831"	0.496762298921636	0.142773814070208	0.591691783359589	0.125881546703753	0.0930634098336025	0.189610584221544	0.0905333410367239	0.141437654032911	0.0932842815639257
"RTP5"	0.0952991896649453	0.0191117875980289	0.0741432036124083	0.000785835096687684	0.00448408702163531	0.00699264245530827	0.0149425251265381	0.021104411599966	0.00491392735693003
"GPR174"	0.34136736619937	0.260013423120527	0.449622433837449	0.0720263433767633	0.133352570829679	0.150090587123453	0.0340682106907609	0.0171649273925782	0.0747844169630174
"NCR3"	0.0235768373640461	0.00188291718451022	0.0381539619907075	0	0.00108506955849891	0.00106277107479221	0	0.0061666596116746	0
"PTPRCAP"	4.59548616604015	1.90503151451321	5.69927155173628	1.3370996398767	1.39829241789579	1.85049910830054	1.87103805104137	3.79766807507739	1.56857561768239
"EOMES"	1.21252319253039	0.349529598002696	0.708852072575377	0.519340217869812	0.350461364465642	0.269922331404064	0.113908866970277	0.308457580774027	0.221983255972919
"SIRPG"	1.54637167134967	0.441738548024721	0.99174274530343	0.233193182649727	0.465627997719113	0.362368031492613	0.263337540673238	0.959839928416384	0.308269325765443
"TRAT1"	0.476118266030467	0.220870671629817	0.189926809221835	0.0974107090625446	0.121552881187484	0.155531167128765	0.0676730587334346	0.0620435121973802	0.0844935238001263
"PDCD1"	2.22429915877472	0.833037182012841	1.65677272587581	0.134662878683833	0.747549857218979	0.44449975661621	0.936018397465	1.3997785002202	0.563937028699319
