"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"IS01"	1.57523449353342e-05	0.00360757786621076	0.00211543778028921	9.05771840637127e-05	0.000197597326557159	9.99862724545381e-05	2.22044604925031e-16	0.000334491094472197	0.00048084399701441	0.000463912330110025	0.00140228778479986	0.00105393721750777	0.000870081176177294	0.000438384645815999	7.81091363083681e-06	0.000163679061018682
"IS02"	0.00207873680586323	0.00257226660928465	0.00102978195077962	2.22044604925031e-16	0.00195919502705494	0.000965279024701237	0.000308894420796746	0.00139041592412711	2.22044604925031e-16	0.000474379127889348	0.00184095539808042	0.00130090826336128	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"IS03"	0.00205364179159908	2.22044604925031e-16	2.22044604925031e-16	0.00197268275922936	0.00238401240838414	0.0010810982941496	0.00121288264336042	2.22044604925031e-16	0.004624118117563	0.00232473940236221	0.00195049819315937	0.00372845145925476	0.00168665932644521	0.000299863973374819	0.00178125834013898	0.00230541493124759
"IS04"	0.000594708771935477	0.00158459124788046	0.000657940042939355	0.00205785427205267	0.00109984167145445	0.00166380828085294	0.000736457625415215	2.22044604925031e-16	0.000718971081255547	0.00179848875933595	0.00132705595470769	0.000805782293198391	2.22044604925031e-16	0.000972886386479854	0.000836435013792945	0.00170898406562723
"IS05"	2.22044604925031e-16	0.00302744459624837	2.22044604925031e-16	0.00401704709099699	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.27021743132852e-14	0.00398630284058078	0.000545193903688774	0.003229831381641	5.58969743709419e-14	2.22044604925031e-16	2.22044604925031e-16	4.09346252258481e-06	5.11405542683863e-09
"IS06"	0.00167673595200419	0.000785283722071692	0.00128173990245078	0.00156679498457413	0.00114536526308172	0.00144252431765972	0.000171165247947465	0.00179380996894291	2.22044604925031e-16	0.000431946384556369	2.22044604925031e-16	0.00161718244555459	0.000466080995159064	0.00193274697452523	2.22044604925031e-16	0.00111169612083176
"IS07"	0.00015823123556845	0.00343636434457172	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000958476130845518	0.00128426644798241	0.00330089951527478	0.000552693838078203	0.00124380710828185	0.000378841925544084	0.000743686640271306	0.000450663077924152	0.00187413815370619	0.000764212147536889	0.000157639613449698
"IS08"	0.00182010278486212	0.000867135301449637	0.00109518403748644	0.00173933776081879	0.00156426982491742	0.00143200113010364	0.000870049823149867	0.00122779246222384	0.00156837538090811	0.00173629850286402	0.00152974503712847	0.00157439938822875	0.00172117094766652	0.00158503402587678	0.00150503572569609	0.00169397203015872
"IS09"	1.48457975238973e-05	0.00174400386930187	0.00390970286179486	9.61700473268285e-05	0.00137005480128598	0.000605658389302759	0.000161223886278419	0.00151602454040604	2.22044604925031e-16	2.22044604925031e-16	0.00163946650923118	5.95748159001187e-05	0.000134394746238489	2.22044604925031e-16	0.00131617030145389	2.22044604925031e-16
"IS10"	0.000501984071927786	0.000773572309864193	0.000934393109080233	0.000668872248889024	0.00209068354463519	0.00240464445994915	0.00127468748778357	0.0021528232088503	0.000531516477669375	4.39295109721006e-05	0.000172941216485385	0.00057575024617343	0.00184694559756045	0.00179957119543508	8.37585985072541e-05	0.000660192165331126
