"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MCEMP1"	0.024473739148578	0.0440296568041559	0.0738809489549807	0.0101530521611593	0.0278513076277352	0.00903926543825326	0.0605120823680861	0.00661104678353455	0.29343171188866	0.0460015480952374	0.200977255088463	0.12541639446864	0.0181304016157461	0.00329297644962698	0.0359218938858056	0.071620285866529	0.445578494302416	0	0.0143718937549543	0.011479938252944	0.0335583367223537	0.00896202266048869	0.0835395682894251	0.0265078605872904	0.0053510858917646	0	0
"MRC1"	0.403508316461806	1.24407021402736	0.166638925692279	0.0791736658178103	0.391398345756632	0.19130540101249	0.764675833714411	0.823681083911833	0.766658257583951	0.948684668000693	0.208377470071168	1.47321604619792	0.155598288720384	0.0231952283275981	1.70783356820533	0.444149147304996	0.22397680258681	0.19534986051227	0.76952065426995	0.262047951778856	0.215126683045063	2.00824464005294	0.0794679338200473	0.521319963361336	0.411550903069983	0.286667936866296	0.5104189887937
"ITGAM"	0.285625014730683	0.219392941536213	0.260203988277574	0.0408951703249611	0.434694833165178	0.161294702307744	0.22308772298503	0.129677386799403	0.190569482536205	0.180539695330702	0.589421237134427	0.316126088999986	0.164617419029887	0.188762710892218	0.317807196111085	0.589308276960419	0.540313568121963	0.202115152818542	0.373795258679726	0.359719812766548	0.13231069728771	0.246886836792464	0.108749846666669	0.117564779561707	0.122794440989126	0.0758157060615124	0.213915008548105
"FCN1"	2.11261250125939	2.34468794562071	3.06539691057148	0.331472957282103	1.7879415188564	0.404605815115247	1.97927786856552	2.47185965277928	0.605235398947038	1.39699529312936	3.2267807246134	1.23821502688731	0.727044429060751	1.76689607820255	3.0142103061757	3.21512466043311	2.52528085336001	3.18537358560837	0.63826149824442	0.362588908472152	0.737907803131572	1.71105821001775	1.66715618034156	1.84319424676552	1.08447318365359	1.41081964017047	1.03317142960724
"OLR1"	0.113571568142034	1.11944244415849	0.0150351654668443	0.103498774715096	0.543897192724116	0.186285317659252	0.171445169083775	0.132657186776862	0.176823162433715	0.139766692458468	0.64676431874139	0.154555844579536	0.0923963602453707	0.175672501020703	0.179973848152433	0.586172236326067	1.43461194085476	0.013852465922815	0.371981412374573	0.572913941878441	0.0444125096234601	0.038757784014588	0.0766698924619947	0.0405133164198905	0.0455897964264603	0.0114723966894418	0.00875125157884945
"CD300C"	0.227095675619981	0.204649606733302	0.140492119981372	0.0436757327554243	0.2206604138516	0.142309725967958	0.302293561288774	0.115554440112232	0.209272134727074	0.1022948316622	0.498834026346848	0.242462395060561	0.264001704842365	0.339998323427021	0.436377951302301	0.402325036428103	0.486847567185453	0.166458484641096	0.334459767123058	0.285442558506783	0.136544502011107	0.271573097773681	0.216245929010992	0.110386745726981	0.111094711375853	0.0981026597069396	0.205431511761997
"CLEC12A"	0.721398304510808	0.836846954935592	0.210968128210464	0.00396002022462597	0.572644217865079	0.124795952443068	0.0930243528299606	0.292116786575253	0.0561931913456554	0.0765453325498288	0.642386230051506	0.265745036466069	0.434551861489604	0.13601515694072	1.07237628007442	1.12424066974924	0.486072366640639	0.290445510653048	0.575041391037761	0.296107103577999	0.086267458515973	0.808470972487794	0.0304861490933087	0.164975821153894	0.251517922939049	0.136859399894692	0.193962832922402
"CD33"	0.301858278481669	0.34660476829173	0.322475131042567	0.09067034978354	0.350950793620158	0.166236344765654	0.490880562916137	0.528881523294216	0.140948233919545	0.202789491532304	0.575251917066567	0.392470231760899	0.479058729052394	0.190387073922491	0.870751499788823	0.903125480568025	0.593353532056394	0.650723163076736	0.499613190864114	0.336171935885248	0.174174493238252	0.465366867382458	0.163315317077892	0.144277477696827	0.221833002988155	0.100215970548806	0.25918720661541
"ADGRE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DPEP2"	0.139074671659056	0.212015497570192	0.12506082897364	0.0242655970557798	0.0956664839391823	0.0755161414992697	0.0633804150108536	0.156595473570183	0.0346827139668522	0.040690024570953	0.200341755367505	0.0698005600592819	0.249340698287566	0.221138985381144	0.30500071495048	0.293241844472614	0.452813856810085	0.172983158763637	0.0883793818556676	0.0644344246263941	0.0975065106078296	0.151277186581775	0.0456606437991853	0.0912829338097923	0.0483825660591344	0.119183070346259	0.38479960535684
"FCER1G"	2.0718212389353	1.68054071505501	1.65163697170975	2.4279429554847	1.68901014398452	1.34956018759606	1.86281544958651	1.18284294659397	1.15630680593701	2.79583960756708	2.64946064494921	1.8625932622425	1.76241684929016	2.9692051453565	3.19369649301474	2.49334401575108	2.77733493030805	2.73186002850893	2.58599937709989	2.06682032578256	0.562640897322777	2.29357060928906	2.01591521575222	1.87178994223569	1.38196673709107	1.23268062502478	2.67087535649106
"BCL2A1"	5.25586922995056	5.29233537242792	4.84467191606319	3.9617400839339	4.09347956471812	6.27776932850537	2.82357419828985	4.85089175943911	3.91600728959086	6.18276118283287	5.1044717608637	4.72167191859082	4.12280250806169	7.70039733232231	5.84893773587516	5.84422777303535	5.82697404051167	2.12751427802622	4.48653879013337	3.92220431105531	2.13549968805293	2.26036079229397	1.99128570393057	4.24691272455978	6.25557181260694	2.11473044743804	6.12797783002497
"MMP19"	0.935980560326847	0.25979259594957	0.433709988244449	0.657494721152475	0.268993789980712	1.49783714125903	1.13673248100958	0.762203742271966	0.944419759313516	0.688279165713153	0.754468612558377	0.578028182251154	0.609129931656028	0.715021515887706	0.56727278361643	1.21897742897918	1.02567871093418	0.674217676400069	0.616179091160818	0.534585132141459	0.718946549745045	0.469562304327193	0.783811451407551	0.966742695498795	0.376299855003381	0.264432167902019	0.659924573855598
