"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MCEMP1"	-0.372801308446218	-0.179799655073329	0.1148093140324	-0.514135318677083	-0.339467342107309	-0.525127524863037	-0.0171309712784389	-0.549092148940799	2.28160409154022	-0.160338626132977	1.36915071868401	0.6234239628882	-0.435405102003799	-0.581838914995474	-0.259816950909644	0.0924983326980225	3.78317415735836	-0.614338023985878	-0.472498642901426	-0.501039987940768	-0.283143416505465	-0.525889850829132	0.210132353005998	-0.352726116489129	-0.561526980155555	-0.614338023985878	-0.614338023985878
"MRC1"	-0.3124155368406	1.30596156874358	-0.76847237232805	-0.936873741132386	-0.335731487034523	-0.720980737209562	0.382958882217823	0.496564728860814	0.386775744977507	0.737240566287288	-0.688111003535534	1.74714783914069	-0.789729479220629	-1.04465190940639	2.19886903574187	-0.234167652444426	-0.658076805365444	-0.713193731067763	0.392286864714361	-0.584776461376343	-0.675116396250456	2.77726594184748	-0.936307171794535	-0.0855867064289795	-0.296930730695985	-0.537374336296995	-0.106574914102813
"ITGAM"	0.230591913522692	-0.21478323122075	0.0596491543727973	-1.41508494087991	1.23300643506729	-0.605462708061874	-0.1899378090077	-0.818072185491033	-0.408605523125193	-0.476050458984	2.27345845838082	0.435695267718391	-0.583119221444435	-0.420755092716598	0.446999810771675	2.2726988618376	1.94323574090343	-0.330967087165965	0.823489482130704	0.728839662812748	-0.800364585784156	-0.0299015419014427	-0.958798660840422	-0.899522968193689	-0.864356301911676	-1.18026308029102	-0.251619390498296
"FCN1"	0.437768907865392	0.683720850925262	1.44752320320832	-1.44987040230632	0.0936848571079544	-1.37236470783233	0.296461790783344	0.818496542355993	-1.15973886921971	-0.320637235925672	1.61855664774727	-0.488911458600407	-1.03064650565166	0.0713810453642722	1.39327599560553	1.60620363193613	0.875111959465634	1.57467364960043	-1.1247380387086	-1.41689393348425	-1.01913357730951	0.0122044607231546	-0.034322605218035	0.152241314151505	-0.651845995586876	-0.30598628900773	-0.706215237989076
"OLR1"	-0.437326161294315	2.43775943135209	-0.718973237909751	-0.466117275491979	0.792675653930987	-0.229488099164328	-0.271905767653807	-0.382773645189019	-0.256533823235856	-0.362452510694127	1.08670125803285	-0.320180605617077	-0.497851360498903	-0.259822764321084	-0.247528202998875	0.913510615640803	3.3386099289643	-0.722353753739909	0.30128794700284	0.875614368460056	-0.6350038329406	-0.651166762513452	-0.542802399469498	-0.646148915743797	-0.63163878837432	-0.72915671714757	-0.736934579385662
"CD300C"	-0.0557995968418047	-0.240287534774593	-0.767608487658155	-1.56335832374716	-0.108692073457656	-0.752669284622988	0.562264213528757	-0.972575386722425	-0.202294215681036	-1.08155829295392	2.17766267381031	0.0705020017453175	0.247537137216133	0.872165865005007	1.66432590403937	1.38443938682967	2.07914399132005	-0.554186658835106	0.826643558323982	0.423763045638551	-0.800054610084197	0.309767663025771	-0.144975451602437	-1.01504951819796	-1.00923063190001	-1.11601444487033	-0.233860928533145
"CLEC12A"	1.09679461853752	1.45690915777542	-0.495370617480339	-1.14108305458152	0.632791711833279	-0.764164174247129	-0.863268104119219	-0.242246725522426	-0.978154130926077	-0.914670478884423	0.850335290659276	-0.324507112322297	0.20204553069165	-0.729168540747541	2.19158673163449	2.35336532949495	0.362751462770575	-0.247459872288974	0.640269122001154	-0.229799883020849	-0.884344624923992	1.36839704605291	-1.05834112004904	-0.638832653660273	-0.368885200880432	-0.72653512614065	-0.548414581656036
"CD33"	-0.304257015689129	-0.101325638659053	-0.2107568037626	-1.26202280614013	-0.0816158265989544	-0.919320809101692	0.552984583204566	0.725324072865607	-1.03400580848987	-0.753547349783973	0.935620073771902	0.106680435100687	0.499370969373105	-0.809793989347094	2.27575060665131	2.4225709835648	1.01771334347745	1.27789237142095	0.592588230822437	-0.148639943212513	-0.883320233247552	0.437276526779292	-0.932568064328561	-1.01890723814256	-0.667182452344469	-1.21873212625161	-0.497776091932341
"ADGRE3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DPEP2"	-0.0897338411886587	0.570910236331522	-0.216660868100834	-1.12958956306699	-0.482893114816242	-0.665400019922444	-0.775316458773087	0.0689566297705305	-1.03523901923685	-0.980829240860356	0.465178109605968	-0.717167531199495	0.908974310711849	0.653544044124921	1.41310159339201	1.3065984376834	2.75188375728151	0.217384167189838	-0.548894298290968	-0.765770018882147	-0.466227513543754	0.0207875179246506	-0.935809046562854	-0.522596071223981	-0.911155886990786	-0.269897260447187	2.13586094909044
