"Pt20.baseline"	"Pt38.baseline"	"Pt13.baseline"	"Pt23.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt9.baseline"	"Pt14.baseline"	"Pt10.baseline"	"Pt32.baseline"
"SLAMF1"	1.20734824284496	1.88572404032508	0.261732356744117	0.255912651216323	0.124800389032001	0.333036859136028	0.760276767131534	0.291630563955956	0.0961901102760774	0.00564028941086343	0.0698238221774117
"HLA.DOB"	0	0	0	0	0	0	0	0	0	0	0
"LTB"	0.744931847328429	2.56951256090519	0.172002635388112	0.13135975873835	0.406113423016729	0.252905858103555	0.231294992695744	0.265418967410869	0.0474774928663625	0	0.155738099545711
"WDFY4"	0.49054831273454	2.66893414631144	0.481414413833644	0.391333785783222	0.244412727707224	0.333067643455298	0.609298887376715	0.130602283242712	0.173060914586029	0.0772304360509466	0.0719548993558622
"ITK"	1.80677949192813	1.58858201303487	0.755062732388143	0.710029446030596	0.429583868379313	0.775481515422489	0.930755989237943	0.432027770645745	0.296017871665191	0.037863756259694	0.143443143685697
"CLECL1"	0	0	0	0	0	0	0	0	0	0	0
"ADORA2A"	2.48299166300289	2.656826865177	0.915851858607158	0.969309313027909	0.732308632288815	0.707427361799198	1.33124472449447	0.719879350303232	0.588669110197811	0.325786982087667	1.01935780488209
"SP140"	1.12435461538138	2.91087325849606	0.656878074298101	0.533019388348392	0.177235606658335	0.372596212788152	0.716879201108216	0.403960139402623	0.433156105890639	0.250573482127201	0.176018734140311
"SIT1"	4.24422701535603	4.80811467419435	1.89449281601282	1.55726857024189	2.01718522847506	1.32220786859077	2.04835117042821	1.52921851624548	0.633270335263502	0.0549374421243829	1.02472578899295
"ICOS"	0.274759499506165	0.226472778783302	0.110594973151594	0.082762510017213	0.0139246743458684	0.0695415987919703	0.0825637168870794	0.0417808951779459	0.0279700516682845	0.00316464615072641	0.00874921124364993
"FUT7"	0.404203360494472	2.1330398326139	0.351948603953893	0.225833742016835	0.206906194679363	0.175581112657977	0.220570395521017	0.290471391838306	0.0365163414472864	0.032474096564302	0.13197734480692
"TIGIT"	6.30665206438106	6.01461310283955	4.26942924600293	3.83937028372977	2.16230472102482	3.4721599281739	4.23518470769904	2.96633661030677	1.94831775512528	0.162840008295114	1.80973933368651
"CTLA4"	0.963557151419238	0.912835424593654	0.575738161295022	0.449376106950667	1.07679650137939	0.384708552080565	0.288962135839463	0.201836831755894	0.182042854564972	3.06594841068715	0.305500820894653
"FDCSP"	2.81833736219723	8.35727280078981	7.44541804387646	2.46450738350008	0.413455735926135	2.1881996563782	1.85210956519332	1.18767200622814	0.0359713020122739	0.473916126930025	0.0971985320525108
"CD69"	2.09514431959675	4.24710648562573	1.27765465273374	0.717127522694353	0.270593594638844	0.879639105968736	1.44493611521689	0.818277745902846	0.631111174141653	0.171927518413801	0.214608700142423
"CD52"	6.04964265869701	7.50014003293696	3.64982682956541	4.55816984720271	3.89208421684162	3.89252407541676	4.77307847088891	3.70636680564932	2.13982865451182	2.13013204983374	2.07080186294384
"PLCG2"	0.931812461318244	2.63643686583417	0.510613915788539	0.354517648172779	0.355083851941221	0.621236051017254	1.07488505558631	0.365330940967392	0.232310350062563	0.750316033290005	0.172073753181124
"MAP4K1"	0.401362966949566	0.780191543055039	0.114100707032614	0.0567123063099067	0.109042091629713	0.046528011036778	0.106259163247937	0.0572824391021119	0.0302890346500826	0.0102353640565974	0.0246702458894487
"IKZF3"	0.859995393380411	1.68892300964667	0.20431686418987	0.142167060598846	0.0594794705698692	0.111925010620595	0.334764105870815	0.0843924134824347	0.0598124850569964	0.00134899450986466	0.0510865103052412
"CSF2RB"	1.78582455386779	3.21924028883753	1.28847435909367	1.30591524888965	0.434355743455526	1.05862367818807	1.80617130725404	0.8348930953702	1.16002291335122	0.341777575358022	0.406771756243681
"KCNN3"	0.259534168951975	0.19038498043297	0.192938622296177	0.236887026064629	0.115567059758082	0.22078927764673	0.664524355532526	0.0459885498930596	0.0609665822189317	0.340018498306254	0.128717696874598
"CST7"	3.37774988300562	2.19641389100765	1.53668183350953	1.3028655379932	1.37238893189603	0.841233552213006	1.28423682036763	1.02734150586111	0.518594995209253	0.457293111396416	2.54251172299825
"PTPN7"	1.16118946213256	1.31918338273046	0.393419286415712	0.229851617004021	0.209889761278898	0.183630108358228	0.375928330699672	0.244742487958996	0.132366478494703	0.0472492442894603	0.0817628523821326
"IL7R"	0.312044443156939	1.01532950853084	0.493120057388125	0.133142111088893	0.107512397338031	0.344573952412608	0.508414353028262	0.170731096006552	0.263597936368133	0.0580563382779708	0.314184909405916
"HEMGN"	0	0.0187308917701515	0.000562276890837714	0.00666366578161436	0.00507711755317269	0.00097819301356733	0.00246455704724505	0	0.000726930966588819	0	0.00391848960315009
"HLA.DQA1"	0	0	0	0	0	0	0	0	0	0	0
"CLEC4C"	0.0267474724355151	0.527627229137811	0.156537458070191	0.0114323229517463	0.00842821266512241	0.0501025652080284	0.0992659774098624	0.0382497007276329	0.0141348470378448	0.00290251777107678	0
"IL12B"	0.00981718866751185	0.0102076495880486	0.0030841676173289	0.00111353181670284	0	0.00907645285883523	0.0057589809784451	0.00349931245126134	0.00144392298023254	0.0016942404344062	0
"EBI3"	1.49942803608791	1.51025010251723	0.285844635212384	0.325815657348425	0.259940641918996	0.215513746755008	1.03350740499996	0.575844050142611	0.419631764560865	0.489301654111418	0.143344858085406
"GIMAP5"	1.93244593082988	1.36924595376743	0.960434748803992	0.940123235802003	0.27093681287041	0.799810280808664	1.24190563965932	0.811386945342454	0.804524552559016	0.166196564275592	0.352975293280914
