"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"IS01"	0.00088506981576991	0.121853655382078	0.0957963529882487	0.00386737133450545	0.00763659367374786	0.00461530757344854	1.46055163586247e-14	0.0116617969289617	0.0272545533824302	0.027755169289836	0.0806531606902183	0.0658541018364992	0.0624762884635532	0.0266552415614729	0.000503049593585015	0.0102243852785433
"IS02"	0.116797036209674	0.0868838041984723	0.0466330686617149	9.48063189361922e-15	0.0757175039254293	0.0445567124749077	0.0203182712660729	0.0484758740125821	1.25856339598403e-14	0.0283813818852604	0.105883309513458	0.081285814593321	1.59439408286258e-14	1.35010489947285e-14	1.4300433156027e-14	1.38702505723462e-14
"IS03"	0.115387034096167	7.50003125958967e-15	1.00551590553642e-14	0.0842275771098201	0.0921355283151381	0.0499028618843613	0.0797802643963069	7.74142909811452e-15	0.262098050228974	0.139085623466857	0.112183708582554	0.232968167374161	0.12111078541166	0.0182327248962175	0.114719138685551	0.144010176605861
"IS04"	0.0334146303534151	0.0535229572309951	0.029794427038126	0.0878641426601208	0.0425058582355047	0.0768004124053974	0.0484422663593536	7.74142909811452e-15	0.0407517528266359	0.107600847706284	0.0763261709330412	0.050348415743221	1.59439408286258e-14	0.0591547215236492	0.0538692800401301	0.106753493165933
"IS05"	1.24759188794091e-14	0.102258413872315	1.00551590553642e-14	0.171515740190736	8.58141380151636e-15	1.02494484652365e-14	1.46055163586247e-14	7.91495352380535e-13	0.225946261660175	0.0326181222410701	0.185765084920125	3.4926606456509e-12	1.59439408286258e-14	1.35010489947285e-14	0.000263633008334925	3.19454869146979e-07
"IS06"	0.0942099977004884	0.0265246366385399	0.0580428359927995	0.0668973988651126	0.0442652199530152	0.0665860747154639	0.0112588046431878	0.0625399238803893	1.25856339598403e-14	0.0258426953744715	1.27709870937587e-14	0.101047857204991	0.0334670045717713	0.117517431266968	1.4300433156027e-14	0.0694432713708486
"IS07"	0.00889046621874535	0.116070552636615	1.00551590553642e-14	9.48063189361922e-15	8.58141380151636e-15	0.0442426948926647	0.0844757053258414	0.115083541733103	0.0313270495370066	0.0744150879673249	0.0217892497020214	0.0464684375210515	0.0323599190824522	0.113953820425497	0.0492178800586709	0.00984712481266243
"IS08"	0.102265284508007	0.0292893487295572	0.0495947636086008	0.0742644526515849	0.0604547301177355	0.0661003305624704	0.0572296135234824	0.042806121304836	0.088896546089913	0.103880099227478	0.0879839171616224	0.0983746051675741	0.123588896721044	0.0963753298527537	0.0969294561334477	0.105815750528054
"IS09"	0.000834134050096868	0.0589074593414488	0.177048589619338	0.00410616965093763	0.0529488531574941	0.0279568352979919	0.0106048877397202	0.0528551301416105	1.25856339598403e-14	1.32845910737646e-14	0.0942945929134834	0.00372246650749687	0.00965023168398136	1.35010489947285e-14	0.0847658758664462	1.38702505723462e-14
"IS10"	0.0282047499521143	0.0261290586523969	0.0423134411899365	0.0285588185207882	0.0807991737993046	0.110996975034753	0.0838456262481264	0.0750566681758239	0.0301267028479658	0.00262823584266706	0.00994678544186866	0.0359751176009828	0.132620161301092	0.109419901858342	0.00539434065331108	0.041239600314244
"IS11"	0.0575000362261168	0.0182034764942258	1.00551590553642e-14	0.0139346673094941	0.073931536753116	0.0994817553333513	0.149437607191523	6.59326268733766e-09	0.0674479031196396	0.0984012949364008	0.0496247844197961	0.0484877936006522	0.183298175420467	0.140452180650551	0.061327572864722	0.0551521342259092
"IS12"	0.0226752032664561	0.033539676363409	0.102802431847686	0.0592127635519497	0.028180476221829	9.21030089297463e-08	0.0343811024895178	0.0944350052230103	0.0932476260876753	0.037389813973202	0.0160258107040608	1.38742116532861e-14	1.59439408286258e-14	0.0404603772865769	0.0344130998044362	0.0518364794377949
"IS13"	1.24759188794091e-14	7.50003125958967e-15	0.000705439304433473	0.0976805275174389	0.0550531633881636	0.024898052278974	1.46055163586247e-14	7.74142909811452e-15	1.25856339598403e-14	1.32845910737646e-14	1.27709870937587e-14	0.0908140272862691	1.59439408286258e-14	1.35010489947285e-14	0.0596168925968412	0.093044207015115
"IS14"	1.24759188794091e-14	0.019899946192409	1.00551590553642e-14	0.11762603072126	0.00788823217831761	0.0139147687291183	0.0165701439541682	0.000340805250971324	1.25856339598403e-14	0.0443795687376992	1.27709870937587e-14	0.0468994237952673	0.117742342271006	0.15851356935146	1.4300433156027e-14	0.0176589209500839
