"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"ADH1B"	1.63258111054577	7.65576489478542	0.109879656293339	0.00844562435493402	0.00504373541724238	0.139585511352635	1.34847015516603	2.23973287729033	0.00218792343808894	0.0238404539325675	0.00940909565390541	2.21293816290535	0.0288272453260076	0.14002498349169	0.239717184141364	3.48229062792579	0.0140608150980285	0.580027356402941	2.83992672098093	0.278428125460713	1.73579851846548	2.04874425347924	0	0	0	0.11103493506663	0.177871513402644
"CHRDL1"	1.11977049489895	0.00575556003158343	0.0603370665055585	0.0073480708988821	0.00989308427679452	0.0632129936084426	0.229047660316337	2.78471913145744	0.0158495604973099	0.0294401743635936	0.0301081568740978	0.610168138722233	0.0154105328407332	0.016527152207366	0.0863375205306385	1.0872321739806	0.0136050831118735	0.0960981405977136	0.419978364779552	0.025219983741886	0.00958667000012206	0.0347064957461557	0.00642949728710592	0.00183800512499073	0	0.00218921645358654	0.173654289861763
"LMOD1"	0.472157135558508	0.0387987026578751	0.0962549686338924	0.0596587276435285	0.0450882022623015	0.0374136981217581	0.073137140393303	0.194824761421261	0.153999593828237	0.145378731204046	0.198013303956314	0.14948498672818	0.0515909106313267	0.104449745094331	0.0488597593276726	1.05655299931474	0.289258843834355	0.116145697218354	0.114196447967273	0.0270402882348543	0.130243731147411	0.155332527049973	0.360977667475838	0.125099399976938	0.0781133606519839	0.0865479059352561	0.11434789125545
"HSPB6"	0.393655723840354	0.184678268553849	0.336481708553185	0.0265334427343416	0.0313126560303524	0.041536892026544	0.397535731278093	0.660658925902809	0.249074010826677	0.133427664213432	0.788159149483485	0.745832458283138	0.117960695668478	1.33368693184146	0.047856288917945	1.04274583252017	0.184613778379881	2.13541580229098	1.10748482174394	0.738636980446467	0.0657928147052022	0.0953065089429915	0.471436632622253	3.17165535759392	0.107914422911417	0.0869790902465345	0.174994500151112
"FHL1"	1.89727570308506	0.627350169690037	0.567372155475555	1.93236112983755	0.210295845237606	1.62667968653061	1.38830310704177	1.27308702001573	2.0985871855362	0.555862317318134	0.665957532030545	2.21286817303988	0.528211741781132	1.67481959577837	0.39625479926723	2.12708060186346	1.13042302269015	1.29949125570559	0.648546010396571	0.174786826535982	0.455622622832877	1.27584956826762	0.9209129462827	0.931083161639379	0.156393598368887	0.134346200768435	0.657838913837888
"SCARA5"	0.322166791655735	0.0125469053430456	0.00766770244025773	0.000273676902419227	0.167459189108153	0.006886323417573	0.0213900945525402	0.133269768549435	0.061161932431478	0.00564811585801053	0.00766744122110086	0.0184552907802326	0.00812447078721337	0.00448376390035899	0.0244028438341261	0.152667254437477	0.00685031604797265	0.041974783349539	0.0554348997210416	0.00365645667277173	0.0268899581794421	0.00760459251098796	0.00415693989943495	0.048130404999988	0.00240105231950593	0	0.0223725301431917
"CD300LG"	0.053441139906283	0.00837344667728292	0.0684308666017716	0	0.00270335327315027	0.00394459374886591	0.260109445682493	0.300204157435348	0.00784235130448369	0.00489741812318718	0.00364526218984354	0.0770607623952699	0.00977555807330521	0.0216174795283894	0.0838492550377369	0.525953059136156	0.0221510174634329	0.53713680916964	0.146125321435988	0.0179497715290704	0.0646057594755132	0.0114557671462169	0.00600857215015766	0.0135923306152264	0.00896538822258263	0.00613943100391865	0.0415679176235577
"AOC3"	6.04794414164193	3.41570617608575	2.89593282615217	3.03828365541191	3.30022423059419	3.55342699415333	4.73946370209303	5.02990135344676	3.71669062012596	3.92337249847475	3.82102552176044	5.34887263255995	3.14482149379685	4.56238945308236	3.24127768171352	6.99854670059796	4.83643966320837	4.79698430537596	4.85934006649927	2.97484756328587	4.28393278302375	4.74938443185492	5.36887944841225	3.74672064707509	3.92933062176052	2.78514923834962	4.21478727594211
"SORBS1"	0.888897326261261	2.03807035623379	1.10602848042326	0.625860178110548	0.751247208853786	0.864403205465623	0.217806853349816	0.50725075777992	0.716652683838398	0.75552255970394	1.16100275911674	0.239925229872019	1.08239618864667	0.708902651311423	0.191233365690038	0.61790003018384	0.749742278169703	0.250626791689506	1.97713532588489	2.16127507467924	0.249911916126742	1.04552633097851	0.338386973642958	0.103633099960844	0.468036796980371	0.536764690469234	0.103442007284409
"PGM5"	0.385797881615813	0.279431501843324	0.166099774144895	1.35546949519751	0.255900429654219	0.943773193752098	0.107604305601787	0.20503101970417	0.095266672961771	0.114769517649122	0.127228131800046	1.03948586809677	0.616453092870533	0.163509940864259	0.38667264986384	0.695922695260748	0.125970805199159	0.129732142709093	0.178578302151212	0.126547440266489	0.175860538742277	0.291578728617439	0.0904240076322328	0.335642683585336	0.0254146672177265	0.0372597636510702	0.446222781730076
"LYVE1"	1.44710190064733	0.982041033648447	0.469001000606066	0.0862692916153404	0.319150733739163	0.0377798318511093	0.920372805808388	0.464462888831069	0.920921394829587	0.862818022986983	1.09933017562649	0.643519982591746	0.143716066113934	0.0358073954860937	0.0379662185382227	1.10936876799068	0.402010190913933	0.590532932968865	1.10246781887765	0.044947046619933	0.245041514376	1.24734070370757	0.0960084509791747	0.142298491321901	0.0472685380990257	0.0295804308101611	0.337534543196431
"MAMDC2"	0.0918166049417759	0.00159668764995026	0.0228395170174433	0.00408739483550392	0.069461966871088	0.00422992351212896	0.00367105309724394	0.038269962422677	0.0251874438532997	0.172854098321065	0.00280608292574262	0.0173083481057674	0.00922446472972969	0.00756283235674285	0.0305195441711155	1.77743305959241	0.0540692631523704	0.00708544883181681	0.0138713510756949	0.00685490306423224	0.0155329884511801	2.12665874187365	0	0.00486114809290302	0.0343585778201391	0.0383633988341422	0.106978451740205
"MYOC"	0.0117901216121108	0	0.484317591928911	0.00251966706199464	0	0	0.00854336128607646	0.0269328816738392	0	0.00736846269739499	0.00126181564105608	0	0	0.0033627551587233	0	0.145515180393652	0.0018752187784763	0	0.00295843976688576	0	0	0.00171681785282272	0	0.00729545493647859	0.384257368313861	0.0078351553278201	0.035540633814078
"CCL14"	2.28879487005657	3.40652261287161	0.238256475964707	0.538478705082434	0.325193737349725	0.724985655991453	1.58152624603558	3.45315703465569	0.193761400847682	0.952863343522275	0.463762914121381	1.81671418931974	0.281941777049928	0.891408793096622	1.37831891913521	2.95559037520835	0.679175865404891	2.19145515387867	2.21667665007891	1.13071461982457	2.65899627179203	0.83867791320631	2.16792347777743	0.376917729146088	0.932915868577585	1.30815135467109	2.29147658209903
"MYH11"	0.310150268216795	0.0480689826074781	0.0508793558142737	0.0491952898782899	0.0259808972335236	0.0235365244511136	0.0201411422483198	0.183354812835314	0.0759152548676354	0.0568152093213581	0.0643278264514589	0.12651266002427	0.0100667008196528	0.146318406795769	0.00646492639802558	1.12161419790469	0.0676543461707405	0.0505972611367149	0.0469655573023524	0.0125646191511104	0.300055578047843	0.0888879526187274	0.149391206315812	0.114543803229563	0.0209032022874933	0.0570475967673457	0.167598425550593
"DPT"	3.32648502678891	0.867984278345974	0.39800917571586	0.0439329676540103	0.459626477698331	0.57773642268877	1.38865994159972	1.41041310815435	0.570707308013056	1.25053572977189	1.23505422248015	1.97353870699051	0.786885811407157	0.34026634704869	1.41412464821203	4.30966302908714	1.282797346979	0.746217256362209	1.64289848815429	1.15676776528011	0.592174471021995	0.299408147595823	0.727420926631548	0.0453003836938932	0.519757462150935	0.183995954155354	0.185238240561011
"CLEC3B"	4.24450165562643	1.20321004042507	0.247145360006811	0.614651771412077	0.996929453097818	1.1530455664815	1.52481647483063	3.34897866699349	0.543865782710781	0.960792568448143	0.772863023692941	0.983010511248993	1.13821935237039	1.09396198261358	1.774361870399	2.39682092985091	1.76513666243995	2.9639424783118	1.59418987774649	0.570060699122222	1.37204084871821	1.51588853163548	1.5419609949815	2.31134822663614	1.2487934136867	0.682987784241953	2.00506058580546
"TMEM132C"	0.00349006153169609	0.000555861040693248	0	0.000540753975303977	0	0.000962121681981525	0.00883940368988491	0.0196973672375711	0	0	0	0.0375747424890231	0	0	0.000620292721093644	0.0486525059337697	0	0.0111834367373337	0.0355479564765366	0.00349959558477478	0.000649701417541004	0.00181924155558272	0	0	0	0	0.0560586633013094
"ATP1A2"	0.0390501656755144	0.032122511396999	1.37952890592412	0.0224339174312363	0.0229801161512802	0.0263565667219767	0.0188299341986089	0.113693817136002	0.00339446446583278	0.0116586687182723	0.0273147343663054	0.108329410477685	0.118909993236311	0.476612450876277	0.0242551442357651	0.57610864951887	0.0165200392056671	0.0178849750480338	0.141074852617423	0.0135800268086053	0.0347880399285625	0.0344327881776797	0.00472977937011977	0.853199391269276	0.00343613939573543	0.0187856466844572	0.00360961770703056
"MMRN1"	0.228988959433493	0.12115233601409	0.00779140058640209	0.0112614208097622	0.0121829944840995	0.0201582390143331	0.0432616365233486	0.0413829888261965	0.183317601444441	0.0630302216668863	0.0264380862522393	0.136556588398671	0.0191267934888501	0.00128812882168266	0.031878331970444	0.247531543177415	0.0472719527628227	0.029339387780266	0.020313193555192	0.0187640207464445	0.0792979785865639	0.255322036114616	0.0118663284169219	0.0322745577854167	0.00287034357692036	0.00721637896555368	0.0720405173749865
"FIGF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYOCD"	0.0119749891732605	0.00428563759107262	0.00148301425787287	0.000803640508452347	0.00205460498146662	0.00337831632705795	0.00111696467057916	0.00766200694131343	0.00311808944456298	0.00163556276985109	0.00271294926665512	0.00758577258467762	0.000894291316411143	0.00166087277802782	0	0.0846829079980492	0.00772383980253219	0.0019844886573545	0.0032178075990084	0.000529860627721493	0.018234242951081	0.00488195401501388	0.0048376161820814	0.00104568159153562	0.000846343824512825	0.00124842514469954	0.00191212151485695
"SYNM"	1.13729008981127	0.708603198451365	0.335593188902437	0.0393165147814384	0.625603726479288	0.493408116428748	0.316946837615933	2.41711393870144	0.876368235751195	0.754466152807981	2.86326113252721	0.459097434133869	0.534405267730336	0.730229831485158	1.59267240756289	0.421067222346834	0.503330289814016	0.157463687370415	1.99989879943455	2.22035691750652	0.163302749016422	0.19863603061155	0.327821462058446	1.05907781163941	1.12138942653634	1.01959677583207	2.12752600345042
"PLIN4"	0.0932365019408041	0.162724012983599	0.00737341273865816	0.000179313103514784	0.00439460510517175	0.00990933001634952	0.502579349350021	0.688461003529427	0.00620868063845279	0.00427762448496406	0.00129981309090763	0.369860269835755	0.00942520167016589	0.0200270890854153	0.00688233449719741	0.824437807371263	0.0123056436767266	0.100693753002765	0.762747582475626	0.0276726802496601	0.286746664877874	0.0332019288145142	0.00488843635301239	0.0052479478447089	0.00446582756211619	0.00517298461799981	0.00562015691013108
