"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"ADH1B"	0.373925295634565	3.94781609174124	-0.529578384065622	-0.589764851246852	-0.591783381645278	-0.511952243839801	0.205346423583278	0.734182294048935	-0.593477894134572	-0.580630240432037	-0.589193170001343	0.718283495912413	-0.577671299031352	-0.511691480514428	-0.452538538962526	1.4714610933854	-0.586433045472033	-0.250613537827821	1.09031076873677	-0.429569178928743	0.435169939227785	0.620858093883305	-0.594776111110523	-0.594776111110523	-0.594776111110523	-0.52889289275028	-0.489235023969427
"CHRDL1"	1.4606052710416	-0.426590587948057	-0.334126842830163	-0.423892796545	-0.419581419239774	-0.329254881468204	-0.0483228342462975	4.2811098028931	-0.40949085680143	-0.386467691306228	-0.385336096218725	0.597313921700246	-0.410234591153225	-0.408342983259272	-0.290080800329105	1.40548376182872	-0.413293111416532	-0.273545831905231	0.275123130021551	-0.393616900904915	-0.420100500031219	-0.377546284963985	-0.425448905230857	-0.433227117823634	-0.4363407885224	-0.432632148632278	-0.142161916708687
"LMOD1"	1.48809879307352	-0.628762128753721	-0.348100867947862	-0.526865480695196	-0.598039302290319	-0.635527572221466	-0.461026389836203	0.133390956331542	-0.0660310355892568	-0.10814205920415	0.148966287460692	-0.0880839013510898	-0.566274997762328	-0.308071181814603	-0.579616073018682	4.34274444651738	0.594680742273538	-0.25093902027067	-0.260460675448565	-0.686199404932099	-0.18207321581577	-0.0595199490745403	0.945011469911383	-0.207202145581422	-0.436718645012828	-0.395517740754354	-0.259720908192929
"HSPB6"	-0.217587768440438	-0.506961555878849	-0.296757367496121	-0.725946743292668	-0.719328904777281	-0.705171272846	-0.212215071916747	0.152135021671385	-0.417791937984668	-0.577928931121127	0.328686231686846	0.270075914484982	-0.599346242677093	1.084085613488	-0.696420722169209	0.681215707178385	-0.507050856257534	2.19424995835777	0.770860623568685	0.260112243182869	-0.671583782732707	-0.6307157882824	-0.109883537217211	3.62914428416148	-0.613257446607509	-0.642246872745436	-0.520370795337404
"FHL1"	1.32316680509202	-0.594460539153128	-0.685029219825081	1.37614689877138	-1.22422563606208	0.914558341884426	0.554602238132917	0.380622336817452	1.62715345100723	-0.702409436064612	-0.536162212387924	1.79972132274575	-0.74416267146269	0.987251113149666	-0.94342178908288	1.67017940240615	0.16519523096229	0.420493559996499	-0.562454155586327	-1.27784536685646	-0.853774515408926	0.384793871232901	-0.151171548702134	-0.13581420486427	-1.30561971767832	-1.33891197883559	-0.54842158022826
"SCARA5"	3.85386646156728	-0.427640233157681	-0.495111157399642	-0.597357722432133	1.71452830754648	-0.505916275754874	-0.305354244831553	1.24174784517305	0.244621379047517	-0.523038541442847	-0.495114769608089	-0.345937497246255	-0.488794842389261	-0.539139512091311	-0.263693141043113	1.50998147408994	-0.506414195303387	-0.0207036561927687	0.165426437202345	-0.550579737962112	-0.22930065790247	-0.495983858400504	-0.54365892188962	0.0644179282779867	-0.567939805518193	-0.60114219992114	-0.291768862417639
"CD300LG"	-0.215243572991818	-0.518162384956269	-0.114491351678939	-0.574443821564123	-0.556273453765135	-0.547930557483414	1.17386053176745	1.44335385569947	-0.521732099042825	-0.541526226424942	-0.549942490061853	-0.0564862133227254	-0.508738207948434	-0.429143701961112	-0.0108579155565933	2.96070662452245	-0.425557570392315	3.03587728516036	0.407725568433186	-0.453795901134939	-0.140201496203872	-0.497444820163261	-0.534057695562954	-0.48308408365007	-0.514183698300542	-0.533178138486117	-0.295048464930655
"AOC3"	1.79276104683912	-0.756972969878239	-1.26045472519468	-1.12256569068454	-0.868835289542918	-0.623568825104104	0.525293161874481	0.806627436769968	-0.465422477288215	-0.265218763657173	-0.364357812425329	1.11560099134708	-1.01936713715246	0.353769066372807	-0.925934238352197	2.71356825069565	0.619229542283537	0.58101085942756	0.641412163319864	-1.18401346406136	0.0840402450729257	0.53490293974242	1.13498072054039	-0.436333701031254	-0.259447389709871	-1.36776595085526	0.0170620106517875
"SORBS1"	0.232775319319146	2.27149858147451	0.617983049907197	-0.23387325209632	-0.0114268061029443	0.189320824173794	-0.957791916815962	-0.444295684603803	-0.0728002120675548	-0.00384199771921946	0.71551174042588	-0.918552178707939	0.576057507167875	-0.0865493788014649	-1.00493537218393	-0.247995180061133	-0.0140966714004661	-0.899566767068731	2.16339504909747	2.49007343395607	-0.900835012495086	0.510647482271786	-0.743873307708859	-1.16034512759507	-0.513864332664748	-0.391935648680552	-1.16068414101995
"PGM5"	0.169618050926197	-0.151938783129878	-0.494552601845532	3.10103806168812	-0.223075707139683	1.85643652905588	-0.671390600013572	-0.376859322308554	-0.708688570480897	-0.649729404942258	-0.612065694551189	2.14578608299523	0.866913189185532	-0.502381942208866	0.172262568009224	1.1071582158843	-0.615866726061526	-0.604495804308829	-0.456828689760021	-0.614123497166712	-0.465044776453579	-0.115216429765966	-0.723328460783548	0.0179935740507793	-0.919858583670827	-0.884049602333474	0.352288925129649
