"Pt22.baseline"	"Pt9.baseline"	"Pt1.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt29.baseline"	"Pt38.baseline"	"Pt4.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt2.baseline"
"ADH1B"	3.48229062792579	2.23973287729033	1.63258111054577	0.00218792343808894	0.0238404539325675	0.00940909565390541	2.21293816290535	0	0.00504373541724238	0.239717184141364	0.0140608150980285	2.04874425347924	0.177871513402644	0.109879656293339	0.0288272453260076	0.14002498349169	7.65576489478542
"CHRDL1"	1.0872321739806	2.78471913145744	1.11977049489895	0.0158495604973099	0.0294401743635936	0.0301081568740978	0.610168138722233	0.00183800512499073	0.00989308427679452	0.0863375205306385	0.0136050831118735	0.0347064957461557	0.173654289861763	0.0603370665055585	0.0154105328407332	0.016527152207366	0.00575556003158343
"LMOD1"	1.05655299931474	0.194824761421261	0.472157135558508	0.153999593828237	0.145378731204046	0.198013303956314	0.14948498672818	0.125099399976938	0.0450882022623015	0.0488597593276726	0.289258843834355	0.155332527049973	0.11434789125545	0.0962549686338924	0.0515909106313267	0.104449745094331	0.0387987026578751
"HSPB6"	1.04274583252017	0.660658925902809	0.393655723840354	0.249074010826677	0.133427664213432	0.788159149483485	0.745832458283138	3.17165535759392	0.0313126560303524	0.047856288917945	0.184613778379881	0.0953065089429915	0.174994500151112	0.336481708553185	0.117960695668478	1.33368693184146	0.184678268553849
"FHL1"	2.12708060186346	1.27308702001573	1.89727570308506	2.0985871855362	0.555862317318134	0.665957532030545	2.21286817303988	0.931083161639379	0.210295845237606	0.39625479926723	1.13042302269015	1.27584956826762	0.657838913837888	0.567372155475555	0.528211741781132	1.67481959577837	0.627350169690037
"SCARA5"	0.152667254437477	0.133269768549435	0.322166791655735	0.061161932431478	0.00564811585801053	0.00766744122110086	0.0184552907802326	0.048130404999988	0.167459189108153	0.0244028438341261	0.00685031604797265	0.00760459251098796	0.0223725301431917	0.00766770244025773	0.00812447078721337	0.00448376390035899	0.0125469053430456
"CD300LG"	0.525953059136156	0.300204157435348	0.053441139906283	0.00784235130448369	0.00489741812318718	0.00364526218984354	0.0770607623952699	0.0135923306152264	0.00270335327315027	0.0838492550377369	0.0221510174634329	0.0114557671462169	0.0415679176235577	0.0684308666017716	0.00977555807330521	0.0216174795283894	0.00837344667728292
"AOC3"	6.99854670059796	5.02990135344676	6.04794414164193	3.71669062012596	3.92337249847475	3.82102552176044	5.34887263255995	3.74672064707509	3.30022423059419	3.24127768171352	4.83643966320837	4.74938443185492	4.21478727594211	2.89593282615217	3.14482149379685	4.56238945308236	3.41570617608575
"SORBS1"	0.61790003018384	0.50725075777992	0.888897326261261	0.716652683838398	0.75552255970394	1.16100275911674	0.239925229872019	0.103633099960844	0.751247208853786	0.191233365690038	0.749742278169703	1.04552633097851	0.103442007284409	1.10602848042326	1.08239618864667	0.708902651311423	2.03807035623379
"PGM5"	0.695922695260748	0.20503101970417	0.385797881615813	0.095266672961771	0.114769517649122	0.127228131800046	1.03948586809677	0.335642683585336	0.255900429654219	0.38667264986384	0.125970805199159	0.291578728617439	0.446222781730076	0.166099774144895	0.616453092870533	0.163509940864259	0.279431501843324
