"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"SLC44A4"	0.00217124648225714	0.00174507219959128	0.00192718781348949	0	0.000769070911278872	0.00153927237574513	0.00527064594312781	0.00957622400723063	0.00070232346205569	0.00122159562394394	0.00172407820000244	0	0.00438023982445586	0	0	0.00264431325948338	0.00817314890824333	0.00178092218298538	0.000969429530568779	0.00111048872446778	0.00621880580114869	0.12442894344842	0	0.00520597774321924	0	0.00508389117637999	0
"AGR2"	0	0.0383781864047236	0	0	0.00710281890472891	0.00984879108835464	0	0.202707902128328	0	0	0	1.81792175175673	0	0	0.11853020228794	0	0	0	0	0	0.766864841245102	3.48242884162196	0	0	0	0	0.0253972663937707
"C9orf152"	0.0280624444800217	0.1213810298462	0.0411372840208368	0	0.189086537121222	0.0479739261259399	0	1.89460864745758	0.15797164264714	0.0866255166482936	0.0971205669916625	0.176515450670835	0	0	0.0594357900683119	0.32652116861447	0.0737582498775971	0	0.209653530462759	0.140041432837202	0.0661681521189962	2.10356205478213	0.154060295018678	0.291124191425108	0.119176062351477	0	0.239637326559951
"BCAS1"	0.0216098320644841	0.0030130618531148	0.00180586867409105	0.0020217379402454	0.179026332568162	0.000981152646516401	0.00137546873794796	0.0226849548483058	0.00247029370820564	0.0021880873713977	0.0132156007341644	0.00464604076844822	0.0276296609821447	0.00527934292367572	0.0302045727832341	0.00933737156988711	0.00725660047340608	0.00116213474931054	0.000582297668811246	0	0.00374020186219656	0.0145101176922282	0.0589003138888409	0.00523128638437484	0	0	0.181048694279667
"ERN2"	0.000920673203542706	0.00207107764661391	0	0	0.108204797313726	0	0.00801916779091589	0.0284950484625413	0.00178259632383001	0.0212746504264039	0	0	0.0391004087992689	0	0.00876237068504238	0.00426641157095534	0.00195151609517385	0	0.00142967838050924	0	0.00643294967538114	0.156244005532098	0.00728141664534674	0	0	0	0.00554679439605681
"BCL2L15"	0.00816588826937014	0.00496549950162641	0.000576733380569285	0.000533934939233166	0.000482884105593589	0.00480789056275163	0.0106859939530978	0.00610166324038154	0.00532816690561119	0.0020634690051247	0.0093727047172865	0.0030974443979626	0.0106178146168016	0	0.0102399238779769	0.00953274496036887	0.010851016459516	0.00199246197316138	0.00750377103646857	0.00907861459342535	0.0956335699780725	0.0153047100392324	0.00377176457411593	0.00951982920115514	0.00143821995173066	0.00199913353434578	0.0199657254215602
"FAM83E"	0.00362321896559599	0	0.00137190258866938	0	0	0.00330946441394033	0	0.0739149317273876	0.00120544291609725	0.00400641154747238	0	0.00140763358942522	0.00595729074556442	0.00384967622764382	0.00375251954510748	0.00485551836715708	0	0	0.00197055608329647	0	0.168705407421355	0.229648132963976	0.0102408584696353	0	0.00737682807136392	0	0
"TSPAN1"	0.0471319836650131	0.0226405556305826	0.00233593903803594	0.0237436206492919	0.0683789908057491	0.00101752915162345	0.0163897906129797	0.071374574574271	0.0265504874603698	0.575889594251834	0.0026831556097754	0.049504260902003	0.0297865403168877	0.0053897835108758	0.014165600678035	0.0124969692710309	0.00398488498050905	0.0212219292962677	0.00348230624764929	0.00238431903295263	0.0484670178236051	0.262974570156802	0.00886162327146574	0.0143518805022391	0.0128818421974838	0.0673908796505476	0.0236909086334697
"TMC5"	0.00203745072818009	0.00145847827119115	0.000484299520274892	0.0012805398311249	0.00324006752081131	0.00163619836625482	0.00366186941173351	0.00499955621640496	0.000222485930189123	0.00254943590656883	0.000376540790398479	0.0343112231291062	0.000470237028719343	0.00255813000628129	0.00398611443460127	0.00163590869696184	0.000409954901066739	0.000632781939649753	0.00146295925236787	0.00166587908454371	0.415212975075906	0.161234288970994	0	0.00482009665410667	0	0	0.0073462394999685
"TFF1"	0	0	0	0	0	0	0	0	0	0	0	0.209597430875152	0	0	0	0	0	0	0	0	0	1.1186444546235	0	0	0	0	0
"PLS1"	0.158056337845189	0.385770956805645	0.068019588986796	0.377064819483827	0.150382666918756	0.225677229986306	0.0373885861663378	0.0173635628244427	0.215543532264838	0.0039455885860793	0.0371909220063329	0.564918906705606	0.0193644327349713	0.134055611187076	0.0407316830685917	0.0218538383928897	0.0313674988033287	0.00598496946788779	0.284463870098418	0.389722214890084	0.186184595949355	0.197745261312045	0.0221679040985589	0.00477758530092929	0.0700503968910313	0.114217769980131	0.024541689373154
"CAPN8"	0.00125642381683989	0	0	0.0102742192998534	0.00125667059288329	0.00280247943023581	0	0	0.012074544053054	0.00195431616258545	0	0.00120506291397238	0.00490111565631163	0.014014412202313	0.0128711246471752	0.00419560419758616	0.006217401572893	0.00991595012459173	0	0	0	0.332340599261522	0	0	0	0	0
"ST6GALNAC1"	0.070246399247021	0.0217065829184316	0.00948233418160109	0.0197143035552542	0.110452315663481	0.021821945143341	0.013880696954171	0.0745926417987805	0	0.0159043467152121	0.0283822590027317	0.0469416100925781	0.130355105520208	0.0117151344859223	0.126817462222064	0.0570078288375106	2.2906394828812	0.0209466678108808	0.151362785360743	0.137008988188973	1.56954054795074	2.52959735507119	0.2673494680017	0.0120754147703417	0.0259283237881948	1.12612944193911	0.0633077668226141
"SPDEF"	0.00352713122849095	0.00427552294240309	0.00116536981102539	0.00479023046880854	0.000884226112524743	0.00240595358446737	0.0170374801051908	0.287622525125404	0	0.00324104658706266	0.00443697716550382	0.00884626610090199	0	0.00311724273500632	0.0149130365218114	0.00318346207211147	0.00409959645775687	0.0936463628371455	0.0206981119812923	0.00841588130417504	0.0312703268825678	0.0675866250034115	0.00763324261008791	0.0173664378068225	0.0162126256741345	0.00764092989612216	0.00576641089860812
