"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"SLC44A4"	-0.593738343646792	1.6450117154675	0.990038749949609	0.858746512331045	2.64284264917804	-0.593738343646792	-0.252260278819942	-0.593738343646792	-0.593738343646792	-0.593738343646792	-0.593738343646792	-0.593738343646792	0.0530040883616571	-0.593738343646792	-0.593738343646792	-0.593738343646792
"AGR2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C9orf152"	1.76189028991235	1.52592285772368	2.33782784056214	0.80788380947997	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179	-0.536127066473179
"BCAS1"	-0.198282430642458	-0.671250596289556	2.17931465905034	0.9331637220717	-0.671250596289556	0.935063897024234	-0.161540422612548	2.17157038086721	-0.245197735661779	-0.671250596289556	-0.671250596289556	-0.671250596289556	-0.671250596289556	-0.244087299780256	-0.671250596289556	-0.671250596289556
"ERN2"	2.11494111377041	0.604699783089599	1.4166071198921	-0.122350598225457	-0.814692143906359	-0.121511874368867	-0.814692143906359	1.77161097521928	-0.814692143906359	-0.814692143906359	-0.814692143906359	-0.248384496979815	-0.200793870255074	-0.814692143906359	-0.814692143906359	0.488026855202333
"BCL2L15"	1.55460183712698	1.43198647124256	-0.475100472592993	-0.533305108086528	1.10687997668749	-1.17441391510035	-0.575547265855758	-1.17441391510035	0.314212190407841	0.460386078520764	-1.17441391510035	1.403408246212	-0.606063354935529	0.0718133050792419	0.544383756595312	-1.17441391510035
"FAM83E"	-0.282952728282759	0.628862920864009	-0.948602609675524	0.579455072287642	0.430409393932035	-0.948602609675524	1.8787504273965	-0.948602609675524	0.834406030255762	0.362752588260839	1.77812998468862	-0.948602609675524	-0.948602609675524	-0.948602609675524	0.430404578326022	-0.948602609675524
"TSPAN1"	-0.787297255887612	2.56027534110921	0.0239963118562591	-0.410189874008755	1.44889479253905	-0.787297255887612	0.575757078813494	0.78975881179699	0.900563876126889	-0.787297255887612	-0.787297255887612	-0.175940329887513	-0.787297255887612	-0.202035217132338	-0.787297255887612	-0.787297255887612
"TMC5"	1.06078897891021	-0.686437045940098	0.201339753499041	-0.686437045940098	-0.686437045940098	0.931717105840899	0.0740878877812111	0.198818819117472	-0.686437045940098	-0.686437045940098	-0.686437045940098	-0.35247492000348	-0.324327195404694	-0.0493392727721467	-0.686437045940098	3.06444816461217
"TFF1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLS1"	0.0436223202083154	-1.50853987752342	-0.96375844828186	1.07978763062716	-1.77110544602974	-0.123355473267492	0.171595294002535	-1.22642880741149	0.830069330181371	0.889057654021426	1.33891057772371	0.938392549076683	-0.298341561104657	-0.815698336085495	0.835807800555766	0.579984793307188
"CAPN8"	-0.4622585587073	-0.4622585587073	-0.4622585587073	2.29548863130604	-0.4622585587073	-0.4622585587073	-0.4622585587073	-0.4622585587073	1.68896562754575	-0.4622585587073	-0.4622585587073	-0.4622585587073	-0.4622585587073	-0.4622585587073	2.0249070043431	-0.4622585587073
"ST6GALNAC1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SPDEF"	-0.542877932036225	-0.103259917654665	1.68081802756299	0.185450005068842	-0.229622377991011	2.08066161133815	-1.10401393582375	1.67299984527078	-0.598781239773791	-0.548707929365284	-1.10401393582375	0.212455961690627	-1.10401393582375	-0.0944838463670477	-0.519896127571458	0.11728572729936
"PIGR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRR15L"	0.0835670963036429	-0.737908201641232	-0.737908201641232	0.209657324672806	-0.737908201641232	-0.737908201641232	-0.737908201641232	2.78292076616775	1.45125088622512	-0.737908201641232	-0.737908201641232	0.420862005343179	0.102486367624806	0.735445524563579	0.11707564222897	-0.737908201641232
"MUC13"	-0.621760352011508	-0.621760352011508	1.31446005353148	2.38091475148883	-0.621760352011508	1.18900674342655	1.0921197932562	-0.621760352011508	-0.621760352011508	-0.621760352011508	-0.621760352011508	-0.621760352011508	-0.621760352011508	0.862862530423519	-0.621760352011508	-0.621760352011508
"TSPAN8"	-0.25	-0.25	-0.25	-0.25	3.75	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
