"Pt28.baseline"	"Pt1.baseline"	"Pt22.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt32.baseline"	"Pt20.baseline"	"Pt23.baseline"	"Pt27A.baseline"	"Pt38.baseline"	"Pt2.baseline"	"Pt29.baseline"	"Pt9.baseline"	"Pt4.baseline"	"Pt7.baseline"
"KRT16"	10.4070871572408	0.0322233003081226	0.00165098053288846	0.00359936601610724	0.0729653291934754	0	0.00174002902041647	0	0.0900274919093742	0.016696220443874	0.241894656804504	0	0.0736135823687155	0.0558084840896441	1.16692528189088	0.000882293057700249	0.101514714846688
"DSG3"	4.76135327614393	0.0200081831517892	0.00469526957518977	0.0312720672911808	0.00812518721609622	0.00565725097201599	0.00284034833232002	0.159945018531523	0.0030205482581365	0.00901514506783339	0.0325493188838846	0.0697196032532298	0.00724113008288758	0.00373382578655983	0.391321530475899	0.00556836623659489	0.00935350703683113
"KRT6A"	9.50524292100574	0.0241282202298399	0	0.00664824882324398	0.0488766849009404	0.000482639919839115	0	0	0.0548257880790864	0.014314878827673	0.215349373543412	0.00234126278388873	0.0467111700865494	0.0328015132785437	0.47194229827744	0	0.0367447488464209
"KRT6B"	9.18794610445506	0.137175948359266	0.0033180555802935	0.0181883814374304	0.0579317973152906	0.00501505447072656	0.00298530548311641	0	0.0604052272518198	0.0592644930545665	0.311305341707575	0	0.0248376928498804	0.0511710472260706	1.41450411354217	0.00178787611974129	0.0171786734702647
"SERPINB5"	3.48954600014173	0.00793896318674241	0	0.00407491349150076	0.000644093624832584	0	0.00307952850006377	0	0.000765705196278105	0.0075934963458837	0.00687710267890758	0	0.00205678675751631	0.000579584850171224	0.163983803159337	0	0
"SPRR1B"	9.61452574818641	0	0.00474687795237779	0	0.030982430209199	0	0	0	0.0811363517721702	0.0175469217000544	0.328608573453184	0	0.0630471940669537	0.0333453227331247	0	0	0.0642292282086868
"KRT5"	8.68160278651016	0.116748855279438	0.0226545334034115	0.000809181365559715	0.0240784019268443	0.233829376155368	0.000425428233927431	0	0.0387142419379118	0.0432499074817295	0.178653381136521	0.356659674926835	0.0231842577270645	0.016363965745492	1.50273532939688	0.00384951881600699	0.0200475055440552
"KRT6C"	6.13143332954422	0	0	0	0.00546999494633242	0	0	0	0.00191028389575283	0.00125596651376696	0.0489192091680847	0	0.00456735684254755	0.00372312352718525	0	0	0.00401329880543103
"RHCG"	5.16190264619106	0.0299793827205062	0.0129984795001988	0.0091542304876977	0	0.00512657966524147	0.00238534341539529	0	0.241750359440861	0.321620943384332	0.0308774507841728	0.0127908850897863	0.0388859311645848	0.130452365501299	0.462004446947152	0.240715870276279	0.12324787129383
"PKP1"	4.46914201348343	0.0444474682661954	0.0624839596698785	0.150935152044759	0.00544313676433224	0.00304529045632724	0.0253618554406628	0	0.00372108474026995	0.00669706080133704	0.0386053820517081	0.0116670890987061	0.00219792819315441	0.00152699002763785	0.301622106243566	0.00336331103625263	0.0122470697558619
"TRIM29"	5.71981740473313	0.0773711949499122	0.0258358330780585	0.0224338547954255	0.00648515025693027	0.00262801062810396	0.00168730865230334	0	0.0184633517007231	0.0149163083940593	0.0328578831998609	0	0.0209247727551985	0.0165894303988925	0.904302496938536	0.00762601383545256	0.0095202796769565
"TGM1"	10.7519837287231	0.54339847435139	0.705122991461232	0.791182386503046	0.543675011194381	0.585685244505655	1.03194141623193	1.07536145414736	1.41264580694847	0.528009746876155	0.826827400999355	0.757963282902401	0.214919734433157	0.860578289529049	0.978173852711312	0.586197469119898	0.617183284143325
"SERPINB13"	3.37039678353249	0.000594539766779457	0	0	0.000752367795252344	0	0	0	0	0	0.00464441043098528	0	0	0	0	0	0
"IVL"	3.98851478937532	9.42717816299502e-05	0	0	0.000924808260063335	0	0	0	0.000348862397163799	0.000235384015221067	0.0039973186068439	0	0.000778259988567215	0.000726467164788875	0.00122850210376942	0	0.00112495236737839
"SERPINB3"	6.4595440060569	0	0	0	0.00640185487258905	0.0110051215036601	0.00642930929728779	0.00824730092415928	0.00368823344452622	0.00112326133912328	0.018896039955718	0	0.0112816838094806	0.00407408105862818	0	0	0.00531474793536651
"DSC3"	4.42903552907645	0.0375652070566494	0.00396210926358913	1.69956551189797	0.00386767140827103	0.00257373857328903	0.00482167494431415	0.0329695965342524	0.00213335129422031	0.0148494578733214	0.0258125278677402	0.0223986026652254	0.00501888628089764	0.00300646661051382	0.517000148102135	0.0340998466848327	0.00195394398474204
"LYPD3"	5.54293538208327	0.0941760183075723	0.0779457757444251	0.0159842753593622	0.0320662473289565	0.127024767330881	0.0648823898876829	0.0541353236171699	0.0592719971390887	0.127180652922798	0.0924921430456782	0.0575458630258105	0.0364230634080724	0.0519186367238012	0.367956653551185	0.0282990285897531	0.484697018276703
"SPRR1A"	6.79067188183675	0	0	0	0.00596971128192952	0	0	0	0.00884226142127527	0	0.0493538088844056	0	0.0078337652637863	0.0133442010547906	0	0	0.00705366582571288
"PERP"	5.92526002635949	2.09611715392721	0.360791948400995	1.6975686239525	1.41817731886273	1.00889028211739	1.66536863754642	0.565510355578891	0.83214143500028	0.90437700911617	2.2713687015208	0.388346225355107	1.46708443358915	0.361486216422765	1.78888080607519	0.33775273541939	2.31187656768061
"GJB5"	3.44451807746896	0.0162702628719969	0.0214442154847918	0.00903912942013977	0.00776705273699369	0.0106291253978722	0	0	0.00639652443841003	0.00796333057631437	0.00942044464694911	0	0.0055714563765058	0.0259631599927829	0.104918709264004	0.0178870457747369	0.00998096426010456
"SPRR2A"	8.1906230886012	0	0	0	0.0283644301143199	0	0	0	0.0243824749907905	0.00193888237366497	0.0476476676769552	0	0.0236252348530211	0.0139564926331063	0	0	0.0154479643130629
"LY6D"	7.11058981581863	0.0159041281495899	0	0.0361570065558756	0.0234855483059345	0	0	0	0.0198877686476145	0.00428318662729759	0.0302781806969264	0	0.0101305039285895	0.00703685377440497	0.346184786673765	0.0118192195487369	0.0235754456662965
"SPRR2D"	8.22549534043424	0	0	0.113928984746425	0.110723131708903	0.00241361427505294	0	0	0.0279239750424447	0.00291938204869415	0.025539220644219	0	0.0255142921961068	0.00599081217341492	0	0	0.0080638760757138
"SFN"	8.53826287246333	0.0049396005227338	0.00429904589776594	0.0159571059687719	0.0783699623436313	0.00223768483701485	0.0256618006932092	0.0421805140952067	0.0419053738413782	0.020833638060658	0.103758672508389	0.0237183580268314	0.021306287162561	0.217821906499113	0.691921510401888	0	0.0610839329683668
"GJB3"	1.71660445286717	0.00137214106048405	0.000326560981061075	0.0520274289813981	0.0417629468453923	0.00981279773448822	0	0	0.000828272538575112	0.00214529217682018	0.0014499825257031	0.0238791007334648	0	0.00125853034602419	0.0368275882763809	0	0
"A2ML1"	6.78808214889293	0.0127443161108629	0.0406009217265164	0.0269610337284789	0.00673393633270089	0	0	0	0.0638227813353569	0.0101512462233388	0.0470732190985475	0	0.0116616155983477	0.00910425071024005	0.342909711306095	0.0209247425778171	0.0106683087601634
"ANXA8"	3.81221280502934	0	0	0	0	0	0.0322053084376645	0	0	0	0	0	0	0.0587103444279748	0.461429010092134	0	0
"CLCA2"	4.73985852936552	0.00395589255324184	0.0225943853298912	0.00837813739164565	0.0186642203009871	0.0471829575752836	0.0200914531365574	0.00569093344931103	0.00660596196250319	0.0111018605114586	0.0258380256146742	0.00524302720604083	0.00301532534677703	0.000849078745220832	0.410133131679529	0.00572759281926208	0.00730912341074217
"S100A2"	9.53885947273231	1.42692076876917	0.194108754667674	1.48306398749075	5.92798873380895	1.14577566276309	1.94402121840677	1.19823758929284	0.263481287650863	0.455096356581643	1.25897165899176	0.0770505216762067	0.313546734756669	0.250305496566332	1.26335157898954	0.129545651325978	0.278898943237382
"S100A8"	12.6157181227066	0.789625633266595	1.78667523803761	1.16033122777456	1.27415216241045	2.71223625581975	1.81425551222355	1.23643317308113	1.74067565064596	3.77860869403975	1.24916394050732	0.441731864637367	2.14903103173962	0.953526802831251	0.96648728638072	3.88535805304005	0.621665068422179
"IL20RB"	2.33724027527632	0.0458551395002245	0.0424029503749001	0.0512640677339831	0.0148044499919181	0.0162286807392207	0.0244886910420144	0.0235069944589807	0.0463074395275494	0.0498124827342851	0.0219066205880752	0.0243514312862374	0.0220912982541827	0.0225817057666609	0.10071972525573	0.0155068711211473	0.0187995051796722
"FAT2"	2.10270301086803	0.0265647633156289	0.0209477965467439	0.0102783696174673	0.0131136173505076	0.00555021097327562	0.005938053759877	0.00311310253876001	0.00552001914930974	0.0467822394283013	0.309143310269451	0.0551743922324035	0.00612634917025513	0.32427355374581	0.248377378899792	0.00287256166011444	0.347991774995683
"SERPINB4"	9.02713525380199	0	0	0	0.0500536773545277	0.0780064237327195	0.0568300247361256	0.0677289933513047	0.0324718871862215	0.00479365353442597	0.059722750294857	0	0.0541065099083863	0.0313862551116674	0	0	0.0130525695962669
"GPR87"	1.90506952817105	0	0.000915784993893044	0.00210820918658501	0.00110197343371915	0.000845150705344542	0.000536314199313503	0.00338539089903168	0.00137344969334387	0	0.00147822622685207	0	0	0.000982391464673786	0.0395001088699361	0	0.00121574559245488
"S100A9"	13.4461905655181	2.94005356805498	3.47512012587206	2.79414164629134	2.78372480174053	4.13171151203432	4.04366564470664	2.76555715519101	3.70266908674683	5.27752907741413	3.13675025121175	1.36076823937813	3.50107651182075	2.76664378270484	2.62113559065299	5.18249532302152	1.69927507986741
"SERPINB2"	2.37501491354295	0.00411781606713316	0.245808308059834	0.286792776294414	0.014560467285687	0.100647452293494	0.475608608929374	1.1204011095555	0	0.122023271112551	0.00263072660518444	0.00859553711901981	0.00561047263855221	0.000718194944478229	0.0213560635700101	0.0165456571097024	0.00685709262864684
"TMEM40"	4.66573470765019	0.00440225087123236	0.0143829207310605	0	0.00600448024606823	0	0.00393965643653276	0.0371975258051407	0	0.0206133577674564	0.0218740621089241	0	0.00917637493318896	0.217700351126176	0.0306607577327544	0.0779222829800789	0
"NCCRP1"	5.65809533528986	0.0160242489612711	0.0261522261684117	0.00485440642093124	0.00593780352591268	0.0221324165532095	0.00728775354625187	0.00966114391510884	0.114015320379858	0.0614642258611565	0.0295285731764673	0.120248024876354	0.0107476192828178	1.82625628509734	0.162772937832357	0.034256961496483	0.0111554276157237
"ANXA8L1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRT17"	10.4484583701087	0.156843466660821	0.0471748532778721	0.090799161200611	0.0968408258823023	0.124311474628443	0.0576848880813827	0.15377985465413	0.134912423717015	0.740196656676165	0.839639304566686	0.0639561585845418	0.118141773369713	0.662736747843898	1.70484921619435	0.00253490036687407	0.107279003382192
"SBSN"	8.55612785551553	0.00885944668904436	0.00646489102155852	0.224922449372898	0.342769355375044	0.0181556036840388	0.286025496125245	0	0.0354036136219469	0.0129424906065914	0.0876735867675806	0	0.0186797327571309	0.0156212469309348	0.00669303577050919	0.0024166355252468	0.0488808052228086
"GJB6"	5.2231133613233	0.00438907904353405	0.00334831338368164	0.00166205977286766	0.00241202802960319	0.0110821108836995	0	0.00405158077347473	0.0206497690858363	0.00677673420271683	0.0202453200641827	0.0187249073452979	0.00351519538680589	0.00539572125331138	0.535590021953392	0	0.0038422027606049
"TMPRSS11D"	2.08113488642765	0	0	0.00204448335593573	0.000918571081154154	0.00292300498332524	0.000418956749988453	0.010271007459589	0.000997074027080765	0	0.00367518013589412	0	0	0	0	0	0
