"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"IS01"	0.00117397773885285	0.00364172183724293	0.00163399522405962	0.00146041045019404	0.00111395692520668	0.0017992193540908	0.00115055787516639	0.00246541244692528	0.000678507654960864	0.000668185004757462	0.000710513732307559	0.000527293967516994	0.000746745316023887	0.00104348846615942	0.000546934559511221	0.000879586285339707
"IS02"	0.00132254886684021	0.00144763882013786	0.000530181334158445	0.00102381295031006	0.00272275789842837	0.00302156712073006	0.000281184412534836	0.00284350243660745	0.000723862044661311	0.00133687732383679	0.000615215509406415	0.00122832601401753	0.000619584618560582	0.00150664647991541	0.000604316838542795	0.000969960891629028
"IS03"	0.00271114806908017	2.22044604925031e-16	2.22044604925031e-16	0.00241719747546153	0.000678703882014387	0.000406767931919526	0.00265724974534983	2.22044604925031e-16	0.00428165261486935	0.00364054795554283	0.0030836641252607	0.00307005883643092	0.001911373339586	0.00178394025281563	0.00244305789906019	0.00033050609044251
"IS04"	0.0024161166758151	3.74839830413203e-05	0.00105809320420777	0.00353338549037856	0.000891225141025397	0.000893084966824981	0.00276694227715987	2.22044604925031e-16	0.00188822255438036	0.00194636617356319	0.0027765806235371	0.00246763799550553	0.00189827307431621	0.00220250847863944	0.00217213714271412	0.0031849778933698
"IS05"	0.00193043849685666	0.00248242096610937	0.000506710023983345	2.22044604925031e-16	0.00203306591320545	0.0023449068757916	2.22044604925031e-16	0.00126163371971177	0.0019102537488733	0.00141991090727029	0.000682895611224097	0.000669938467101882	0.0017879942025252	0.00235660571485493	0.00217367633577516	0.00251516328126746
"IS06"	0.00303819523133151	0.0012706955139236	0.000433827080572949	0.00119421894864332	0.00246803394568992	0.00255880570556153	0.00137425738990203	1.14427746997893e-05	0.00364714333135955	0.00355809336163414	0.00173165141172275	0.00229582208119096	0.00164463326312478	0.00166173005434357	0.00190416657097585	0.00178139568950983
"IS07"	2.22044604925031e-16	0.00969575800363437	0.00740131191888827	2.22044604925031e-16	0.00168060317543617	0.00190884396136651	2.22044604925031e-16	0.0146604094917224	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000337912091674061
"IS08"	2.22044604925031e-16	0.0037773120566844	0.00338023862441881	0.000947249648562991	0.00421223170493801	0.00445576678733838	0.00245149245480122	0.00509451518246873	2.22044604925031e-16	0.00021773131464269	5.34585536778419e-12	1.78255143601729e-05	0.00106784934185619	0.000803338614140713	2.11009088403665e-05	0.000592094826563941
"IS09"	0.00176914292065227	0.00128798389706686	0.00240793055331798	0.00222231625826176	0.00240279174844191	0.00246457219313642	0.00205783297736756	0.00223129437191836	0.000709645851500477	0.00119470594947824	0.000592416887308317	0.000713310048521137	0.00148221491655264	0.00134843282058394	0.000703624884125919	0.00104146210069917
"IS10"	0.00101305255683151	0.00128600045608711	0.00249165720803121	0.00150103439305898	0.00510960859139786	0.00314183007041156	0.000820887188969278	0.00106989522602361	0.00169378685903556	0.00310057766538507	0.00286451575198096	0.00167818890823564	0.00130196313186613	0.00160227622962547	0.00113960646270134	0.0025294242326313
"IS11"	0.000513888682132076	0.000895963531872411	0.00329446823112545	0.00250869303449839	0.00110534512000254	0.00123253834426633	0.00293873380781286	0.00392490393966782	0.000900204360305452	0.000197159834597802	0.00166901488345614	0.00151643417953847	0.00121826848793723	0.000676782253541403	0.00168282374392507	0.00127196687322032
"IS12"	0.0011304901593913	0.0016141952524332	0.00135487802660618	0.00133745724498568	0.000725989188946652	0.000810128300721328	0.00129582889174141	0.00230265801956663	0.00212331058846589	0.0020125571040574	0.00157680966295755	0.00148087228849244	0.00124389977323803	0.000971997485187586	0.00116173322795879	0.00153059211872443
