"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"BTLA"	0	0	0	0.0966735215148654	0	0	0.0459437032233809	0	0.0193498697730811	0	0.129022515164827	0.117594051654776	0	0	0.129240087121001	0.13542306790789
"FAM78A"	1.65831843747971	1.43300502126691	1.80221205697196	1.06867328551992	1.74817654364715	1.06959393595096	1.04562227450027	1.13374672228114	1.06044665783204	1.63125426970695	1.51669560058778	0.923386540055977	1.68102133451481	2.0123570086531	1.29044810121078	1.62198162836856
"IL16"	3.12546781476096	3.32667667367074	3.18575047203472	3.16217444674417	2.91290384333405	2.79220562614174	2.86200639104596	3.14072953819986	2.8053732061678	2.63191290640032	2.92082969165354	2.75490159671758	2.86044608341381	2.74566167811444	2.99206193067174	2.8736041119008
"CYTH4"	0	0.314846372539247	0.0540573584436244	0	0	0.0250493093265624	0	0	0	0	0	0	0	0	0	0
"SELPLG"	0.59936945072074	1.07663626481181	1.25060694743237	0.839131735348278	0.223514192090744	0.141948986723916	0.834325799967203	1.74260294703448	0.986843966685446	0.957168832349762	1.29044276395111	1.34985971632535	0.881081001097399	0.906648231150778	1.343665359314	1.51277362391972
"CCL5"	0.340326669852493	1.35480935394027	0.543227688220375	1.02394667202417	0.852617826739924	0.834341258458249	1.41644784020449	2.31663912883856	0	0	0.0707631529248934	0.0325490629804821	0	0.120749307523505	0.264768132789363	0.212450970419325
"CXorf21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EVI2A"	0.0192388805822707	0.0342387789799087	0	0.0221958632256569	0.0150444978464539	0.00558785753986622	0	0.00607215117455696	0.0301868516739836	0.0190395330378494	0	0	0	0.00871221748051098	0.0249876184121357	0.0365881872880782
"PIK3CD"	2.57430632256299	2.52869738712901	2.71985403121095	3.05398069150608	3.14319603153617	3.25232199013584	2.92221321642534	2.99600212390118	2.35920355699763	2.3821540938719	2.76527912319979	2.78600568316617	2.76243477903368	2.54121582031344	2.75543275884721	2.64676498419489
"DOCK10"	2.0687986684061	0.781472033773549	1.01799914143515	2.13367910286907	1.62257624597144	1.17068710930197	2.26254842215046	0.688385460007995	2.34812547982171	2.35756024807656	2.45701509394363	2.39361951576808	1.66438988667314	1.72827670999996	2.17014256213004	1.95980732111324
"FERMT3"	1.72430000023812	1.95262321857484	1.66813318334328	1.16059879842379	1.60161849223224	1.83558984498312	1.23473453367466	1.94261542688737	1.35353177679945	1.06995299739755	1.19086340411804	0.747888064805088	1.25662064574591	1.46658517991352	1.05030140775529	0.976138212730834
"WIPF1"	2.15698334727144	1.62967276845598	1.89736008546495	2.44818887129646	2.37065523480332	2.30780988147011	2.40983224856021	1.41774664754327	1.95641012224454	1.72189554021222	2.0423102675173	2.02809304547761	2.12846367295519	2.04750705243973	2.03225396601073	1.87100796708194
"FCMR"	0.226104428610382	0.428829212120722	0.467452245616701	0.313085041700693	0.349674708552875	0.434111487808927	0.236539131624315	0.344082700630778	0.57946369837052	0.666901193666921	0.886910549017269	0.779155001132565	0.753012494115227	0.924869631859362	0.843923429591351	1.03531661664511
"CST7"	0.00507956003281847	0.0477513478707679	0	0.0117056672376977	0.0210370428427413	0	0	0.03786762690472	0.00457251321795619	0.0200024474832849	0.0105383177023517	0	0	0.0137100440764412	0	0
"RNASE6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FOXP3"	0.704351656664212	0.322184519041197	0.509011309135805	0.255608902480868	0.120847109531345	0.133613492719846	0.183650737384007	1.07545856297946	0.612322737411438	0.32093394855089	0.431758058625268	0.439661812483598	0.515358974697859	0.38174687838061	0.335847399349874	0.498644171585882
"CCR6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"APBB1IP"	2.64944180982726	2.91327915479855	3.43609588453299	3.36061427465292	2.84447973407295	2.76594459073101	3.10435052339651	3.34752744084675	1.54353068240147	1.43424701577023	1.54659209569615	1.41839284825294	1.60689504064509	1.62457547219896	1.69549428807085	1.54293968138909
"CPNE5"	1.87340220670814	2.38852351952924	2.99137297949014	2.54792190870746	3.18085097846454	3.13398593832293	2.74463560854438	3.57769108222807	1.46248672007373	1.15373223566296	2.00731089187305	1.78651579673764	1.96014185911403	2.16493480980587	1.91590675067513	1.8015494638031
"FYB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SEPT6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGA4"	5.02616080330639	2.57266550506755	2.39212833204979	5.01347042979169	4.99364958681527	4.58014938342238	4.85445831574902	1.63007598208616	6.079145217879	6.00470013608379	5.48297401310237	5.55138260481759	5.412375221068	5.38621440516061	5.36369704425738	4.70791081424016
"HAVCR2"	0.133225489749477	0.157535609946576	0.165979777369167	0.152802477729227	0.324009340752606	0.58821412816818	0.0733607424942798	0.0851382166420917	0.0614794725292301	0.0341220013762988	0.323497509517972	0.241891151019178	0.168303415005372	0	0.202990868153478	0.145051277474836
"LYL1"	0.42009283172224	1.11708307949347	0.615895949885966	0.303599506433697	0.611524757739965	0.717991662590669	0.207794709060488	0.682863610802398	0.586848147053546	0.545890425723636	0.507468733545207	0.50035624073711	0.713557470417986	0.734148327743817	0.644375645273162	0.759507284935878
