"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"BTLA"	-0.736061951060925	-0.736061951060925	-0.736061951060925	0.955031398552634	-0.736061951060925	-0.736061951060925	0.0676233782847255	-0.736061951060925	-0.397577994167783	-0.736061951060925	1.52090680239555	1.32099064815494	-0.736061951060925	-0.736061951060925	1.52471275135016	1.63287057497809
"FAM78A"	0.715246577301023	0.0430959458343069	1.14450724376042	-1.04377145142009	0.983309544069974	-1.04102498483598	-1.11253678227893	-0.849645631724329	-1.06831296824672	0.634509274727801	0.292760065636245	-1.47718806437093	0.78297342124474	1.77140760480513	-0.3821771046847	0.606847310182038
"IL16"	0.941714857022404	1.98182867785878	1.25333545527496	1.13146333752647	-0.157097221585617	-0.78102543494684	-0.420202652713467	1.02060765311794	-0.712957945044654	-1.6096304679751	-0.116125942171652	-0.973862056491232	-0.42826838869425	-1.0216261912048	0.25209659382099	-0.360250273793954
"CYTH4"	-0.312737586883452	3.68628908734525	0.373872891144046	-0.312737586883452	-0.312737586883452	0.00542665099558476	-0.312737586883452	-0.312737586883452	-0.312737586883452	-0.312737586883452	-0.312737586883452	-0.312737586883452	-0.312737586883452	-0.312737586883452	-0.312737586883452	-0.312737586883452
"SELPLG"	-0.920487029264031	0.18702979949316	0.590735762329877	-0.364109009074254	-1.79267426671603	-1.98194960478209	-0.375261375330008	1.73243225819516	-0.0213368380597137	-0.0901991802592054	0.683176376005914	0.821055802618182	-0.266764051496094	-0.20743426632603	0.806681548153267	1.19910407451191
"CCL5"	-0.367656336448267	1.14759861825139	-0.0645986517604336	0.653414413866079	0.397513661914501	0.370215354039866	1.23966329631539	2.58420996199532	-0.875976173542506	-0.875976173542506	-0.770282680926582	-0.827360135313766	-0.875976173542506	-0.695622196711382	-0.480512326452389	-0.558654458142207
"CXorf21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"EVI2A"	0.410701882777342	1.55777721514296	-1.06053777186762	0.636828871010527	0.0899481787713708	-0.633221974464414	-1.06053777186762	-0.596186971476467	1.24791739223261	0.395457336133659	-1.06053777186762	-1.06053777186762	-1.06053777186762	-0.394295274940288	0.850320550988693	1.73744165316211
"PIK3CD"	-0.72189715768481	-0.897487500217164	-0.161551432157217	1.12480647495374	1.46827759450442	1.88840282363686	0.617513422311836	0.901594149377425	-1.55002366241217	-1.46166613788962	0.0133311294721649	0.0931265408183237	0.00238065756014892	-0.849292646513428	-0.0245764970250427	-0.442937758735472
"DOCK10"	0.449945969110912	-1.7175700442398	-1.31932123958086	0.559187382182265	-0.301374030120936	-1.06223527049284	0.776169075605963	-1.87430310159815	0.920258103120583	0.936143746068133	1.10359928161195	0.996857972006117	-0.230970968955901	-0.123402533037914	0.620582159330541	0.266433498989938
"FERMT3"	0.917523054129627	1.54325644450491	0.763594544281939	-0.627333692106851	0.581307068300008	1.22251950772695	-0.424160290363352	1.51582949481321	-0.0985893639844068	-0.875753913285502	-0.544391736105221	-1.75839205959469	-0.364180095584034	0.211240226450449	-0.929610266146572	-1.13285892303646
"WIPF1"	0.448840025731103	-1.40242870877203	-0.462638800299212	1.4711970646381	1.19899392121833	0.978358033358978	1.3365355970221	-2.14645361066489	-0.255327414461111	-1.07865531824938	0.0462486578224386	-0.00366480818972662	0.348713869532057	0.0644933997892018	0.0109432470990868	-0.555155155575037
