"Pt15.baseline"	"Pt19.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt27B.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt8.baseline"	"Pt10.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt14.baseline"	"Pt28.baseline"
"TNNI1"	0.0916070277698892	0.699924918671808	0.000362230609802661	0.0926002365518747	0.00135257750980829	0.00250497520993691	0	0.000287599888549397	0.00012429272752971	0.00036521670831048	0.0170794579339602	0.00159126695154237	0.0161515698740663	0.00204376676774879	0.00487274589559752	0	0.0187441299878259
"TTN"	0.0221215512723436	0.0539327222940021	0.00432542606461886	0.0104136463823157	0.00753905840538662	0.00719605584249213	0.011023546007101	0.00221969805725328	0.00468495538252593	0.0121046140839782	0.0204441564728887	0.00338839089143481	0.00461632848887145	0.0185538334641766	0.0268691073216199	0.0312414490432899	0.00518698206487637
"STAC3"	0.192746627251952	0.816291072627381	0.0498367902913198	0.0324431927724281	0.150286474781693	0.145399699886126	0.0513342574944702	0.338575564973533	0.0512401838525584	0.0639585982355231	0.0235933867980883	0.0658371853904694	0.0587604491474367	0.179894335248237	0.193703490629087	0.0736655656963114	0.0508756058649401
"SMPX"	0.144128619963109	0.319289362253653	0	0	0	0	0.00217618847575358	0	0.026435681427332	0.0198434134605703	0.00162581621213827	0	0.00132257717325313	0.00798944046804579	0	0	0
"APOBEC2"	1.37892766922358	3.42038224813087	0.299731022522921	0.0943100200929236	0.10041427430187	0.264324179439406	1.28987172031541	0.0711384257008197	0.334455860680792	0.179552297045738	0.0293315219466949	1.37808833085295	0.231883168999441	0.529731963825386	0.716981175824376	0.079493997243325	0.353094715859314
"MYLK2"	0.0101796839940433	0.100573066526774	0.00212061155583833	0.0304587264854745	0.00199508381454735	0.00522719366876761	0.00517833448546226	0.0094174743362607	0.00144939727269893	0.0035094050952237	0.0178733732315544	0.0105888496221227	0.00286616878164304	0.00332696025447142	0.00626188504437973	0.0257504841004693	0.00280096928597235
"ACTN2"	0.250809310852023	1.48488091693715	0.01489353847819	0.462410587254976	0.0288738310065818	0.00565933599292419	0.0543209124995149	0.00888035171766448	0.0307578382797118	0.0461658056445541	0.140804346973398	0.0185258544782314	0.0114540728862511	0.0012374510244919	0.0496391912555462	0.0116320428086885	0.00271437150083414
"FITM1"	0.0460340773173484	0.518683681970032	0.0107060032388643	0.00261707495580677	0.00938640603377214	0.0126604333332097	0.0869977085789433	0	0.00802530157332434	0.00563941884925997	0.0123189395429519	0.0443114369731294	0.0078197405321632	0.0349933909833468	0.0892568643863622	0.0223573764477456	0.0684942775282618
"NMRK2"	0.548963258804662	0.818764758106586	0.00157789850264803	0	0.00108259279489697	0	0.0218233157769827	0.00312520913827202	0.0266063652411279	0.0380840000213532	0	0	0.170217334606633	0.0328960797486841	0.00551204665657366	0	0
"MYL3"	0.0937386519976514	0.246755147198061	0.0391104730697352	0.00602506226167998	0.00618052879683809	0.0421778358413196	0.00575554585442779	0	0.0110531818673176	0.012326956536334	0.0309030937127234	0.0233302750437742	0.00685295558532026	0	0.0189238910754935	0.0182079340660462	0.0110288424391689
"ACTC1"	1.1941506405976	4.27365414358372	0.100808799654325	0.0621650761751773	0.00379846257302185	2.17624280343792	0.00216391087230257	0.0248524396392749	0.0585524422567743	0.0126238653376973	0.0441548276368138	0.0517340106374037	0.0135479574477432	0	0.00781196826528104	0.0458084526215589	0.0726860342898901
"TRIM54"	0.0310836991257115	0.421150747224676	0.000278085882115872	0.000990197922402609	0	0.00151621671429365	0	0.000318876706072854	0.00547068853718566	0.00229538187790444	0.000806488231595341	0.241881998743269	0	0.000937958683747626	0.00504102270927019	0.000342269131497137	0.00297913596741031
"SPTB"	0.0178925949508192	0.327226658598522	0.0120651972210446	0.00388397144105853	0.0039303148333301	0.0240557435637878	0.0269794821245412	0.00490182642933886	0.0232584616072018	0.0138180401048325	0.00598579612469818	0.0197103256143778	0.0485942769254726	0.0382458834933442	0.00534789866094196	0.0185976495395002	0.0299034325262382
"CACNG1"	0.254943787159771	2.66035105749291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NEB"	0.0270828003848409	0.0794083067021067	0.00106111261354075	0.000702575121786785	0.00223093054823641	0.0033317380015272	0.00211182713140862	0.000529882989062276	0.00171220815329939	0.001643511549803	0.00156115803321113	0.00219982936677861	0.00387458230764978	0.00209883603985907	0.00589765940862978	0.000871829219398691	0.0220099714827584
"ASB5"	1.13511942251431	2.47782035093292	0.122074986080146	0	0	0.113075658461049	0	0.0413793801544416	0	0.420258488642681	0.0315326925513101	0	0	0.0430208779597393	0	0.054698103552509	0
"TRIM63"	1.42638665443448	1.11360890571225	1.33265164764749	0.0180522418476022	0.0900294200707884	0.720996810540589	1.05187826021477	1.71756529794893	2.278003684248	0.874109914349353	0.00730211411313775	0.028576418549282	1.40411280222546	1.77854912768724	0.0252887934707719	0.00106390145456605	0.013450529109038
"MYOM1"	0.104597460633688	0.351419761192802	0.117585222421914	0.020909816940675	0.099037934576322	0.368414283396849	0.0613049728591785	0.105939288542998	0.0486665410557474	0.0428883103016353	0.0548926761191964	0.039093639912945	0.110629356260033	0.0739938622769031	0.11461990827876	0.0717524725004087	0.0635761961810121
"TMOD4"	0.338172850496226	0.89532856200693	0.0247969803388355	0.0252945301414653	0.0334285863280139	0.0115208121308251	0.0449206155546415	0.017591592631436	0.0213074284995233	0.019340506554012	0.0093696701370508	0.0609426165533098	0.038953744268515	0.0657950763658241	0.123732859053196	0.0696456636481326	0.0153220079286025
"TRIM72"	0.0243745188929317	0.219723203832405	0.000734899779862205	0.0011783967618604	0.00225642696991455	0	0.00272923138322827	0.000797114810698669	0.000622289347780241	0.0105436018934942	0.00146947716793503	0	0	0.00236792493966488	0.00481187584386686	0	0.0118777113857761
"SYNPO2L"	0.0771439563442655	0.532358650559029	0.0019276695190498	0.0521987086266788	0.00104710094429363	0.00316515255001624	0.000438722043723656	0.00353266224271993	0.000233539264344435	0.00380868414881696	0.0010760498029234	0.00647113001658203	0.00535236109490378	0	0.00609828820593497	0.000834850262374488	0.00797363236040693
"DUSP13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYBPH"	0.34393756879639	2.62041373692699	0.000910648224539238	0.00432308135141492	0.0028781407848445	0	0.00411443149448001	0	0	0.00597317382487241	0.000432791064707049	0.0198845624763055	0.00252279698635798	0.0105468532029962	0.00565792292061282	0.00448472472496636	0.00170077558414665
"MYLPF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HSPB3"	0.0832919121431939	0.193035514520024	0	0	0	0	0	0	0	0.00556148129119569	0.00606211306304665	0	0.00223430808031756	0.00212883783822728	0	0.00237379972201834	0.0136609090360741
