"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"IS01"	0.0689804207294174	0.132729478444243	0.0667119496279813	0.0804821165375631	0.0443025392981467	0.0718594569238045	0.0646563645676424	0.06874017998999	0.036564243176088	0.0346340620312113	0.0435810346480568	0.0336591207616383	0.050040564958735	0.0653907143646655	0.0375817940201341	0.0518469842805799
"IS02"	0.0777101424078086	0.0527619500225217	0.0216459815409985	0.0564215581780944	0.108285236228574	0.120679100000126	0.0158013449649037	0.079282016093551	0.0390083555187938	0.0692944197074426	0.037735693502201	0.0784085845608419	0.0415193288624821	0.09441473749996	0.0415247318971951	0.0571740918875799
"IS03"	0.159301261238259	8.09283792673466e-15	9.0655274145301e-15	0.133209926626141	0.0269923411977247	0.0162460028096614	0.149325915706559	6.19100715881778e-15	0.230734887456275	0.188700678438058	0.189143808170316	0.195973190452692	0.128084100037245	0.111791487207176	0.167871086485728	0.0194815953379613
"IS04"	0.141965847659039	0.00136617505164918	0.043199306522724	0.194722204823306	0.0354444017899957	0.0356691364824094	0.155490160443949	6.19100715881778e-15	0.101754826410794	0.100886081415592	0.170308117711529	0.157518443986467	0.127206230888095	0.138021269504346	0.149255170040667	0.187737691598685
"IS05"	0.113428436756864	0.0904765533548274	0.0206877064866726	1.22367104177727e-14	0.08085589350665	0.0936538028274101	1.24779441662026e-14	0.0351766411671142	0.102942070131642	0.0735983030014915	0.0418870120878686	0.0427646458259972	0.119816272184614	0.147677848071849	0.149360933400417	0.148255643909457
"IS06"	0.178517852919549	0.0463129147041628	0.017712077685596	0.0658125040007126	0.0981547566103605	0.102196759920972	0.0772273074906665	0.000319045356256473	0.196541681867348	0.1844268059329	0.106214921318338	0.146550799816522	0.110209432681676	0.104133125433281	0.130841971138909	0.105003904507036
"IS07"	1.30468660192762e-14	0.35338034052548	0.302177105932494	1.22367104177727e-14	0.0668383009608173	0.0762377806264745	1.24779441662026e-14	0.408758862414593	1.19658088911105e-14	1.15092475376049e-14	1.36196292634961e-14	1.41739269402907e-14	1.48795542979104e-14	1.39145336127266e-14	1.5257464463449e-14	0.0199181401498053
"IS08"	1.30468660192762e-14	0.137671321866922	0.138006712334526	0.0522022124640937	0.167522241137189	0.177959947345644	0.137763247997873	0.142044342739238	1.19658088911105e-14	0.0112856765772667	3.2790064063963e-10	0.00113786839495379	0.0715582451080119	0.0503416066003323	0.00144991753745634	0.0349008751922698
"IS09"	0.103951053719563	0.046943022708097	0.0983097988386566	0.122470169983363	0.0955600467593122	0.0984331448778731	0.115641291999112	0.0622125425413529	0.0382422560651318	0.0619252447580826	0.0363372862731693	0.0455332139996258	0.0993255266862444	0.0845002012674609	0.048348536406792	0.0613887120158036
"IS10"	0.0595248012620183	0.0468707324293407	0.101728149326776	0.082720871336556	0.203211300451811	0.125482311033021	0.046130301225594	0.0298306234719527	0.0912768399139292	0.160712375211883	0.175701826102002	0.107124994031579	0.0872465742683565	0.100407422470471	0.0783063615207088	0.149096251969758
"IS11"	0.0301949997247773	0.0326550949263383	0.134504921097497	0.138252177757729	0.0439600441532706	0.0492266470207578	0.165144099698354	0.109433455482333	0.0485113040327921	0.0102193941691377	0.10237296220552	0.0967995924863607	0.0816380660174808	0.0424108904540967	0.115632728297333	0.0749757557393047
"IS12"	0.0664251835826783	0.0588324159664093	0.0553162906060689	0.0737062582924161	0.0288728979061476	0.0323559101318457	0.0728199659053225	0.0642022907436068	0.114423535427183	0.104316958756924	0.0967173376530849	0.0945295456833088	0.0833556583070449	0.0609106971263488	0.079826769254644	0.0902203534117592
