"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"ATE1"	1.8593454576059	1.13090155617909	1.12098888311326	2.08065042456761	1.49460102663069	1.15431671398018	1.9936752347293	1.24814167089049	2.04478806116715	1.97608535409307	1.91230907793054	1.76442806629432	1.66422205070514	1.64091382890428	1.82446312898043	1.60821149521543
"GRAP2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMICA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DOK2"	0.0360315538031315	0	0	0	0	0	0	0	0	0	0	0	0	0.0325537076223828	0.0374942297338259	0
"CD1C"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PIK3R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NCF4"	0	0.0973544453903359	0	0	0.0218140443931191	0	0	0	0	0	0	0	0	0	0	0
"CLEC9A"	0	0	0	0	0	0.0323528593307071	0	0	0	0	0	0	0	0	0	0
"PIK3CG"	0	0.0779104556281167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PTGDS"	3.05550288962726	4.12003576714642	4.66114016841004	3.11747692024019	4.24778130354262	4.74862871929504	3.43287950456741	5.19579264692194	1.48297190617079	1.21157704245353	1.61966601863035	1.41832298650774	2.40836402257652	1.847971253322	1.82300787264111	1.14505574318653
"FLT3"	0.0406196035366717	0	0	0	0.0212877562508667	0	0	0	0	0	0	0	0	0	0	0
"GIMAP7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DPEP2"	0.521396008035239	0.955703195722008	1.3895102614376	1.66842565232779	0.881074644757387	1.00487469703061	1.09772830317254	2.12458735268425	0.313308656890916	0.814782877177763	0.719276031992463	0.70120083224865	0.869685848221967	0.58984937996619	0.775888879519905	0.896287066016153
"CD69"	0.196146987489885	0	0	0.0240630481573202	0.51050414192616	0.589944501004831	0.0224822191184107	0.0261657350634978	0.0647117591768809	0	0	0.0582736965748828	0.200398452943992	0.194793546889748	0.0430991260523481	0.0563142422078073
"GIMAP1"	0	0	0.0450815845700976	0	0.0520114926275584	0.0167082074903126	0	0.036074985903831	0	0	0	0.00683962233189397	0	0.025994574255212	0	0
"CD300LF"	0	0.0984400744740096	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S100Z"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HLA.DRB5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P2RX1"	0	0.0661187947460986	0.0236375276313569	0.0216747240975889	0	0	0	0	0	0	0.0195199124293811	0	0.0192199757246367	0	0	0
"TPSAB1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CTD.2370N5.3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TPSB2"	0	0	0	0	0	0	0	0.0127149858246362	0	0	0	0	0	0	0	0
"CPA3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HDC"	0	0	0	0	0.022912850907515	0.0254251634651605	0	0	0	0	0	0	0	0	0	0
"CD101"	0.0131918770295642	0.0694266848515201	0.0166063745596716	0.0599565233106329	0.00688226605167684	0.0152428184659153	0.0283038099783433	0.194465711043926	0	0	0	0	0	0	0	0.049840364027745
"ADGRE1"	0.186066941617853	0.624602015415031	0.0492108718885895	0.36307268093754	0.39539530026173	0.39872904497857	0.161903975017996	0.272138937425169	0.103446664980208	0.0765438872200545	0.228578899449355	0	0.259658663070056	0.0354044750510579	0.119012748595866	0.0427851550845412
"COL6A5"	0	0	0	0.0321603621263777	0	0	0	0	0	0	0	0	0	0	0	0
"CTRL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CLEC4A"	0	0	0	0	0	0	0.0828130344475766	0	0.0351364443513031	0	0	0	0	0	0	0
"MS4A14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MADCAM1"	0.373230854311329	0.747693737317287	0.988003333237902	0.998977974648013	0.671592157617033	0.708426293891126	0.710885208933446	1.31277320648009	0.734940083240683	1.10286874701385	1.02158157222694	0.503679332521729	0.701139501701267	0.561464797570603	0.90939934774466	1.13682801734682
"TPSD1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LAMP3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GYPE"	0.108710440840691	0.10389781295688	0.0281838681002801	0.17189876154748	0.0348423168356368	0.172096450357005	0.0942647586645981	0.0281039710838782	0.293259226931567	0.148513442828835	0.0909500285661246	0.122479967812889	0.0786872615848101	0.190613000358084	0.123839377592214	0.118448378235661
"LTF"	0.0226928360855798	0	0.188865565110363	0.0518852982005655	0.0118576046578369	0	0.036532398120478	0.143524040542631	0.0405944786103307	0.0280182693701897	0.0639323699536964	0.0633252069755183	0.0573528620084575	0.0506976349599337	0.0236184622290895	0.0370303129888259
"KCNJ5"	0	0.0235264035666294	0	0	0.193484366415485	0	0	0.0247795030222614	0	0	0	0	0	0	0	0
"NINJ2"	0.0562083214978145	0.0955093994932182	0.0806444567637024	0.0740676554637522	0.0478226191555433	0.0170811433727569	0.0361723706530325	0.0498191246951136	0.00762235609717348	0.027054272061908	0.0109894750948541	0.0218642658286587	0.0108201229343284	0.0265728857396319	0.0648267676694601	0.0479348873718694
"SPTA1"	0	0	0	0	0	0	0	0	0	0	0	0	0.036153912069049	0	0.0726430169409847	0.0385976973302698
"CTRB1"	0.0247603629500082	0	0	0	0	0.0379982768993641	0.0354704291986156	0	0.00747300228261214	0.0325807577233679	0	0	0.0665832272974266	0.0297396499568024	0	0
"CTRB2"	0.0792018368749193	0.0477513478707679	0	0	0.0417717320003929	0.0463189175941903	0	0	0	0.0591941074194084	0	0.037903221173405	0.04106320608308	0.0716592639149778	0	0
"REG1B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALPI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"REG1A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRSS2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CELA3A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC6A19"	0	0	0	0.00560416211265545	0	0	0	0	0	0	0	0	0	0	0	0
"PRSS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SYCN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CDHR5"	0.00824433496278558	0.0292829807262019	0	0.0189717253709304	0.00858240019557755	0.0189947189475877	0	0	0.00742218879990974	0	0	0	0.033448767730351	0.0868621619196451	0.0171139866210147	0.0179664750376542
"REG3A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PLA2G1B"	0	0.0774071368200399	0.0414167897062038	0	0	0	0	0.120513613494196	0.0296973088131973	0	0	0.0615721612590652	0	0.115579669954191	0	0
"PNLIP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CPA1"	0.00657825008755788	0	0	0.00380221653538888	0.0102600858618999	0	0	0	0	0	0	0	0	0	0.013663915414708	0
"CELA2A"	0	0	0	0	0.0130121196959719	0.0429061057814742	0	0	0	0	0	0.0234966166557383	0	0	0.00652070690422964	0
"CTRC"	0.0063853752985659	0	0	0.050828970044356	0	0.0147240635468298	0.0273447468659181	0.00802007181061951	0	0	0	0.0239502889999414	0	0.0229163776278369	0.0132642412075742	0
"TBX10"	0	0	0	0	0	0.0223325653789357	0	0	0	0	0	0	0	0	0	0
"C11orf86"	0.0142964949044514	0.0338701514107958	0.0357685560869082	0	0.0148814567450801	0.0165181903975585	0.0306604473810232	0.0531758181599124	0	0	0.0222260536223306	0.0532255382656811	0	0.0129071674109348	0.0148814045356611	0
"SLC10A2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TM6SF2"	0.0752569186513283	0.273827941546762	0.412844901634103	0.161001341889766	0.320017010220042	0.252636845361015	0.137171013300987	0.604082011135591	0.155639381890367	0.113558905145447	0.277975233426441	0.150851963359992	0.213371397332184	0.178601059970326	0.204200310360252	0.334330529327475
"TMPRSS15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LCT"	0.0151265610591873	0	0	0	0	0	0	0	0	0.0297854738119312	0	0	0	0.0538688357527481	0	0
"CELA3B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC13A1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CASR"	0	0	0	0	0	0	0	0	0	0	0	0	0.0442983220161642	0.0197014326730508	0	0
"DNASE1"	2.58499976779499	2.52820192766643	3.2372145448969	2.73713807280971	3.13971997993903	2.98525723079989	3.03967246914484	3.31182386708969	2.62484550888116	2.44199441476219	2.70371673774748	2.79001171267027	2.93082832883157	2.98298858522682	2.65146461858839	2.59472415694624
"SLC17A8"	0	0.0234934618912061	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LYPD8"	0	0	0.0225092338018218	0	0.0370018019661937	0	0	0.0445467385232403	0	0.00887870048707692	0.0277913175194849	0	0.0363731666321436	0.0557584256974094	0.00933976712140385	0.0766452935886736
"MS4A18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MGAM"	0	0.395100503903205	0	0.0256591475088322	0	0	0	0	0	0	0.0231113845618202	0	0	0.0200879922063645	0.0231518040844008	0.024302526504907
"MEP1B"	0	0.0373705733916284	0	0	0	0	0	0	0	0	0	0.029641384417003	0	0	0.0326760727145617	0
"OR2T11"	0	0	0.169798810413224	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRPM6"	0.256782706821871	0.262011467135897	0.275544254803571	0.0898794549020115	0	0.21524269258466	0.238879626688393	0	0.536907556212825	0.441503362985788	0.194866690536743	0.3951419059484	0.155626347403479	0.512914692461207	0	0.314308800601839
"RFX6"	0	0	0	0	0	0	0.0404119410456562	0	0	0	0	0	0	0	0	0
"RP5.972B16.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CELA2B"	0.0164700559587535	0.0131105896305052	0.0069421326422877	0.00636261323649766	0.0508309769686088	0	0.0118600674213887	0	0.00496090346336415	0.0108865923573386	0	0	0	0	0.0171433649205041	0
"AC011513.3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LGALS9B"	0	0.0190887045187848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LMOD1"	7.06979864115813	7.82074447290616	8.82938333756093	8.08319462744557	7.13444981322781	7.17774058624452	7.97528221511084	9.05252416943149	7.55423559720899	7.58416348326583	8.39200058970393	8.39576482481979	8.114296113393	8.15284607493381	8.51920659522868	8.57070391213525
"CHRDL1"	2.58364634110852	1.9242994501365	3.00766667194463	3.33349194563589	3.57467457715581	3.4436905859817	3.43177807096489	2.37189123659561	1.51171082744225	1.73097414659207	2.15499244369096	2.18449600299457	2.28865082742777	2.27430153688988	2.08526058100304	1.8760981906863
"PGM5"	1.36054565724263	1.67929477374662	2.42378052447327	2.18442889750506	1.45146547215344	1.43747108808827	2.11973372606326	2.34918438870778	1.64509811435332	1.7708270799624	2.38954451597234	2.36047692388636	1.92162266922517	1.90329795613236	2.33896073383287	2.38100731559362
"SDPR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SYNM"	2.35893372466296	1.78903843277462	2.33836626131523	2.85130241045655	2.37603005019666	2.23335620167168	2.84277641323883	2.31616783870853	2.33062610347208	2.23862757710351	2.50691302849907	2.47041866071698	2.051581751863	1.99404008731046	2.58357493297369	2.30952562224377
"PPP1R12B"	11.0389123120038	9.78791929797627	10.7503635407656	11.9176169516623	11.1029356366636	10.8460329843982	11.826227173401	10.1610938388106	11.0956807182295	11.1154598485639	11.714380851858	11.6696988632637	11.5303907565987	11.5926299541259	11.7066763343297	11.233412216308
"FXYD1"	0.0307138035266644	0.358722018450864	0.435678323929747	0.320197233412684	0.0319631040847804	0.200733632645751	0.245664420713356	0.545674666894978	0.0548238159497966	0.173457415131664	0.0319073594031724	0.112635130696865	0.287081741900875	0.0549651313838517	0.210159571613198	0.0663308324774284
"MYLK"	12.6218302903567	11.0725512650373	12.7749891986435	13.6354356579574	12.0103738101858	11.9901607912979	13.581920742836	11.6519365906994	12.9384386711021	12.8872120222686	13.6260239056126	13.6122354599345	12.9242885659739	12.8861927533396	13.6631122598222	13.2404875652207
"SYNPO2"	11.2539250112247	10.2149476242905	11.8881267128519	12.7939414773855	11.0777952623911	10.9635416292313	12.6688511178148	11.7171314389651	9.71818252519949	9.6149098345287	10.4820161519286	10.3731249424876	9.80111851628166	9.85913145266011	10.2174796045062	9.95741155908461
