"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"ATE1"	0.794198396469135	1.12813393025841	0.96235770463721	1.48823300778301	0.871052648327364	0.0836941384519958	-1.15963175465992	-0.245882973169478	0.104977107719986	1.37250469191026	-0.541183610845979	0.989110662229515	-0.445446960988153	-1.34863979549928	-0.258877198787318	0.0947203216329972	-0.597733660002546	-1.30608823506476	1.01938040463133	1.44016283312506	-0.120296094895558	0.448972395964262	-2.34695439401224	-1.46960245460097	-0.134953345527147	-0.17781822124622	-0.644389543840945
"GRAP2"	-0.517843493701132	-0.668982085565916	0.0395277788021463	0.185526172495424	-0.872029886443614	-1.4242133540257	-0.218116117742939	0.0125642845555726	2.4260898730042	2.37181154288715	-0.454409668040416	-1.08402277512352	0.77711848330418	-0.719687470211144	1.43004798466874	0.132022218036388	-0.452804980974719	-0.431737360192233	-0.30560823917358	-0.840172970255313	-0.639507733552542	0.34945205224482	-0.442720376292841	-0.808057955308822	-0.468340800261881	1.08688300994377	1.53721186692393
"AMICA1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KLRB1"	0.696975072876541	0.492862072006633	0.213958469787068	-1.25012788505299	-0.915218218217043	-1.09075495596501	-0.526754175266637	0.332298051587735	-1.21817711136858	-0.911294473386076	0.342868671832244	-0.769394758350282	-0.405304140319893	0.261475729426262	2.32071828463385	1.15160195754987	-0.710550761335236	0.43350348464359	-0.33827636686212	-0.819297127198313	1.46753618979119	0.897245173004966	-0.686975336540273	0.00879277037477539	-1.12783678632808	-0.10523414340147	2.25536031207729
"DOK2"	0.185720758837461	-0.636161808821151	-0.199428348063746	-1.91701888574733	-0.766792535788094	-1.54688501413601	0.515818386486337	0.0871395936335199	-1.78609861146261	-0.258876165884535	0.621961549425818	0.398440460904892	0.758529776800899	0.43775376447642	2.1515102309468	1.29726545111256	0.903372207794568	1.66771641129434	-0.0520162060655238	-1.09880864243504	-0.15185838142517	0.905065838769228	-0.415206871795012	-0.499523191016559	-0.66288033732884	-0.743024534772132	0.804285104258889
"CD1C"	0.583742866334858	-0.0757482478960906	0.332126653436815	-0.382131851597804	-0.479652814233592	-0.463980487365441	-0.497657034519977	-0.15082533843018	-0.454874454814692	-0.416116948300368	0.264533425577379	-0.443523977717321	-0.247176852829394	-0.172118399526498	0.283239745204782	0.345522738649694	-0.449961622210241	-0.0752663390286614	-0.358557595593158	-0.392348155858616	0.0695744425450172	-0.0032455117218699	-0.434245476036882	-0.405744781545431	-0.322096643329767	-0.409922701573118	4.75645536238055
"PIK3R6"	-0.412140725935433	-0.617778167438857	-0.701642342466152	-0.988645076319147	-0.659238067578682	-0.816475337815743	-0.568637416164552	-0.0770516335947859	-0.971085238286445	-0.870904784198529	0.835442559199861	0.242388301069917	-0.131260821939168	0.56863856533037	0.887382709672577	0.667218556751193	0.794834837150548	-0.186705158092273	-0.0813157457389931	-0.471335890844914	-0.0611961887025255	1.51172928200542	3.65878821845167	-0.889026527412744	-0.767885800855442	-0.476215321004264	0.582117214757097
"NCF4"	-0.0389534444581207	-0.71724380942374	-0.737558262653856	-1.75590300661387	-0.430881349524203	-1.05774858180667	-0.499667888047996	0.0187429579125694	-1.27624455085472	-1.17397713052758	0.60373580489151	0.00213557421816343	0.635594372656193	-0.0563132971309521	1.81125825453063	1.18681408859358	1.34625574104146	1.3577969129334	-0.042390890102784	-0.681649755597191	0.149689201171134	-0.0119028469691556	-0.47588989973741	0.511229954197914	-0.533923264535799	-0.674877589106913	2.54187270494441
"CLEC9A"	0.624420994272929	1.11033636905081	-0.614195596904762	-0.814117954760436	-0.813618764089419	-0.766204517138486	-0.785406547772199	0.833768895170236	-0.821251919945526	-0.728789837566249	0.626094070636738	-0.726858059260911	-0.126002461230017	-0.647406325437963	0.618915480572444	1.44375135977101	-0.696067747036444	1.75986957074502	0.339687060319897	-0.556413081911251	-0.619344793527315	1.37818520994562	-0.569470283851469	-0.845638988716419	-0.644868140824569	-0.700269217831142	2.74089522731987
"PIK3CG"	-0.0668284303762587	-0.0464118579909125	-0.435394414366354	-0.964829641661463	-0.0362525071395851	-0.840166668419144	-0.744077733242731	-0.242631731913161	-0.790113348631467	1.28351758012546	0.610284457068773	-0.141310421263759	-0.362707036196477	-0.845224443404932	1.68240306894702	1.22329303149144	0.174992819835123	-0.579685091772195	0.583688739915726	0.34159276792789	-0.662015858967992	0.267440498765223	-0.821115920201491	-0.668424032903251	-0.612166896643734	-0.805995838057323	3.49813890907557
"PTGDS"	-0.305990419970957	-0.779983943557558	0.122107279598572	-1.04065390191574	-0.676792115184968	-1.18744225813752	-0.848435182720598	-0.264693502538087	0.370620334453107	1.68035432400899	-1.06030432462251	-0.768654498040742	0.151874202610055	0.777927552588414	0.892426215377425	-0.0603778490411479	0.898250926194082	2.46769414582067	-0.911521761429004	-1.14161167422768	-0.534114037267189	-0.247374168471169	1.47687419104176	-0.361609951790287	-0.776466072619325	0.399854900063917	1.72804158977749
"FLT3"	0.808266735290721	0.303085278619852	-0.306059461829547	-0.729817451371234	-0.607071493124676	-0.715339759371488	-0.736903358727167	-0.0593327614941996	-0.804917928315879	-0.561971741910677	0.3437920481591	-0.651794064274005	-0.472602111520124	-0.634972460486127	1.63707626985415	1.42537206501358	-0.757954131969317	0.008753483399492	0.148319741347595	-0.163879883865077	0.680631088295224	0.525009789774807	-0.573766685035674	-0.678648113097174	-0.534901846566597	-0.576343920025493	3.68597067322993
"GIMAP7"	0.876327221949912	-0.254848359725714	-0.541586188670735	-1.51671059531304	-0.255782734498497	-1.0481101790323	-1.07850182711321	0.251419218175231	-1.50158817084175	-0.784015695801473	0.853200469665578	-0.266777240502145	0.621237740294809	-1.14636839059465	2.21587682356913	1.73482029710753	0.814003205478815	0.289393945711734	0.400541866108038	-0.456850487934299	-0.0738755339727386	1.27095415719719	-0.617611955584143	-0.739212595461188	-0.164734814839952	-0.575833409202423	1.69463323383031
"DPEP2"	-0.0897338411886587	0.570910236331522	-0.216660868100834	-1.12958956306699	-0.482893114816242	-0.665400019922444	-0.775316458773087	0.0689566297705305	-1.03523901923685	-0.980829240860356	0.465178109605968	-0.717167531199495	0.908974310711849	0.653544044124921	1.41310159339201	1.3065984376834	2.75188375728151	0.217384167189838	-0.548894298290968	-0.765770018882147	-0.466227513543754	0.0207875179246506	-0.935809046562854	-0.522596071223981	-0.911155886990786	-0.269897260447187	2.13586094909044
"CD69"	0.103554865600467	1.5205983676378	-0.374959121957179	-0.854123204313302	-0.729035505097215	-0.71343514790289	-0.606079101524012	0.0345592538475894	-0.692206406240966	-0.630961576849595	0.551089374397526	-0.175893580061007	0.0590912634540805	-0.581264825397697	1.4702867260583	0.739183100262585	-0.0791755382384418	-0.216495752332914	-0.228722102355461	-0.441527183749705	0.236613326974723	0.222710625607783	-0.719162665253025	-0.644215060538396	-0.480522579163493	-0.659892048901291	3.88998449603573
"GIMAP1"	0.476726221096902	-0.361523804940273	-0.583513905204882	-1.27598019198698	0.0208740480482844	-1.14692174105064	-0.986214499025215	-0.113122975520319	-1.27990279694392	-0.914293560730378	0.968456844638914	-0.500735527068552	-0.192303179210094	-0.714980778984493	2.25442539052842	2.08957085039851	0.919720533709911	0.872158236416005	0.538211569151723	-0.373359080668316	-0.459364932062689	1.09192903954471	-0.426593980966039	-0.519851853718872	-0.562220027311063	-0.596013603647361	1.7748237055067
"CD300LF"	-0.612994588875536	0.843742573277949	0.490705831657543	-1.04414302515705	-0.464367654729728	-0.61794003852345	-0.825986235873702	-0.440866477802053	-1.08702271738942	-0.874067736035359	0.328189981834076	0.247888301124574	0.494836119808156	0.154238592347642	1.37849518815353	2.42636004635415	2.49791133849661	0.167853950408447	-0.397747784663028	-0.738960888469883	-0.829428645355277	0.0550254936041575	-0.653591163547892	-0.701992022198631	-0.777548218399671	-0.573999494994619	1.55540927494846
"S100Z"	-0.216728569267793	0.692051050479017	0.421693711729124	-0.697215335117064	-0.0132472076610525	-0.824108240558741	0.468359793774313	-0.824108240558741	-0.725293065943469	0.0575591688870108	1.06682331254271	0.025074192841369	-0.109832593133371	-0.290809027581395	-0.0298533238741327	4.14089162468267	-0.332709868191614	-0.824108240558741	0.412747959101763	0.338189868924136	-0.824108240558741	0.423111688807917	-0.824108240558741	-0.343316370383188	-0.824108240558741	-0.824108240558741	0.481260673294238
"HLA.DRB5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"P2RX1"	-0.0147128653857796	-0.433878647686917	-0.205039894958362	-1.0097717373692	-0.82739206564744	-0.825564356820864	-0.491479946492851	0.188531259513621	-0.58129666040761	2.95042243692583	0.0167083650179244	-0.634890792459947	-0.041379378436299	0.105104337374427	1.98726643739964	1.95224477310799	-0.0280754881415059	-0.633487384968664	-0.368425839145467	-0.442390749034229	-0.0689015802139051	-0.1975610415826	-0.618904108439556	-0.601087943715369	-0.868037768778235	-0.198154868526647	1.89015550887202
"TPSAB1"	1.79133507701321	-0.308774407928606	-0.623090785938789	-0.547208671490744	-0.599583692344366	-0.578976586362598	-0.154060855325374	0.514955192536443	-0.519300238966951	0.124263874065495	0.136328464601443	1.52262599431779	-0.505267423710678	-0.528592967487476	-0.552316324899352	1.22233177264339	0.0972380362664608	-0.389962421606304	-0.499876080282486	-0.614382568627335	3.72020105200857	-0.552069276560093	-0.544223509651008	-0.360089170585863	-0.623090785938789	-0.0657676261816019	-0.562646069564392
"CTD.2370N5.3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TPSB2"	1.29395128838058	-0.558526875301191	-0.734759059006472	-0.628555908417875	-0.755500014917487	-0.660749790988901	0.0455907672289231	1.49779945773695	-0.675039308330199	0.459981233807148	0.117553743360145	1.79106814057608	-0.603300823318744	-0.425104282202006	-0.640334310103559	2.21322004836314	0.155653601841226	-0.499031513337196	-0.690210698946353	-0.682236932061045	2.71471859283885	-0.537022879737629	-0.620911575550981	-0.46977154501883	-0.705425168621181	-0.314694630598295	-0.0883615576750922
"CPA3"	2.29713320925874	-0.206838150384729	-0.656237644605124	-0.419544356653011	-0.642314126216933	-0.647615342747501	-0.449330891364966	-0.0121409691027796	-0.321721384026907	0.935488983573166	0.725531508880195	0.978289239852861	-0.60993620736089	-0.576797478438408	-0.676221899033587	3.11644316666554	0.513216199958776	-0.655791308482271	-0.484932749572287	-0.679591546746118	1.60000767588423	-0.253328785555843	-0.677940313705799	-0.463999507373641	-0.667645684269856	-0.501569886765883	-0.562611751666976
"HDC"	1.90264524473519	-0.236463598842322	-0.535818914143312	-0.548840027681426	-0.51437802098552	-0.53507861521743	-0.543617597559436	0.481619599817017	-0.489284656010021	3.48429450920209	0.523524522866811	0.645803810915614	-0.508675888160126	-0.568507801077993	-0.508065958568241	1.59339938198796	-0.417168404173705	-0.568507801077993	-0.484488048193992	-0.544488649269927	1.30971317110098	-0.505896043915498	-0.515221386047564	-0.363903059330792	-0.568507801077993	-0.456876381341901	-0.527211587950461
"CD101"	-0.77728452468222	0.0668243652480142	-0.546066157688788	-1.34446835062783	-0.915077127717495	0.912937241993348	-0.702365531220523	-0.488112529229095	1.01955553917141	-1.23094826203618	0.727205040282699	-0.973876316669925	-0.54186444291349	-0.634436378020138	-1.06148333573799	1.60622934415271	0.687988583986732	1.78503016758203	1.03603984963577	0.0924346472242477	-0.0246402807700997	2.27143982479909	-0.635501233777626	0.361915759960839	-0.184045737621775	-1.21529255782567	0.70786240250195
"ADGRE1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
