"Pt22.baseline"	"Pt9.baseline"	"Pt29.baseline"	"Pt10.baseline"	"Pt27B.baseline"	"Pt32.baseline"	"Pt4.baseline"	"Pt6.baseline"	"Pt20.baseline"	"Pt38.baseline"	"Pt1.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt23.baseline"
"LMOD1"	1.05655299931474	0.194824761421261	0.155332527049973	0.153999593828237	0.0270402882348543	0.125099399976938	0.0962549686338924	0.0450882022623015	0.0488597593276726	0.11434789125545	0.472157135558508	0.145378731204046	0.198013303956314	0.14948498672818	0.289258843834355
"CHRDL1"	1.0872321739806	2.78471913145744	0.0347064957461557	0.0158495604973099	0.025219983741886	0.00183800512499073	0.0603370665055585	0.00989308427679452	0.0863375205306385	0.173654289861763	1.11977049489895	0.0294401743635936	0.0301081568740978	0.610168138722233	0.0136050831118735
"PGM5"	0.695922695260748	0.20503101970417	0.291578728617439	0.095266672961771	0.126547440266489	0.335642683585336	0.166099774144895	0.255900429654219	0.38667264986384	0.446222781730076	0.385797881615813	0.114769517649122	0.127228131800046	1.03948586809677	0.125970805199159
"SDPR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SYNM"	0.421067222346834	2.41711393870144	0.19863603061155	0.876368235751195	2.22035691750652	1.05907781163941	0.335593188902437	0.625603726479288	1.59267240756289	2.12752600345042	1.13729008981127	0.754466152807981	2.86326113252721	0.459097434133869	0.503330289814016
"PPP1R12B"	0.670763301087094	0.64991877098299	0.308321582450179	0.199222471489269	0.354675497140704	0.131207148641314	0.312820750406512	0.100502234295444	1.03503465420442	0.497636184557954	0.443312827242203	0.201752395340559	1.02846296681759	0.143059010016991	0.284084977519938
"FXYD1"	3.27420767872066	1.62299797732804	0.416341555063209	0.202453373786346	0.0867554738072816	0.902462344418846	3.68651437804278	0.12145431197792	0.334908223602767	0.922841185754575	1.40209452330428	0.519021505176942	1.33841515361729	0.573438280145376	0.635940618037899
"MYLK"	2.78392195861769	1.2833324143735	1.54394238176636	1.52497574378165	0.895467870750908	0.907853930515153	1.50643917877458	0.556245094034074	1.33878946284756	1.30843479218545	2.6626805198006	2.28881816091399	1.84269456552668	2.25802557326723	1.91275763580102
"SYNPO2"	1.81364672037492	0.521923436622566	0.342047529143785	0.209385639540608	0.0845465210338017	0.479010378732871	0.144118991901066	0.163323802881766	0.167914559029363	0.633846382852754	1.2077616322278	0.365305072411653	0.385233717215146	0.281979640726309	0.256933590486684
"MSRB3"	1.04462515630329	0.382293958598462	0.529277932706894	0.534196270009288	1.41549744799236	0.890213972310732	0.504952574620495	0.582630941776885	0.33895009892619	0.346245265360765	0.759301711171375	0.249390495843585	0.781859162952257	0.571071673339019	0.518739320328839
"PI16"	1.52842720709681	1.09487539884244	0.00153136518028233	0.0116751249593808	0.0488520854590636	0.00334210511499803	0.00221268264618353	0.00319101202138969	0.155938746959901	0.0283470196192697	3.18802236507319	0.0929574088270295	0.00264859160603802	0.399124381274564	0.0486042333219305
"FHL5"	0.733862767634974	0.0545822155798757	0.244462150766435	0.082994898931738	0.00995796133872383	0.0728869675585532	0.0206728826279504	0.0328494578205367	0.0107611129507424	0.0226546448386934	0.405483788226739	0.0313458793909575	0.0083766019949839	0.0567879794191372	0.172189221613368
"ABCA8"	3.80896733071253	3.86701184268865	2.90052711796275	1.12319960527953	6.99091650905136	5.86849037653953	3.01585171605066	0.377689249773981	0.640897501119452	2.19752280306573	3.4006691262622	2.80667254304277	5.88852715682854	2.15104280316957	0.197217432203075
"ASPA"	4.66543673231895	3.72590021964143	1.15192425004591	0.408730962120646	0.36802195419184	0.799252380483677	1.24655153825498	3.72563918418144	3.691995621596	2.44326399740707	4.19098388506343	1.63934786354131	5.00128578583481	1.15854176510633	0.671606642524791
"PDE2A"	0.848984832023989	0.391355042521442	0.154409310149712	0.325193007847546	0.115743741792655	0.212128003811373	0.075257446720992	0.168791932438039	0.176397455744762	0.16114387778001	0.421392304452237	0.184919295089176	0.185048786062985	1.11831977894518	0.474629696783219
"FIGF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYOCD"	0.0846829079980492	0.00766200694131343	0.00488195401501388	0.00311808944456298	0.000529860627721493	0.00104568159153562	0.00148301425787287	0.00205460498146662	0	0.00191212151485695	0.0119749891732605	0.00163556276985109	0.00271294926665512	0.00758577258467762	0.00772383980253219
"SCN7A"	0.432044611409981	0.488696106133262	4.2635165175361	1.60768954943086	0.0218156161585578	0	0.0471794159629402	0.107554612125102	0.115708443953095	0.0400673616809291	0.138226926760094	0.972666912643568	0.674872499268557	0.129475415880158	0.698035921825374
"DES"	1.42852238205587	0.636086386856087	0.296295422019273	0.240579623184837	0.12771233362561	1.42169143873398	0.073686134234557	0.0676025454289563	0.0315246671039374	0.629972696309478	0.959010442334163	0.0726617065385709	0.402473948498068	0.489185988381158	0.277240512338472
"CPED1"	0.27204730429475	0.0293564096462105	0.166865748310081	0.146175347567154	0.0370963877163052	0.30861560655064	0.129874484821073	0.101529339676001	0.433454806763527	0.0102605391604255	0.0971582482160632	0.0559496356871325	0.106098444359603	0.269388815424406	0.0537909394618998
"ACTG2"	5.09902297134102	2.08788439151299	1.11776384005173	2.93559406238486	0.186764949332737	2.21385248572559	3.07738438884278	1.78670021978177	0.321245979847818	0.457795228703263	4.19107417696775	1.46834255248098	1.38223764091607	2.46822907377671	1.9453846072459
"SVEP1"	0.18696809062723	0.046149571501389	0.0509667797026329	0.0877467918256399	0.0112813208035402	0.318377274276898	0.0316458944509832	0.0158150085286114	0.0306075310199542	0.0901914098659625	0.259249151816806	0.0543068025897009	0.0692484801698341	0.0697795676545136	0.0361188422941148
"KIAA0408"	0.0307328525518384	0.129399473966968	0.100074151003219	0.0291277158559656	1.20757978484628e-07	0.000103453897418835	4.03788301378441e-07	2.07033608788304e-07	0.0208236625867967	1.15128523371383e-06	0.026557776371176	0.00437903247819226	0.0340569318829417	0.00461908983928518	0.156539647880918
"ACTA2"	8.07100091451196	4.97946034067976	4.66491855309662	5.91823786220259	2.66258064786078	5.2166267106511	5.29538870442443	4.25986429741928	3.49268779694717	4.76434949537122	6.81703068185431	5.21652797486039	5.99503792962876	4.90914640224686	6.71063236866502
"F10"	0.119665605070275	0.125938544857783	0.082295951075974	0.0130679228237609	0.0167073975877737	0.0538178129357439	0.0232493311307848	0.0028205031475373	0.0415702743139225	0.0564014206225795	0.334828417677686	0.0180258940259324	0.00580709375080022	0.0365538735817629	0.0283309528669047
"NECAB1"	0.0759285631524333	0.0908411160841362	0.104382835912802	0.088707895727337	0.0218186511276198	0.0857062689175076	0.0392053481210152	0.00748226132822963	0.0773260603721238	0.0221649321789547	0.0740315362953547	0.0502447804049811	0.0722148431050196	0.0509941288945631	0.0819941600427608
"CFD"	1.26153983201872	1.92732213910517	0.664133628126929	0.150615566542278	0.211021778063176	0.660416120806507	0.366835558441775	0.324155549521051	1.52017551257937	0.227606141453129	2.31418785296237	0.428567323861066	0.355692200092263	1.17573933866994	1.81483622395519
