"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"IS01"	0.00196170946973927	5.22729501124818e-10	0.0011084383701357	0.00243127672500479	0.00417297000326484	0.00160317114298575	0.000110771069049766	0.000294482948598157	0.00221038461070581	0.00388465786693338	0.00268800210170958	0.0024112643812085	0.00448654304960435	0.00509376724054903	0.00449075010111901	0.00366679281467138
"IS02"	0.00109403699271907	0.00784978388942995	0.00108032609090014	0.000806052327427446	0.000733185614324572	1.12595103256707e-05	0.00130517514796701	0.00119709579993194	0.00209235542774998	0.00310720309288978	0.00143977995032477	2.54922941798289e-06	0.000639641056812644	0.000490388487153035	0.00165666030539628	0.0019930467249866
"IS03"	0.00194429210417645	0.00149147436561633	0.00407715666963338	0.00356149487798722	0.00248227733595698	0.00309156855502671	0.00241756875014423	0.00413091476033688	0.000246881305983644	0.0005485628259744	0.000960952512665072	0.000251185267945014	0.00159588959197506	0.00143279675404631	0.000192383782305851	0.000792040165806048
"IS04"	0.0036781893478265	0.00141074856015237	0.00101064081489857	0.00224261878063612	2.22044604925031e-16	2.71003834797532e-13	0.00238371335756455	0.000240854012249914	0.00520368949413589	0.00500531910300045	0.003748024565066	0.00321025685547148	0.00201568781117151	0.0016129954134842	0.00301800232205645	0.00274622565039663
"IS05"	0.00198141475108779	0.00877241041955864	0.00200570849016639	0.0016672616257977	0.0022817105671139	0.00556829044585914	0.00272803942889214	0.00344288421409438	0.000687827379937743	0.0006334213528885	8.26468648577924e-05	0.000985408272580536	0.000790726463951167	0.000802441804728676	3.48211023694831e-05	9.95702799638769e-06
"IS06"	0.00130971500686887	0.00146883863360454	0.00139221205302217	0.00231068176854969	0.00275743167470808	0.00368447991752349	0.00170338690651248	0.000896944257131655	0.00300660738034664	0.00217183794807727	0.00185250467457851	0.00264017601330827	0.00316241017776309	0.00320234566425468	0.00295019475631671	0.00187129840720296
"IS07"	2.22044604925031e-16	0.0148266619632665	0.0131012793523853	2.22044604925031e-16	0.00231383957032938	0.00281791964082181	2.22044604925031e-16	0.0240592551511032	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.000420913521839604
"IS08"	2.22044604925031e-16	0.000696367361252887	0.0023607861585852	0.00188679319520549	0.00168802748915789	0.000965209888886734	4.21416689213527e-13	0.00561851899296101	0.00101788526500958	0.000149165496873891	0.000246969007796318	0.00196827803857882	8.66301327007679e-05	0.00424558114179861	0.000685385768499309	0.00268272598206866
"IS09"	0.000529897036895666	0.00171182586315726	0.00343953530210461	0.000863457868880957	0.0051636034091664	0.00534127365806179	0.00159658094812998	0.00396302124212831	0.000876286299785905	9.25717977522182e-05	0.00215154656410435	0.00173523949961905	0.00131175239221729	0.00021582016967505	0.0019418711783435	0.00110471073672973
"IS10"	0.00331704404560657	0.000375414899085541	0.00206917632139083	0.00324284108840317	0.00280991039647089	0.00286729675115456	0.00324547130755832	0.00123221582593944	0.0033444762742215	0.00356040273926453	0.00369826923548833	0.00370664249237697	0.00295543780665785	0.00294824560819056	0.00343442740497269	0.00321287552459646
"IS11"	0.000575535061515352	0.013920646500998	0.000891797401180271	1.54885992633504e-07	2.22044604925031e-16	1.03788744653637e-10	0.00121959791347801	2.58181318684359e-12	3.56044351277571e-05	0.000958574797105198	0.00159882474431771	0.000575884013575941	0.00219240921477825	0.00120387917829394	0.000548255224883413	4.23121979917877e-06
"IS12"	0.00144646146398565	2.22044604925031e-16	5.88070686694025e-11	0.00447455197818919	0.00594782962973951	0.00493356350822936	0.00344649232837598	2.22044604925031e-16	0.00220153276784254	0.00131995508042519	0.00167729073860917	0.00180779404757809	0.00141805181790669	0.00159480740694145	0.000663271251304191	0.0010889055303939
"IS13"	0.00350835505286038	0.00177976117525437	0.00155917731806331	0.00232380085993257	0.00150773665267442	0.00160778713026944	0.00319948542811543	0.00184050516581934	0.00306727767306091	0.00348207299896792	0.00217544923664163	0.00240856522298986	0.00141552965171533	0.00151716606051505	0.00192581251762029	0.00265390237140404
