"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"MAGEB4"	0	0	0	0.000333535871278272	0	0	0	0	0	0	0	0	0	0	0.00100634563323829	0	0	0	0	0	0	0	0	0	0	0.001590067693269	0
"TRIP13"	0.344774592372296	0.128923492661751	0.669176205344106	0.493393016188057	0.234604194448129	1.34596590868813	0.419528056987377	0.29867095843426	0.597616758931116	0.446497688317772	0.153866545295733	1.26051744837316	0.597170212720106	0.309575506074523	0.146393486214275	0.285736367618572	0.728497834534872	0.729283523391628	0.539141558310316	0.308772915061325	0.297021881473275	0.456316954728561	0.875353978665964	0.248619447156967	0.447634395509451	0.671228455736656	0.351631442925371
"SCARB1"	1.39762981590813	3.71272248613465	3.02660126477456	4.29818666435577	3.74706005918955	5.14013649012608	2.09416268563779	1.6935345821205	3.7608606170704	2.41440547797847	0.866437325581896	2.62445182487129	3.63330346173584	5.10945797376111	3.26355624046611	2.31635601004532	3.5829918889512	3.96555907847946	3.6136112127649	3.57014083938227	1.06381656605928	3.06486605265182	3.77672924491874	1.2668445356867	4.23550972616059	3.23349329735488	2.21921403063323
"ZP4"	0.000580573171519503	0	0	0.0133556999871979	0.0188882614898895	0.0350539776280448	0	0	0.000565231535566701	0	0	0.0299458954697896	0	0	0	0	0	0.00475469580257526	0.0102223418450124	0.000777682916417349	0.00143063208770112	0	0	0	0	0	0
"BYSL"	5.60757366263437	5.31825001899131	6.2792176227725	6.91909833465114	5.29889918494301	5.2781651940771	6.01856015835222	5.41474554801217	5.01676494235426	5.20711093896445	5.24520220995115	6.27377226568373	6.14266454919911	6.30799769891999	5.82010409562703	5.71348014010677	5.84921936179765	7.4001024091678	5.30824451399427	5.213258446952	6.1127396036945	6.06060683727308	6.64289012656972	5.87686518877236	6.61434435139299	7.66076675514894	5.1424631732312
"LCTL"	0.252463164983317	0.0231580303961258	0.351142910385629	0.250006337815165	0.141053577501951	0.0562583126075309	0.0771304236506205	0.0821540665802278	0.362589902671647	0.18500251519025	0.384112808853462	0.150712177490169	0.120177315502613	0.116026490614409	0.0234644938222536	0.360149518519573	0.106059435860694	0.103181738184679	0.113915878964228	0.0930366116674582	0.0383932086101712	0.031121302409644	0.1356393688281	0.117509602324449	0.64806739342425	0.145241102300823	0.198597228162337
"CHI3L2"	0.262279864991813	0.0473312701032933	0.0399180594402061	0.0752745072512641	0.0447697631379754	0.0193104330799161	0.909211943935187	0.793450652875266	0.839125021237006	2.11226978430764	0.210921474760313	0.11725886763478	0.110025859220888	0.0936463157571232	0.706421235902094	0.247492815442289	0.0919332425244247	0.162384697884592	0.18967835766342	0.0638080490028363	4.78348118619043	0.363475687060665	0.0408840854846249	0.149025940491282	0.193492676482003	1.44557109176956	3.49468862952712
"MRPL2"	1.90982512509189	2.21906654187718	1.96796802436629	3.05928960771473	1.58197471574856	2.15100977056615	2.26677142203939	2.49124590809446	1.60634147388084	1.35003276959937	1.72372562072877	2.22417528606485	2.98081899590104	3.14967265897806	2.27736170604628	1.91272354172068	2.51205305438619	4.25218378455917	1.58182740893984	1.44088333230563	2.39767361846486	2.38941260141198	3.17188991862704	2.06846090783463	2.59464845396844	3.48268635226543	1.69603696129671
"SLC39A12"	0.00828373440754073	0.00446949291394382	0	0	0.0068992257964189	0.0157145235480149	0	0.00165601434372952	0.000974197046237587	0.00139955065110221	0	0.00927022633077574	0.0070075799642567	0	0.00336743558281887	0.00375428172753696	0.027745930309956	0	0	0	0.00375023469344346	0.00498115805003889	0.0100651918946676	0	0	0	0
"TEX37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OPN3"	1.90985637777795	0.727239626950117	2.16295923765905	0.824513750843003	0.919521379737752	1.26293794044699	1.58029469632287	0.939650960984724	0.489161548544509	0.883188086058282	3.89422460666844	0.331269253939133	1.85462386700827	2.00155868406322	0.35154481491399	2.38969558907855	1.39124098035459	1.30822861324562	0.888415491697382	1.0410237541119	0.499723369634348	0.480976208191571	2.74733979086713	1.67152480236668	1.87221781413592	0.717601569078628	1.52396738579472
"ART3"	0.934283723169714	2.08879913245405	4.99005212110268	2.15990128839372	0.454057768930963	0	1.22855376568192	4.80555978763997	7.71084352423983	2.05716380493706	4.34410928098744	1.42254753281454	0.924814721886926	2.75419452923053	1.36391627627603	3.63352812038536	0.515758752054159	1.16722996568085	2.68080862229235	1.95370498266907	0.468559516478543	0.172566256008947	0	4.53417387405865	1.21781794961695	1.24263394215444	1.03485396983317
"RRAS2"	0.316679049658977	0.388609176692206	0.480296118550018	0.943982029428745	0.621653886818807	0.284831683781794	0.248330022337864	0.300089105165823	0.408031291570499	0.0483558742959311	0.397191274973735	1.13631526354117	0.292630132305096	0.250230996205287	0.645455090631534	0.296496578886373	0.201445913982215	0.285971378070113	0.433604800913153	0.455228612201217	0.501694951568817	0.626024271547189	0.255736866796044	0.136125617828612	0.251127352093902	0.490711854102658	0.751135611294868
