"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"MAGEB4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TRIP13"	0.645353983031266	0.248457733102626	-1.36692654063338	-1.13507725118074	-0.0284941199391653	-0.160974660341566	-1.40422646012251	-2.12801272997747	1.3074370334697	1.35269708151973	0.355239682707829	0.519312481234183	0.632057456834639	0.567756683192374	0.254530048605737	0.340869578496738
"SCARB1"	-0.448826393454097	1.2574151350909	1.90434923485783	-0.407670383275089	-1.33567616820503	-1.63846461262011	-0.640382498525323	1.90469428715244	-0.278060957832484	-0.108203713907132	-0.390847253598681	-0.171168164734897	-0.0383326672041059	-0.437046579699789	0.177854409684529	0.650366326271059
"ZP4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"BYSL"	0.325425862317385	1.34231601430568	-0.00132829845283234	-0.895135890565862	-1.76298572191709	-2.13708955716684	-0.772255193893068	0.695515519566155	1.02038016228461	0.91062553391217	0.313122924341089	0.435217517588944	-0.506757938281701	-0.339507813264849	0.507535340246824	0.864921538979389
"LCTL"	0.693158183395914	-0.174886265949732	-1.45144722268281	-0.891583448092764	0.680124871346649	0.393160496273977	-0.546768186356761	-1.10103459706462	-1.24898721793114	2.00340045242282	-0.0405031752484841	0.644193538846032	1.18488436478066	0.879722276178727	0.107625211607971	-1.13105928152644
"CHI3L2"	-0.131380113027853	-1.2921121620965	0.246068398984641	1.37550900009981	0.525990009206945	-0.587634696926534	0.599232602198543	0.596815582793841	-1.24234503325053	-0.146698705362607	-1.34076143647739	-0.782015606604893	-0.247945326612332	0.883115754106196	2.18905701354368	-0.644895280575008
"MRPL2"	-0.506852354281539	1.87725206899379	1.25606691148358	-0.885478444121703	0.0465532114764384	0.19041635037229	-0.738782046325894	2.44720378522225	-0.592057805723095	-0.654048063368865	-0.452995079804367	-0.573113060180683	-0.783283522411683	-0.308290649445975	-0.486591763190909	0.164000461306365
"SLC39A12"	-0.409752257250703	-0.409752257250703	3.27055265085888	-0.409752257250703	-0.409752257250703	-0.409752257250703	-0.409752257250703	-0.409752257250703	-0.409752257250703	-0.409752257250703	-0.409752257250703	0.969840752595007	1.08638594080524	-0.409752257250703	-0.409752257250703	-0.409752257250703
"TEX37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OPN3"	-0.180309447456788	-2.0199735975612	-0.366956346638278	0.0459437702657991	0.442383098066948	-0.794035869659325	-0.428186948869422	-2.20168736916112	0.6604453316767	0.757430587067116	1.19494166380107	0.158639516507288	1.04980437701899	0.538008932132373	0.132959393893645	1.01059290891622
"ART3"	-0.284851422997225	-0.158339240169514	-0.948692335669208	2.0218304091178	0.0827971568625352	-0.182179534237302	-0.233299068132044	-0.948692335669208	-0.350681456251869	-0.948692335669208	1.08246076052447	-0.322080220979227	1.69511238383942	1.392691910769	-0.948692335669208	-0.948692335669208
