"Pt38.baseline"	"Pt23.baseline"	"Pt20.baseline"	"Pt27A.baseline"	"Pt29.baseline"	"Pt13.baseline"	"Pt22.baseline"	"Pt1.baseline"	"Pt32.baseline"	"Pt14.baseline"	"Pt2.baseline"	"Pt6.baseline"	"Pt9.baseline"
"IL16"	1.65415988864783	0.266617347374126	0.802206969150028	0.271040067072172	0.363439099036716	0.313881247050242	0.52142332709304	0.605943650516508	0.1052273752051	0.096099070140109	0.242865407205219	0.303059778983493	0.243999124490653
"GAPT"	0.829814011752499	0.111023181794581	0.0697231627128171	0.0962136529387713	0.0454163330376755	0.150505000847323	0.176051118732439	0.0557391732335992	0.0363933158132335	0.0294585358994626	0.201867888927741	0.09167519257763	0.0355584048027481
"CLECL1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"SASH3"	2.43856706143436	0.673817482579489	1.36100133673735	0.540326903587219	0.492658330986709	0.597726954307401	0.697182396601042	0.347327049471057	0.194075638088976	0.323673951424664	0.350181157257656	0.275040993930512	0.317252787016731
"ARHGAP25"	7.08453924801598	4.84255453916873	5.75309343028244	4.07217821934019	4.41980101248965	4.45628614343347	5.09716874672695	3.95164684649312	4.83345554529168	3.57167814217212	4.10807325538466	3.28779777672044	3.70560151059866
"ARHGAP15"	7.30389018545271	4.89527013440471	5.58183824153704	4.45458732915366	5.03054031572291	4.70053364745699	5.49167265038722	4.40635530234443	3.31366861826649	2.90530566583859	4.32615201443984	3.25126454125623	3.83855726994854
"SP140"	2.91087325849606	0.533019388348392	1.12435461538138	0.312141768792468	0.500406607281626	0.656878074298101	0.716879201108216	0.372596212788152	0.176018734140311	0.433156105890639	0.292270100831369	0.311230019832676	0.403960139402623
"TNFSF8"	1.24419978156648	0.555198039532592	0.552494733466442	0.262573816480494	0.375615607305332	0.536894393693734	0.887741534618852	0.321445233012716	0.157757096756312	0.653523036775249	0.280241122785355	0.315856496399555	0.181336954641776
"PTPRC"	3.33915434774762	1.33850742166334	2.61466537015135	1.50736918703399	2.14322040715054	1.8690080757326	2.26519210463673	1.25581953882305	0.267525334654641	0.941511892840929	1.53820676319618	1.12886391698671	0.950969477815178
"CYTIP"	3.44707402919839	1.33623322293007	2.26315643894716	1.13084942383368	1.12210107538868	1.41523719674251	2.15762443334556	1.13501263988748	0.299968864086542	0.502012798422546	1.07125000375458	0.491451317129374	0.593616785646155
"WDFY4"	2.66893414631144	0.391333785783222	0.49054831273454	0.485204001576063	0.351435742135804	0.481414413833644	0.609298887376715	0.333067643455298	0.0719548993558622	0.173060914586029	0.333002435302627	0.288657726157343	0.130602283242712
"RCSD1"	3.04518000339542	1.21676035660231	1.56438241476812	1.03422926582748	1.09331823141252	1.1522371627197	1.49891042337716	0.764039645956048	0.356387341489777	0.505240760468797	0.815613580058838	0.709026755032747	0.508342069393474
"CD180"	2.11122209007822	0.530543030656873	0.749463345980489	0.411854972670641	0.494316899570841	0.399386850514974	0.858106747799952	0.351011180625072	0.0578034335149241	0.295562135948916	0.500214325507778	0.325597470862515	0.189440389818761
"KLHL6"	0.956589161971768	0.386279618055552	0.383297762936267	0.0938444471761922	1.76368779051672	0.160006593657368	0.482657339273192	0.159279805399216	0.0318809969006721	0.120523453450179	0.131227307401418	0.0983037602045164	0.0712030719748997
"CD52"	7.50014003293696	4.55816984720271	6.04964265869701	2.72941956253033	3.59774126312512	3.64982682956541	4.77307847088891	3.89252407541676	2.07080186294384	2.13982865451182	3.26873273071742	1.13650947828722	3.70636680564932
"BTK"	7.30399015229888	4.90227970116438	4.93751673540883	4.00900398923984	4.53751392186318	4.492939112532	5.38671741390604	3.81237320563525	2.33363665521408	3.38176045746734	4.00172813225631	3.61906908101422	3.24733099892425
"PTPN7"	1.31918338273046	0.229851617004021	1.16118946213256	0.268010700274579	0.335166439840271	0.393419286415712	0.375928330699672	0.183630108358228	0.0817628523821326	0.132366478494703	0.139440531099269	0.0567388235844537	0.244742487958996
"WAS"	3.47146968012255	1.58822779562779	2.23012594074955	1.58398682045327	1.05239055568241	1.75661261334871	1.93459156767107	0.880502538069439	0.790426179472002	0.777915429119592	0.922246366414025	0.801504986400619	0.950845756842444
"DOCK2"	0.697329795319402	0.174337779103918	0.333929680738116	0.241087712914136	0.192011827842012	0.228237593623615	0.338175864949904	0.131995371884063	0.0357026439819006	0.106401852435715	0.12290559219964	0.121810216616297	0.133826093012258
"LILRA4"	1.61344485758824	0.187613422543842	0.136161997461684	0.0910236708958424	0.0640487622849742	0.150214692901615	0.158158541064121	0.0669540224444314	0	0.0351185580239585	0.139624227671785	0.00193817663312727	0.0678612420237492
"EVI2B"	3.31009276403163	1.87777334988521	2.62865096424198	1.68026934256599	1.9548565884072	2.02854999423207	2.93399993594119	1.57960531555987	0.532890720709843	0.929475196340466	1.71378173429927	2.0600551370714	1.00238754531692
"IL7R"	1.01532950853084	0.133142111088893	0.312044443156939	0.0943063081720454	0.296492331860668	0.493120057388125	0.508414353028262	0.344573952412608	0.314184909405916	0.263597936368133	0.224083976116615	0.152473928159032	0.170731096006552
"IL21R"	1.19913809196628	0.108477066137489	0.828813534337128	0.151856919043165	0.219130569459753	0.352413591595025	0.198758818570407	0.115117882183189	0.285198098079563	0.222185612155408	0.264092765336113	0.0284857326419541	0.219991638460084
"ARHGAP30"	8.57631104121375	6.13851844767438	7.35922324188549	6.26256085363517	5.93766289604235	6.30088649164514	6.82134796818978	5.29354257939838	5.20644943637147	6.05656544567537	5.18045534267206	5.18284569353515	5.20347327002798
"SNX20"	1.71143552235429	0.467642563038283	1.05472536588311	0.660309965832387	0.498650843559881	0.790863251947098	0.791074375420706	0.404745443771582	0.112640519832516	0.320952032208992	0.537668555476976	0.16791762318274	0.295766239153426
"BIN2"	1.99090932736046	0.972988489989582	1.68647808504444	0.863416984323122	0.930970336468314	0.894738966479582	1.32277392754921	0.703807769338612	0.313731792362091	0.506899733187572	0.719623078725087	0.553335419191767	0.538930408531343
"ITGAL"	2.81721147813177	0.803392905152631	2.43668436161082	1.18748828539887	1.0951901618176	1.0509874924437	1.49178772845931	0.767133116106244	0.292477340492425	0.644769922553388	0.979344500985701	0.256672293033921	0.710826258914771
"FGD2"	1.69615876962287	0.712935098218592	0.88628656520111	0.537786200524121	0.651374629153039	0.469135802857438	0.892654499657414	0.358069776150772	0.0924260011734841	0.36219769278474	0.381834097697881	0.254930551860338	0.278364935245066
