"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	6.50291865266474e-06	0.128857168628666	0.040919175246118	0.042302701574752	0.0796371378046353	0.134065466762153	1.10649257740546e-14	0.0773654775502595	0.258467990418015	0.145204383044301	0.0494828792453711	0.330602205385873	0.0178940992848276	0.0256048375915679	0.0635894428850296	0.0047958401245722	0.0245295958202029	0.001137687385334	0.0166937117982574	0.0341622547710147	0.21069098407361	0.0317608327186248	0.113651934945075	0.0763527651152492	0.0896814935101298	0.0809315322685215	0.0856329893635768
"IS02"	0.0318707139698581	0.011178414975004	0.0177334901299276	0.0224888701680079	1.84741954055145e-14	0.0129921946016588	1.10649257740546e-14	0.0115466396470018	7.14767084267486e-15	0.0294820592386381	0.0810510400810737	7.21654078309172e-15	1.10627511381464e-14	7.0120943036402e-15	0.18390846737042	0.196479513228443	0.000951254054745175	0.00287841618134145	0.0497828317388123	0.00967639512518411	0.047963309279307	0.05223746519677	7.7279028558005e-15	0.00742513603415505	1.06282181042835e-14	0.00404186021010925	0.627166525761747
"IS03"	0.134923636499364	0.00510925978516922	0.0204400442958433	0.0359777184017844	0.0845189280171351	0.0573244596104028	0.128728587526376	0.00880723885653958	0.185978591538718	0.203232532856728	0.136242621460022	0.123529868454754	0.0525469349920679	0.111111804148992	0.00447451626532436	0.151820480349196	0.0774093989654824	7.38995019259554e-15	0.0194490611084206	0.0265190253589653	8.56725036564615e-15	7.35017679389426e-15	0.137533759826019	0.231732393238813	0.0098977341734875	7.76218066449001e-15	4.85477822861636e-15
"IS04"	0.133159622842332	0.15441902163415	0.163990758849982	0.263641768169591	0.230979514745972	0.148243326701652	0.056978812488192	0.0320835283796538	0.0305051699727823	0.0381602530800516	0.0250147542693194	0.134729935173747	0.0618179499271285	7.0120943036402e-15	0.00159066503601705	0.0198428397232101	0.00527887081291725	0.0579366120239538	0.102864374439083	0.160218580677378	0.0665991014889307	0.0627891398860878	7.7279028558005e-15	7.66956458412713e-15	0.281067498535488	0.053080685505212	4.85477822861636e-15
"IS05"	0.0805815258384445	0.0724726482135182	1.10964221186706e-14	0.0125441337269336	0.0179828672376859	7.73674592816638e-15	1.10649257740546e-14	0.0150023420036963	7.14767084267486e-15	7.73442762070553e-15	0.0915417447399429	0.0449396342321564	0.119471965597206	7.0120943036402e-15	0.550977629771785	0.181531608555727	0.0792378452070308	0.130727017816311	0.227958306020391	0.0524868869287162	8.56725036564615e-15	0.240718899127961	7.7279028558005e-15	0.00174741399976508	1.06282181042835e-14	7.76218066449001e-15	0.0175879720772419
"IS06"	0.306397773307141	0.144457975754144	0.0512618189432535	5.67998835686626e-12	0.0191508922571381	8.55042774484188e-14	0.0385389907826831	0.176791176027913	0.0674049115823783	0.0199610851155384	0.0839047641782944	0.0911803348084671	1.10627511381464e-14	7.0120943036402e-15	1.24245218820498e-11	0.198002908244636	0.0802368482693591	0.0809042331558891	0.0583914246242302	0.0402057751392621	0.0368772006101566	0.138491334440662	0.0130947670783978	0.0545493151080844	0.0158129608585817	7.76218066449001e-15	9.18972648328289e-09
"IS07"	1.06224277547087e-14	6.8203962391275e-15	1.10964221186706e-14	7.47196656365069e-15	7.55947381719281e-15	0.0599856795409127	0.236582054856795	0.0444479757386105	7.14767084267486e-15	0.000143662873367156	6.42219547742484e-15	0.0488825100648865	0.319516749078193	0.424974667264018	0.0022084566478615	5.51625701595931e-15	0.11060231553439	0.489530903908686	1.05608387085873e-14	1.08388872378794e-14	0.0286172355210741	7.35017679389426e-15	0.453391919263543	0.0984310527352909	0.0171714452196491	0.268336518234479	4.35544551767545e-09
"IS08"	1.06224277547087e-14	0.121098035020056	0.0726459288303979	7.47196656365069e-15	0.172616487026233	0.0202331231796159	0.075177727826446	1.06337948502458e-14	7.14767084267486e-15	7.73442762070553e-15	0.0760589804224123	0.0190610283896813	0.0902437132782294	0.190468937031086	0.00777036749634051	0.00863976668660666	0.390724904775732	0.116928242550466	0.0522127226072554	0.0431363669490655	8.56725036564615e-15	0.196871974245097	8.21371257339594e-09	7.66956458412713e-15	0.000990811161184326	0.00282502729246162	4.85477822861636e-15
"IS09"	0.045389334107329	0.137355403654833	0.137904214795499	0.0521777311898656	0.0677469623460732	0.124997126734504	0.0572128367233741	0.256274956417557	0.0510867936691479	0.127893152542796	0.0115847291681533	0.0187491190762854	0.146833018784565	0.0969475447529476	0.0127501643843762	5.51625701595931e-15	0.0172142494322094	0.0592874415749924	0.0373885182274149	0.0702767125394182	0.00330814115795149	0.0907105421468274	0.0114886091425792	0.148442983404323	0.0155417775810905	0.102410018305956	0.0421912635661344
"IS10"	0.0699946948068668	0.0197613694310319	0.135423920618403	0.41490539553608	0.0836565327166447	0.287892847174838	0.166340072378155	0.155324476663634	0.287876025232111	0.207234410683824	0.00392420060150912	0.0352512377570893	0.0327195580873737	0.0846582587255407	6.00638362074579e-15	5.51625701595931e-15	5.99659867835015e-15	0.0289695898691603	1.05608387085873e-14	0.061549516493358	0.302265581696658	0.00204291553158537	0.170341980622439	0.227487824277037	0.316095664238784	0.239258892549065	0.0161930518984216
"IS11"	0.0364140013473158	0.0446831513728348	0.0584710796369734	7.47196656365069e-15	0.10569443329082	7.73674592816638e-15	0.143547185515265	1.06337948502458e-14	7.14767084267486e-15	0.0435073627270245	0.357925013423875	0.100797240484212	1.10627511381464e-14	7.0120943036402e-15	0.0284642800359908	0.198961670800965	0.211049312588675	7.38995019259554e-15	0.137677331541886	0.0549470187519389	8.56725036564615e-15	1.66070638935322e-14	0.0444568138230316	7.66956458412713e-15	0.00711504729207281	7.76218066449001e-15	4.85477822861636e-15
"IS12"	0.15920962339235	0.0692374339783943	0.0933577102654847	0.00773278666852589	0.0576997364075467	0.000410156907567976	0.000121459672150532	0.190705710395413	0.0893146260879406	0.142662277611603	0.0832291733592973	0.0219198228562843	0.00705710747665306	1.12173858324388e-13	0.0809646346684922	0.0382912185252281	5.99659867835015e-15	0.00762819593565483	0.189685073303217	0.199925115611731	0.164194149633661	0.121040025354838	0.00377955013050842	0.142786009118195	0.118058783487287	2.24225618719721e-11	0.150197167657079
"IS13"	0.00205257097032568	0.0913701175521912	0.207851858388096	0.148228894558758	0.0803165081500893	0.153855618786594	0.0967722722305307	0.0316504783197007	0.0293658914988714	0.042518820226113	4.00990507226702e-05	0.0303570633165563	0.151898903493722	0.0662339504857007	0.063301375425932	0.00163415376139854	0.00276540453924376	0.0240716595981966	0.107896644591012	0.246896351653957	0.139484296538617	0.0633368713515155	0.0522606569546716	0.0110451069690647	0.128566783942224	0.249115465611741	0.0610310161306076
