"CAF07_1"	"CAF07_2"	"CAF07_3"	"CAF07_4"	"CAF07_5"	"CAF07_6"	"CAF07_7"	"CAF07_8"	"CAF09_1"	"CAF09_2"	"CAF09_3"	"CAF09_4"	"CAF09_5"	"CAF09_6"	"CAF09_7"	"CAF09_8"
"IS01"	2.22044604925031e-16	0.00759560681866722	0.00369201206094176	2.22044604925031e-16	0.00548342418032788	0.00621829644270007	8.13054014984261e-05	0.0112351645200307	2.22044604925031e-16	2.22044604925031e-16	0.000327873818498973	0.000805852516020027	3.26386344357255e-06	0.000811368747777482	2.22044604925031e-16	8.44699680757536e-05
"IS02"	0.00189513907269066	0.00233894870175826	2.22044604925031e-16	0.000305479795813251	0.000321469488694762	0.000301469945312991	0.000338086248266839	2.22044604925031e-16	0.000163346431234745	2.22044604925031e-16	0.00257779379028503	0.00386969711612838	0.00282625112171255	0.0015438500871061	0.00215507262780667	0.00252376765522843
"IS03"	0.00291243914568786	0.00358135143793987	0.00368373436443223	0.00209243170070063	0.00181761295280841	0.00149933111999375	0.000802531582973981	0.00475455963386301	0.00039416167264953	2.22044604925031e-16	0.00360206912068352	2.22044604925031e-16	0.000900886385216423	0.00184038824747102	0.00333385551410838	0.000874762534868222
"IS04"	0.00027410619680432	0.00811107003668667	0.00552852291139088	0.000267048087142761	0.000483641878772081	0.00155066438103761	0.00362224602002118	0.00432118241327293	0.00110609610918529	0.000744270976805348	2.22044604925031e-16	2.22044604925031e-16	0.00172076172163453	2.22044604925031e-16	0.00179342925942334	0.000463514560011826
"IS05"	0.000515004639384916	0.000968544919500949	0.00511492098399345	0.00317968459436253	0.00386658226544735	0.00396079484134843	0.00207758770804335	0.00544482513377684	0.000185763503846006	6.22300054175632e-14	0.000471331412377893	0.000506749947183712	0.000397852520842999	2.22044604925031e-16	0.000566230210766038	0.00053098690552557
"IS06"	3.73914967046598e-06	0.0039963321231246	0.00406118961150355	0.00135199901316396	0.00417145786561488	0.0041442308623829	0.00219861764823095	0.00667093429452643	0.000434914964244777	0.00101019761854426	0.000688168105556166	0.00052495581218366	0.00311226408086378	0.00286371844681686	0.000488498561098587	0.00131828329464685
"IS07"	0.00472730389459379	2.22044604925031e-16	0.000548474021301576	0.00383667824313903	0.00230386181280996	0.000939188100889816	0.00170783194316556	0.00126158528973334	0.00663941535145679	0.00683969951977545	0.0040126205826857	0.00458985458650159	0.00314247890294102	0.00425699842352214	0.00363159387547504	0.00340197488169815
"IS08"	2.22044604925031e-16	0.00115491398431471	2.22044604925031e-16	1.68181462600097e-13	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	0.00363834156702511	2.22044604925031e-16	0.00525545932186804	2.22044604925031e-16	2.22044604925031e-16	0.00111991605222811	0.000749355034337933	0.00354104835795195	2.22044604925031e-16
"IS09"	0.00419181433618561	0.00646929031019833	0.00255205025212206	0.00242285436751742	0.00292562130363032	0.00534462846951331	0.000889492075773205	0.000214701261174003	0.00104273710247407	0.000397481787325932	0.000160865308535442	0.000698774525171522	0.00202678145723588	0.000670017204137069	0.000112500884663523	0.00134937164795424
"IS10"	0.000488166539393185	0.00124094117609264	1.49191640377504e-05	0.00162618041299607	0.00225202162405769	0.00201246111853673	0.00422368165690639	2.22044604925031e-16	0.00130452399251624	0.000808070432454776	0.00450346722826561	0.000665611945546927	0.00162709874257454	0.00027762586951753	0.00132534078777343	0.00180094542328242
