"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"RP13.512J5.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NPFF"	0.113624159536374	0.119625115332732	0.013962406293997	0.0136778183737515	0.0290009899442843	0.462795221202247	0.308005024943288	0.304877131103991	0.0789497151331577	0.191497432781253	0.172357214590937	0.15035020887103	0.176847310112842	0	0.240792993449939	0.0742597693623417	0.20015645737726	0.283289905682926	0.141379577673604	0.246648399643125	0.451865425575885	0.102132094402578	0.0437058659124088	0.734861546599604	0.124615033229578	0.218706587768376	0.328792362418778
"DNAAF1"	0.000349764264179047	0.00548425862739267	0.00255676083103266	0.00674044095008819	0.000343553084320654	0.00660763288172202	0.0038750465022124	0.000455217416156886	0.00200330247034281	0	0.00230430795939767	0.000373291520683626	0.00380595085544223	0.00313533309249416	0.000976527219077141	0.00570011164261613	0.000646433113263747	0.00629649213153012	0.00495007714653793	0.00610112165588872	0.00218402994646585	0.00963284933576461	0.0100757011913443	0	0.00174999970382471	0.0128932373544096	0.00914318295497989
"SPHAR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"H2AFB3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDIA2"	0.00655601953587391	0	0.0588014102279819	0.00247644813068652	0.00205117108071085	0	0.0809970524216525	0.0389843458920374	1.25525166732572	0.361260076209929	0.132546430841911	0.00775325983020869	0.0689527067128477	0.0469206592509582	0	0.0669112617381717	0.0135793388850731	0.395969989813776	0	0	0	0.011300621953243	0.0840420166957335	0.109103434864604	0.0124201630792401	0	0.0131325221648774
"RNASEK.C17orf49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C7orf61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FTCD"	0.00454764218661313	3.54603104567109	0.0215936633317033	0	0	0.0178158699102552	0.0195449123135711	0.0499715290143283	0.0359615654229136	0.00519185116951531	0.00679102742871945	0.00188657986311038	0.0294005928391645	0	0	0.00153322590291021	0.0104835439781784	0.0526185821857183	0	0.00279980052229197	0.286826644421304	0.0153796727953134	0	0.200995564734593	0	0.0259516743339479	0.0188590584997635
"LCAT"	0.0825624073243179	1.28354838376932	0.104627810302601	0.0427555267898077	0.0856225067837425	0.242877299020369	0.184578315807102	0.112459073517791	0.143369827950647	0.17357103568181	0.352526525528593	0.204987690323499	0.154482393212019	0.176490503635018	0.17827330280905	0.148985440710835	0.260093336213179	0.200545798129454	0.17596703876162	0.19483527244632	0.351402389768159	0.158761534127215	0.104850525453979	0.456451451862904	0.0463096558846937	0.0503858977647128	0.11765211450576
"TEX40"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC22A1"	0.0164791786122302	3.29875907220061	0.00857732894939921	0.0115961241947573	0.00885003667384845	0.0578939910033156	0.020584154854214	0.0149524730559551	0.0113928498041697	0.0215330004892123	0.0039680056947965	0.0172760400353716	0.0394190616122639	0.0117689971051238	0.0157610533449751	0.0182681132345851	0.0307558742829348	0.0212658498592584	0.00367264416491583	0.00255823856252465	0.230220593763016	0.0106915354820614	0.0189826361133904	0.0066282087192489	0.0545163510483021	0.0127580918022747	0.0098581599666224
"UTF1"	0.00576057316649069	0	0.00278321695426714	0	0	0	0	0	0	0	0.00322929160464294	0.0130242590436126	0	0	0.0226478434799279	0.00824525510447327	0	0	0.0553532982027237	0.0550307976977494	0.0108142340619096	0	0.0327765048308341	0.0406957082807791	0	0	0.0434554073888498
