"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"RP13.512J5.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NPFF"	-0.510374180989232	-0.47376657131906	-1.11834042595913	-1.12007649665432	-1.02660060667966	1.61967282607954	0.675406732858766	0.656325653003416	-0.721898572989163	-0.0353241243936813	-0.152085130521785	-0.286334390596748	-0.124694216503142	-1.20351524427344	0.265393412057239	-0.750508632782723	0.0174984930845975	0.524637177218273	-0.341057900736544	0.3011131259919	1.55299783202152	-0.580479185758233	-0.936896503207321	3.2793580799835	-0.44332659261353	0.130659788673698	0.802215655005258
"DNAAF1"	-1.03317015992481	0.414458104553714	-0.410925712122027	0.768628331850279	-1.03492135076907	0.73118419423566	-0.0392459588186482	-1.00343851497936	-0.566968724241551	-1.13178330445521	-0.482102713512061	-1.0265368443357	-0.0587269055567655	-0.247802043171166	-0.856459523111356	0.475316078816796	-0.949526829005552	0.643460630366181	0.263850049437976	0.588377538911372	-0.516014105520376	1.58411897909275	1.70897740092819	-1.13178330445521	-0.63838534647204	2.50335844360031	1.44606158865767
"SPHAR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"H2AFB3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PDIA2"	-0.382328438531682	-0.408438382066035	-0.174256422663397	-0.398575702355555	-0.40026940685118	-0.408438382066035	-0.0858602607522983	-0.253179682119362	4.5907154453345	1.03031269844	0.119439822998065	-0.377560320268599	-0.133827961983866	-0.221572593010112	-0.408438382066035	-0.141958202097644	-0.354357431028137	1.16854808338961	-0.408438382066035	-0.408438382066035	-0.408438382066035	-0.363432628271723	-0.0737334138407935	0.026075961299024	-0.358973954006916	-0.408438382066035	-0.356136919217682
"RNASEK.C17orf49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C7orf61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FTCD"	-0.230636252466586	4.98122326867768	-0.205550304720719	-0.237328835638298	-0.237328835638298	-0.211109932246608	-0.208565369676212	-0.163787734464927	-0.18440563770371	-0.229688195864699	-0.227334752105985	-0.234552431487349	-0.194061158719264	-0.237328835638298	-0.237328835638298	-0.235072448381962	-0.221900623142866	-0.159892172153182	-0.237328835638298	-0.233208481157727	0.184782468391589	-0.214695186131012	-0.237328835638298	0.0584683003129988	-0.237328835638298	-0.199136794180771	-0.209574713310603
"LCAT"	-0.562529329791428	4.56163123094132	-0.468384460562663	-0.732370486375556	-0.549473023332031	0.12147469809796	-0.127265384110591	-0.434971372570764	-0.303086677933293	-0.17422935521866	0.58930717325428	-0.0401861725150377	-0.255673494301085	-0.161773071100808	-0.154166529980053	-0.279126946517208	0.194929126813801	-0.059138074737182	-0.164006501059031	-0.0835027643009881	0.584510903987611	-0.237415991264815	-0.467434217830982	1.03271618821684	-0.717206339172375	-0.699814530868811	-0.41281459776846
"TEX40"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SLC22A1"	-0.20734218219961	4.99207148359678	-0.219859391716765	-0.215077360396518	-0.219427399225193	-0.14173755721524	-0.200839546756474	-0.209760615115233	-0.215399364515177	-0.199336493658845	-0.227160956207615	-0.206079885165977	-0.171003434430068	-0.214803514837411	-0.20847975439009	-0.204508355888558	-0.184726668294875	-0.199759683234762	-0.227628834275482	-0.229394148601549	0.131242603653825	-0.216510306722608	-0.203376490191229	-0.222946965808396	-0.147088029420411	-0.213236703763444	-0.217830445219078
"UTF1"	-0.284381825651153	-0.604248545451531	-0.449705160284084	-0.604248545451531	-0.604248545451531	-0.604248545451531	-0.604248545451531	-0.604248545451531	-0.604248545451531	-0.604248545451531	-0.424936021679648	0.118948070181197	-0.604248545451531	-0.604248545451531	0.653315796690155	-0.146415161869691	-0.604248545451531	-0.604248545451531	2.46934802463137	2.45144057416096	-0.00376774665563233	-0.604248545451531	1.21572887411261	1.65545762292891	-0.604248545451531	-0.604248545451531	1.80869513520798
"UROC1"	-0.206658999759516	5.00118868620874	-0.200621031748878	-0.208123467811396	-0.208123467811396	-0.174895818441075	-0.189106922822268	-0.198004370602564	-0.206691103115635	-0.208123467811396	-0.208123467811396	-0.208123467811396	-0.204636690050324	-0.185360067418458	-0.203654820094793	-0.187897864548229	-0.208123467811396	-0.203804012447488	-0.208123467811396	-0.205594771577819	-0.0754619334837099	-0.176164445417817	-0.208123467811396	-0.208123467811396	-0.101946936298522	-0.208123467811396	-0.199454220267687
"VAC14"	-0.267999089675368	-0.844576554477379	-0.437932532796389	0.507259185297741	0.845016788276608	0.180968824364997	-0.431044696642291	-0.28287847287511	-1.1420402188592	1.67274897021032	-1.35382519473874	0.19983067676997	-0.561900264550307	2.1212848303695	-0.459881167203336	-0.905792992851838	-0.798230533891609	0.344277693287135	0.224972068768616	-0.169787232133294	-0.133694063233793	-1.36347626224661	2.27526006479804	-1.0359404046336	0.470465825974779	1.63262497503752	-0.285710222346373
"TMEM100"	-0.193278082422148	-0.232712990007553	-0.415837501834644	-0.415752805690138	-0.401162836201627	-0.398040193418265	-0.341395437493036	-0.186685048084046	3.26143754272362	-0.278817088872647	-0.296851510332133	-0.134917811960617	-0.400700182730882	-0.331458404564082	-0.257786116394687	0.129886428860984	-0.3624121103355	-0.233740226930587	-0.196045054066639	-0.348557475768736	-0.363554540300338	0.324258335830935	-0.363804685390284	3.57304812048923	-0.404992728372463	-0.411716581273711	-0.318411015460009
"ADH1A"	-0.208737931040392	4.98509977490796	-0.21101505654534	-0.21101505654534	-0.21101505654534	-0.21101505654534	-0.207625610698826	-0.19318795433615	-0.21101505654534	-0.207540949376314	-0.208505634071008	-0.210087976159661	-0.21101505654534	-0.21101505654534	-0.21101505654534	-0.201690806807468	-0.21101505654534	-0.21101505654534	-0.207149081393929	-0.209548096351024	0.238570669062301	-0.20437055555539	-0.21101505654534	-0.21101505654534	-0.21101505654534	-0.21101505654534	-0.21101505654534
"ITLN1"	-0.493961673130763	0.966848995606547	-0.393102783410723	-0.506451930150572	-0.248089046080265	-0.422242947799193	-0.407999378454093	-0.481459444858173	-0.556119588190519	-0.556119588190519	-0.532558822440216	-0.34454492639166	4.12213440756289	-0.194866949826501	0.846012275233685	-0.221761494139853	-0.21975784558241	-0.504595040558924	1.25910585598556	0.490693417036961	-0.496972074333405	-0.2171609160827	-0.556119588190519	-0.556119588190519	1.19692341129994	-0.41559514853354	-0.556119588190519
"ITLN2"	-0.384282675857232	-0.364430078829339	-0.351075075895277	-0.266757116088119	-0.244427987678647	-0.385883710719406	-0.389599515646257	-0.378730465969722	-0.389599515646257	-0.389599515646257	-0.389599515646257	-0.389599515646257	1.35355609943364	-0.128087270823777	-0.329033215182444	-0.374551272543675	-0.319976128517221	-0.362254160896183	3.48944095339853	3.03438847783962	-0.379279082037481	-0.0134429662629448	-0.296156790244652	-0.389599515646257	-0.265008189864014	-0.306812733737851	-0.389599515646257
