"Pt1.baseline"	"Pt2.baseline"	"Pt4.baseline"	"Pt5.baseline"	"Pt6.baseline"	"Pt7.baseline"	"Pt8.baseline"	"Pt9.baseline"	"Pt10.baseline"	"Pt12.baseline"	"Pt13.baseline"	"Pt14.baseline"	"Pt15.baseline"	"Pt19.baseline"	"Pt20.baseline"	"Pt22.baseline"	"Pt23.baseline"	"Pt25.baseline"	"Pt27A.baseline"	"Pt27B.baseline"	"Pt28.baseline"	"Pt29.baseline"	"Pt31.baseline"	"Pt32.baseline"	"Pt35.baseline"	"Pt37.baseline"	"Pt38.baseline"
"IS01"	2.50636600499361e-14	0.0114385553026708	1.52810593661687e-14	0.0465735624847937	1.61963333981276e-14	0.0958656289865121	0.0871151261007444	0.0388797899554569	0.126829960067493	0.0883800600498243	0.00300646559208346	1.42810242926296e-14	2.16175009150657e-14	0.0204378704979524	0.0147048808902872	0.00511402429576367	0.0337489019081582	0.195159487787329	0.0198579870162469	0.150106767430667	0.0572888707934014	0.0428192944594762	0.388740438317191	0.16420679471877	2.72524614859015e-14	0.306641647482147	0.1471332330846
"IS02"	2.47931368363653e-12	0.00315628918561921	0.109003654684534	1.98687073087912e-14	0.118191262888776	0.044094132275468	0.258865210010946	0.114240924567734	0.0208628506209109	1.72441087681766e-14	0.0412902602044369	0.0168416325472134	0.171326984860895	0.0190443367072913	0.0244918443039097	0.083087612179497	0.120344917216831	1.50042486200645e-14	0.288655653046499	0.255422015320523	0.013159170943136	0.162174394668853	1.51184150224828e-14	0.0482287542376572	0.0266159868095186	1.82046980647669e-14	0.0208996179710911
"IS03"	2.50636600499361e-14	0.786077186362021	1.52810593661687e-14	1.98687073087912e-14	0.00784608380507169	1.62583266566493e-14	1.58138105933434e-14	0.0801523868361947	1.29479593551822e-14	1.72441087681766e-14	1.74899800800959e-14	0.000405185406256502	2.16175009150657e-14	1.48008318580271e-14	0.000226640822109408	0.00416376211077562	1.19762618899339e-14	0.00174905026314833	2.29784192387529e-14	2.3190133701386e-14	0.22555826012473	2.01470962220739e-14	1.51184150224828e-14	0.00422790313993005	0.0684197678305482	1.82046980647669e-14	1.34288663113556e-14
"IS04"	0.084867332023285	0.00676934978854067	1.52810593661687e-14	1.98687073087912e-14	0.0269612502926388	0.0957196265123756	0.00225119584833597	0.152135811423615	1.29479593551822e-14	1.72441087681766e-14	0.177485078942149	0.00726750526201572	0.0405026337319457	0.0428781138779639	0.869508006415122	0.207215168902376	0.185842396623521	0.324613628303453	0.166293475237364	0.0233893908076578	1.09739329408273e-14	0.124475145112663	0.0758383916549216	0.0138596603135455	0.0479126251686594	0.0347847660234862	0.569762297834479
"IS05"	0.0327724543416973	3.03263174767869e-15	0.109456805421069	0.142031726634757	0.0926570783771739	0.188489766228615	0.124895017635678	0.0832765672062423	0.235424992346691	0.129914337712762	0.0415317501160103	0.0659988760653595	0.245339039059495	0.402698831189929	0.00604654933917649	1.7715902216493e-14	0.0255734650875236	0.195466222731957	2.29784192387529e-14	2.3190133701386e-14	1.09739329408273e-14	2.01470962220739e-14	0.183067055847792	0.0422646501574544	0.106885169631687	0.0649274758004845	1.34288663113556e-14
"IS06"	0.541323102048806	0.0384759697357678	0.0718637258739509	0.0646008150921523	0.0616257820299487	0.137300568641078	0.191349552189363	0.247865606475662	0.286575108333608	0.160166924936301	0.336330343127354	0.0787429568808193	2.16175009150657e-14	0.185290049220373	0.0308036219313487	0.572044467639867	0.0652268568663633	0.0973455019178406	0.240147462805525	0.0920931246647552	0.0418972539858506	0.0759185416585811	0.030809848329966	0.220768264426139	0.0867889263395762	1.82046980647669e-14	0.155677322479645
"IS07"	0.302886426398615	3.03263174767869e-15	0.317802718781726	0.689199654581287	0.342953006685455	0.346991449966271	0.164549219868578	0.241865782026167	0.177297470865139	0.310410194355575	0.173546429149095	0.144484883398366	0.371572240435863	0.205901968322973	0.00376923906065346	0.0554653885459284	0.0630243449392581	0.185666108996212	0.28504542189425	0.453392473494511	0.105647266145452	0.227449956972252	0.209392473198354	0.120745881923451	0.663377524219902	0.48542412774837	0.0353222812902595
"IS08"	2.50636600499361e-14	0.0377878620036461	0.281213929704	1.98687073087912e-14	0.189045948528666	0.00214007132078352	1.58138105933434e-14	1.39657788169122e-12	1.29479593551822e-14	0.0587551547781996	1.00299345829919e-07	1.42810242926296e-14	2.16175009150657e-14	1.48008318580271e-14	1.25239662174869e-14	0.0513843596810915	0.306729239147042	1.50042486200645e-14	2.29784192387529e-14	2.3190133701386e-14	1.09739329408273e-14	2.01470962220739e-14	1.51184150224828e-14	0.227693200037627	2.72524614859015e-14	1.82046980647669e-14	1.34288663113556e-14
"IS09"	0.0381506851850179	0.00544005595393145	0.0743116387007952	0.0575942412069109	0.0715921525470438	0.0878441374669389	0.0603551666866139	0.0415831212271198	0.109485493688584	0.252373328167269	0.194532327920652	0.686258960439927	0.152469042356083	0.123748830183473	1.25239662174869e-14	0.0215252166446662	0.199509878211279	1.50042486200645e-14	2.29784192387529e-14	2.3190133701386e-14	0.373657848830604	0.164946586488139	0.112151792651715	0.00785977524707043	2.72524614859015e-14	0.108221982945421	1.34288663113556e-14
"IS10"	2.50636600499361e-14	0.110854731667797	0.0363475268338785	1.98687073087912e-14	0.0891274348452101	0.00155461860194113	0.11061951165971	1.02804110825252e-08	0.0435241240775356	1.72441087681766e-14	0.0322772446488546	1.42810242926296e-14	0.0187900595556313	1.48008318580271e-14	0.0504492172373685	1.7715902216493e-14	1.19762618899339e-14	1.50042486200645e-14	2.29784192387529e-14	0.0255962282817938	0.182791329176794	0.202216080639976	1.51184150224828e-14	0.150145115798355	2.72524614859015e-14	1.82046980647669e-14	0.0712052473398721
